lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	learned man; wanton sport
BAva	BAva/	praatipadika	1	a discreet; advice; affection; affections; an organ of sense; animals; appearance; attachment; becoming; behaviour; being; birth; character; condition; condition of a planet; conduct; conjecture; contemplation; continuance; dalliance; disposition; emotion; existing; exists; feeling; heart; instruction; love; manner of acting; manner of being; meaning; meditation; nature; occurring; opinion; passion; place of birth; plants; purport; rank; reality; sentiment; soul; state; substance; such is the sense; supposition; temperament; that which is; the seat of the feelings; the state; the womb; the world; thing; to feel an affection for; transition into; true condition; truth; turning; universe; way of thinking
BAva	BAva/	praatipadika	2	an astrological house; lunar mansion
BAva	BAva/	praatipadika	3	to be ill disposed against; to make a firm resolution
BAva	BAva/	praatipadika	4	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	5	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind
BAva	BAva/	praatipadika	6	superhuman power; the Supreme Being
BAva	BAva/	praatipadika	7	the fundamental notion of the verb; the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	8	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	9	living creature all earthly objects
BU	BU	dhaatu	0	a particular land-measure
BU	BU/	dhaatu	0	Name of Viṣṇu; Name of an Ekāha; a term for the letter; symbolical name for the number one
BU	BU	dhaatu	1	Name of a Yogin
BU	BU/	dhaatu	1	a place; arising; becoming; being; earth; existing; floor; ground; land; landed property; matter; object; pavement; piece of ground; soil; space; spot; springing; the act of becoming; the earth; the place of being; universe; world
BU	BU/	dhaatu	2	the base of any geometrical figure
BU	BU/	dhaatu	3	a sacrificial fire
BU	BU/	dhaatu	4	one of the three Vyāhṛtis
Darma	Da/rma	praatipadika	0	Law; a bow; a particular ceremony; an Upaniṣad; character; customary observance; devotion; duty; essential quality; firm; good works; justice; law; mark; morality; nature; ordinance; peculiar condition; peculiarity; practice; prescribed conduct; property; religion; religious abstraction; religious merit; right; sacrifice; statute; steadfast decree; that which is established; the law; usage; virtue
Darma	Darma	naama-dhaatu	0	law; to become
Darma	Da/rma	praatipadika	1	father of Ghṛta; f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	2	doctrine of Buddhism; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Da/rma	praatipadika	3	Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man
Darma	Da/rma	praatipadika	4	the ninth mansion
Darma	Da/rma	praatipadika	5	a Soma-drinker
Darma	Da/rma	praatipadika	6	of Uśanas
Darma	Da/rma	praatipadika	7	Justice personified
Darma	Da/rma	praatipadika	8	associating with the virtuous
Darma	Da/rma	praatipadika	9	Name of the 15th Arhat of the present Ava-sarpiṇī
agra	a/gra	praatipadika	0	a weight; aim; and hence; anterior; best; best part; chief; figuratively; first; foremost; foremost point; front; goal; multitude; part; point; projecting; prominent; sharpness; summit; supernumerary; surface; the beginning; the climax; the nearest end; tip; top; uppermost part
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	equal to a pala
agra	a/gra	praatipadika	2	the sun's amplitude
agra	a/gra	praatipadika	3	a measure of food given as alms
arTa	a/rTa	praatipadika	0	action; advantage; affair; aim; cause; concern; having to do with; kind; lawsuit; manner; meaning; money; motive; needing anything; notion; object; object of the senses; opulence; prevention; price; prohibition; property; purpose; reason; sense; substance; take up one's work; the mansion of wealth; thing; to go to one's business; use; utility; wanting; wealth
arTa	a/rTa	praatipadika	1	the number five
arTa	a/rTa	praatipadika	2	Name of the second mansion
arTa	a/rTa	praatipadika	3	Buddhi
arTa	a/rTa	praatipadika	4	personified as the son of Dharma
banD	banD	dhaatu	0	produce anything in this way; produce in any way; that is experience; to be affected by id est
banD	banD	dhaatu	1	betray to be bound by the fetters of existence; to bind a sacrificial victim
banD	banD	dhaatu	2	arrange; assume; bear; bend; bridge over; capture; catch; cause; chain; chastise; cherish; clench; close; compose; conceive; construct; constructed; contract; dammed up; direct; do; effect; evil; exhibit; fasten; fetter; fix; fold; hold back; hold captive; imprison; knit; make; offer; put on; put together; restrain; rivet on; sacrifice; set up; show; shut; span; stop; strike; suffer; suppress; take; take up; tie; to arrest; to attach to world; to bind; to bind round; to bind together; to catch; to cause to be built; to cause to be embanked; to cause to bind; to entertain; to fix; to form; to join; to punish; to sin; unite
banD	banD	dhaatu	3	sin again
brahman	bra/hman	praatipadika	0	a sacred text; a text; communicators of sacred knowledge; food; holy life; prayer; religious; spiritual knowledge; the Veda; the sacred syllable Om; the sacred word; utterance; wealth
brahman	brahma/n	praatipadika	0	Name of Bṛhas-pati; Name of a magician; Name of a star; Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī; Name of Śiva
brahman	bra/hman	praatipadika	1	the class of men who are the repositories
brahman	brahma/n	praatipadika	1	the sun; δ Aurigae
brahman	bra/hman	praatipadika	2	final emancipation; pious effusion
brahman	brahma/n	praatipadika	2	as the first of the triad of personal gods; one of the 4 principal priests; the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	3	Mantra used as a spell
brahman	brahma/n	praatipadika	3	Brahmā; a lifetime of Brahmā; an inhabitant of Brahmā's heaven
brahman	bra/hman	praatipadika	4	outpouring of the heart in worshipping the gods
brahman	brahma/n	praatipadika	4	a particular Kalpa; a particular astronomy Yoga
brahman	bra/hman	praatipadika	5	the Brahmă; the Brāhmanical caste as a body; the Brāhmaṇa portion of the Veda
brahman	brahma/n	praatipadika	5	a Brāhman who is a knower of Vedic texts; a devout; one versed in sacred knowledge; one who prays; religious man
brahman	bra/hman	praatipadika	6	one self-existent impersonal Spirit; the Absolute; the Eternal; the Self-existent; the one universal Soul
brahman	brahma/n	praatipadika	6	spells; the Veda; the intellect; Ṛtvijas
citra	citra	praatipadika	0	fro; leaping to
citra	citra/	praatipadika	0	containing the word; facetious conversation
citra	citra/	praatipadika	1	Plumbago zeylanica; Ricinus communis
citra	citra/	praatipadika	2	a bright; a brilliant ornament; a picture; a spot; agitated; answer; anything bright; bright; bright-coloured; clear; conspicuous; curious; delineation; different; distinguished; excellent; extraordinary appearance; having different varieties; manifold; ornament; riddle; sketch; sky; speckled; spotted; strange; strange!; the ether; variegated; variety of colour; various; wonder; wonderful
citra	citra/	praatipadika	3	other fanciful figures; various modes of writing
citra	citra/	praatipadika	4	a form of Yama; arranging verses in the shape of mathematical; punning in the form of question
citra	citra/	praatipadika	5	Name of a Draviḍa king; Name of a Gandharva; Name of a Jābāla-gṛhapati; Name of a king; Name of a son of Dhṛtarāṣṭra
citra	citra/	praatipadika	6	a forestof variegated appearance  on; coloured which strikes the eyes
citra	citra/	praatipadika	7	Jonesia Aśoka
citra	citra/	praatipadika	8	a sectarial mark on the forehead
dfS	df/S	praatipadika	0	appearance; discerning; doctrine; knowing; look; looking at; seeing; sight; the eye; the observed spot; theory; view; viewing
dfS	dfS	praatipadika	0	appear; be seen; become visible; behold; care for; compose; consider; demonstrate; examine; find out; learn; long for; look at; look into; manifested; person; regard; think; to; to be always visible; to be seen; to be shown; to cause to see; to notice; to produce or pay; to see; to see by divine intuition; to see with the mind; to show a thing; to show or prove; to wait on; to wish to see; to wish to show; try; understand; visit
dfS	df/S	praatipadika	1	the aspect of a planet
dfS	dfS	praatipadika	1	contrive Aorist
eka	e/ka	praatipadika	0	a; a unit; alone; an; chief; excellent; following; happening only once; identical; little; many; no one; nobody; one; one by one; one of two; pre-eminent; sincere; single; single of its kind; singular; small; solitary; that one only; the same; truthful; unique; unity; with preceding
eka	e/ka	praatipadika	1	Name of a son of Raya; Name of a teacher
eva	e/va	praatipadika	0	a horse; conduct; course; custom; going; habit; manner of acting; moving; proceeding; quick; speedy; the earth; usage; way; world
eva	eva/	avyaya	0	affirmation; command; detraction; diminution; restrainment
eva	eva/	avyaya	1	is a mere expletive without any exact meaning and not translatable implies emphasis
eva	eva/	avyaya	2	alone; already; even; exactly; exactly so; immediately on; indeed; just; just so; merely; only; really; same; so; still; truly; very
gam	gam	dhaatu	0	ascribe guilt to a person; have sexual intercourse with; to approach carnally; to approach with an accusation; to cause a person to go by means of another; to go against with hostile intentions; to go to the earth with the head; to go to the earth with the knees; to go with the mind
