lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa
BAva	BAva/	praatipadika	1	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	2	a discreet
BAva	BAva/	praatipadika	3	advice; instruction
BAva	BAva/	praatipadika	4	affection; an organ of sense; heart; love; meaning; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	5	an astrological house
BAva	BAva/	praatipadika	6	animals
BAva	BAva/	praatipadika	7	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind
BAva	BAva/	praatipadika	8	attachment
BAva	BAva/	praatipadika	9	becoming; conduct; existing; exists; manner of acting; occurring; thing; transition into; turning
BAva	BAva/	praatipadika	10	birth; place of birth; the womb
BAva	BAva/	praatipadika	11	affections; appearance; behaviour; character; emotion; nature; passion; soul
BAva	BAva/	praatipadika	12	being; condition of a planet; manner of being; substance; temperament
BAva	BAva/	praatipadika	13	continuance
BAva	BAva/	praatipadika	14	dalliance
BAva	BAva/	praatipadika	15	learned man
BAva	BAva/	praatipadika	16	living creature all earthly objects
BAva	BAva/	praatipadika	17	lunar mansion
BAva	BAva/	praatipadika	18	conjecture; contemplation; feeling; meditation; opinion; sentiment; supposition; way of thinking
BAva	BAva/	praatipadika	19	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	20	plants
BAva	BAva/	praatipadika	21	purport
BAva	BAva/	praatipadika	22	disposition; rank
BAva	BAva/	praatipadika	23	reality; true condition; truth
BAva	BAva/	praatipadika	24	such is the sense
BAva	BAva/	praatipadika	25	superhuman power
BAva	BAva/	praatipadika	26	that which is
BAva	BAva/	praatipadika	27	the Supreme Being
BAva	BAva/	praatipadika	28	the fundamental notion of the verb
BAva	BAva/	praatipadika	29	the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	30	condition; state; the state; the world; universe
BAva	BAva/	praatipadika	31	to be ill disposed against
BAva	BAva/	praatipadika	32	to make a firm resolution
BAva	BAva/	praatipadika	33	wanton sport
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	Name of Viṣṇu
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	Name of an Ekāha
BU	BU/	dhaatu	2	a place; landed property; object; space; spot; universe; world
BU	BU/	dhaatu	3	a sacrificial fire
BU	BU/	dhaatu	4	a term for the letter
BU	BU/	dhaatu	5	arising; becoming; being; existing; matter; springing; the act of becoming; the place of being
BU	BU/	dhaatu	6	one of the three Vyāhṛtis
BU	BU/	dhaatu	7	earth; floor; ground; land; pavement; piece of ground; soil; the earth
BU	BU/	dhaatu	8	symbolical name for the number one
BU	BU/	dhaatu	9	the base of any geometrical figure
Darma	Da/rma	praatipadika	0	Justice personified
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Law; justice; right
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	Name of a king of Kaśmīra
Darma	Da/rma	praatipadika	3	Name of a lexicographer
Darma	Da/rma	praatipadika	4	Name of a son of Anu; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of another man
Darma	Da/rma	praatipadika	5	Name of a son of Dīrgha-tapas; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata
Darma	Da/rma	praatipadika	6	Name of the 15th Arhat of the present Ava-sarpiṇī
Darma	Da/rma	praatipadika	7	a Soma-drinker
Darma	Da/rma	praatipadika	8	a bow
Darma	Da/rma	praatipadika	9	a particular ceremony
Darma	Da/rma	praatipadika	10	an Upaniṣad
Darma	Da/rma	praatipadika	11	associating with the virtuous
Darma	Da/rma	praatipadika	12	character; mark; nature; peculiar condition
Darma	Da/rma	praatipadika	13	customary observance; law; ordinance; prescribed conduct; statute; the law
Darma	Da/rma	praatipadika	14	devotion; duty; morality; peculiarity; property; religion; religious abstraction; religious merit; sacrifice; virtue
Darma	Da/rma	praatipadika	15	doctrine of Buddhism; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Da/rma	praatipadika	16	essential quality
Darma	Da/rma	praatipadika	17	father of Ghṛta
Darma	Da/rma	praatipadika	18	firm
Darma	Da/rma	praatipadika	19	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	20	good works
Darma	Da/rma	praatipadika	21	of Uśanas
Darma	Da/rma	praatipadika	22	practice; usage
Darma	Da/rma	praatipadika	23	steadfast decree
Darma	Da/rma	praatipadika	24	that which is established
Darma	Da/rma	praatipadika	25	the ninth mansion
agra	a/gra	praatipadika	0	a measure of food given as alms
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	a weight
agra	a/gra	praatipadika	2	aim; goal; point
agra	a/gra	praatipadika	3	and hence
agra	a/gra	praatipadika	4	anterior; chief; front; prominent; surface; the beginning; tip
agra	a/gra	praatipadika	5	best; best part; first; foremost; foremost point; uppermost part
agra	a/gra	praatipadika	6	equal to a pala
agra	a/gra	praatipadika	7	figuratively
agra	a/gra	praatipadika	8	multitude
agra	a/gra	praatipadika	9	part
agra	a/gra	praatipadika	10	projecting
agra	a/gra	praatipadika	11	sharpness
agra	a/gra	praatipadika	12	supernumerary
agra	a/gra	praatipadika	13	summit; the climax; top
agra	a/gra	praatipadika	14	the nearest end
agra	a/gra	praatipadika	15	the sun's amplitude
arTa	a/rTa	praatipadika	0	Buddhi
arTa	a/rTa	praatipadika	1	Name of the second mansion
arTa	a/rTa	praatipadika	2	action; affair; cause; concern; lawsuit; thing
arTa	a/rTa	praatipadika	3	advantage; use
arTa	a/rTa	praatipadika	4	having to do with
arTa	a/rTa	praatipadika	5	kind; manner
arTa	a/rTa	praatipadika	6	aim; meaning; motive; notion; object; object of the senses; purpose; reason; sense; substance; utility
arTa	a/rTa	praatipadika	7	money; property; the mansion of wealth; wealth
arTa	a/rTa	praatipadika	8	needing anything
arTa	a/rTa	praatipadika	9	opulence
arTa	a/rTa	praatipadika	10	personified as the son of Dharma
arTa	a/rTa	praatipadika	11	prevention; prohibition
arTa	a/rTa	praatipadika	12	price
arTa	a/rTa	praatipadika	13	take up one's work; to go to one's business
arTa	a/rTa	praatipadika	14	the number five
arTa	a/rTa	praatipadika	15	wanting
banD	banD	dhaatu	0	arrange; assume; capture; fix; hold captive; set up; span; take; take up; to fix
banD	banD	dhaatu	1	bear
banD	banD	dhaatu	2	betray to be bound by the fetters of existence
banD	banD	dhaatu	3	bridge over
banD	banD	dhaatu	4	chain; compose; conceive; put on; rivet on
banD	banD	dhaatu	5	cherish; to entertain
banD	banD	dhaatu	6	contract
banD	banD	dhaatu	7	catch; close; dammed up; fetter; hold back; imprison; restrain; shut; stop; strike; suppress; to arrest
banD	banD	dhaatu	8	direct
banD	banD	dhaatu	9	do; effect; make
banD	banD	dhaatu	10	chastise; evil; sin again; suffer; to punish; to sin
banD	banD	dhaatu	11	exhibit; offer; sacrifice; show
banD	banD	dhaatu	12	produce anything in this way; produce in any way
banD	banD	dhaatu	13	that is experience
banD	banD	dhaatu	14	bend; clench; fasten; fold; knit; put together; to attach to world; to catch; to join; unite
banD	banD	dhaatu	15	to be affected by id est
banD	banD	dhaatu	16	to bind a sacrificial victim
banD	banD	dhaatu	17	cause; construct; constructed; tie; to bind; to bind round; to bind together; to cause to be built; to cause to be embanked; to cause to bind; to form
brahman	bra/hman	praatipadika	0	Mantra used as a spell
brahman	brahma/n	praatipadika	0	Brahmā; a lifetime of Brahmā; an inhabitant of Brahmā's heaven
brahman	bra/hman	praatipadika	1	a sacred text; a text; holy life; the sacred syllable Om; the sacred word
brahman	brahma/n	praatipadika	1	Name of Bṛhas-pati
brahman	bra/hman	praatipadika	2	communicators of sacred knowledge
brahman	brahma/n	praatipadika	2	Name of a magician; Name of a star
brahman	bra/hman	praatipadika	3	final emancipation
brahman	brahma/n	praatipadika	3	Name of the 9th Muhūrta
brahman	bra/hman	praatipadika	4	food
brahman	brahma/n	praatipadika	4	Name of the servant of the 10th Arhat of the present Avasarpiṇī
brahman	bra/hman	praatipadika	5	one self-existent impersonal Spirit; the one universal Soul
brahman	brahma/n	praatipadika	5	Name of Śiva
brahman	bra/hman	praatipadika	6	outpouring of the heart in worshipping the gods
brahman	brahma/n	praatipadika	6	a Brāhman who is a knower of Vedic texts
brahman	bra/hman	praatipadika	7	pious effusion
brahman	brahma/n	praatipadika	7	a devout; one who prays; religious man
brahman	bra/hman	praatipadika	8	prayer
brahman	brahma/n	praatipadika	8	a particular Kalpa
brahman	bra/hman	praatipadika	9	religious
brahman	brahma/n	praatipadika	9	a particular astronomy Yoga
brahman	bra/hman	praatipadika	10	spiritual knowledge
brahman	brahma/n	praatipadika	10	as the first of the triad of personal gods
brahman	bra/hman	praatipadika	11	the Absolute; the Eternal
brahman	brahma/n	praatipadika	11	one of the 4 principal priests
brahman	bra/hman	praatipadika	12	the Brahmă
brahman	brahma/n	praatipadika	12	one versed in sacred knowledge
brahman	bra/hman	praatipadika	13	the Brāhmanical caste as a body
brahman	brahma/n	praatipadika	13	spells
brahman	bra/hman	praatipadika	14	the Brāhmaṇa portion of the Veda
brahman	brahma/n	praatipadika	14	the Veda
brahman	bra/hman	praatipadika	15	the Self-existent
brahman	brahma/n	praatipadika	15	the intellect
brahman	bra/hman	praatipadika	16	the Veda
brahman	brahma/n	praatipadika	16	the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	17	the class of men who are the repositories
brahman	brahma/n	praatipadika	17	the sun
brahman	bra/hman	praatipadika	18	utterance
brahman	brahma/n	praatipadika	18	δ Aurigae
brahman	bra/hman	praatipadika	19	wealth
brahman	brahma/n	praatipadika	19	Ṛtvijas
citra	citra	praatipadika	0	fro
citra	citra/	praatipadika	0	Jonesia Aśoka
citra	citra	praatipadika	1	leaping to
citra	citra/	praatipadika	1	Name of a Draviḍa king; Name of a king; Name of a son of Dhṛtarāṣṭra
citra	citra/	praatipadika	2	Name of a Gandharva
citra	citra/	praatipadika	3	Name of a Jābāla-gṛhapati
citra	citra/	praatipadika	4	Plumbago zeylanica
citra	citra/	praatipadika	5	Ricinus communis
citra	citra/	praatipadika	6	a bright; anything bright; bright; clear; speckled; spotted
