lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	affection; affections; an organ of sense; emotion; feeling; heart; love; meaning; passion; sentiment; soul; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	1	appearance; behaviour; character; conduct; disposition; instruction; manner of acting; manner of being; nature; temperament
BAva	BAva/	praatipadika	2	condition; condition of a planet; rank; reality; state; the state; the world; true condition; truth; universe
BAva	BAva/	praatipadika	3	becoming; being; existing; exists; occurring; substance; thing; transition into; turning
BAva	BAva/	praatipadika	4	advice; conjecture; contemplation; meditation; opinion; supposition; way of thinking
BAva	BAva/	praatipadika	5	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind
BAva	BAva/	praatipadika	6	birth; place of birth; the womb
BAva	BAva/	praatipadika	7	Name of the 27th Kalpa
BAva	BAva/	praatipadika	8	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	9	a discreet
BAva	BAva/	praatipadika	10	an astrological house
BAva	BAva/	praatipadika	11	animals
BAva	BAva/	praatipadika	12	attachment
BAva	BAva/	praatipadika	13	continuance
BAva	BAva/	praatipadika	14	dalliance
BAva	BAva/	praatipadika	15	learned man
BAva	BAva/	praatipadika	16	living creature all earthly objects
BAva	BAva/	praatipadika	17	lunar mansion
BAva	BAva/	praatipadika	18	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	19	plants
BAva	BAva/	praatipadika	20	purport
BAva	BAva/	praatipadika	21	such is the sense
BAva	BAva/	praatipadika	22	superhuman power
BAva	BAva/	praatipadika	23	that which is
BAva	BAva/	praatipadika	24	the Supreme Being
BAva	BAva/	praatipadika	25	the fundamental notion of the verb
BAva	BAva/	praatipadika	26	the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	27	to be ill disposed against
BAva	BAva/	praatipadika	28	to make a firm resolution
BAva	BAva/	praatipadika	29	wanton sport
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	arising; becoming; being; existing; matter; object; springing; the act of becoming
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	floor; ground; land; landed property; pavement; piece of ground; soil
BU	BU/	dhaatu	2	earth; the earth; universe; world
BU	BU/	dhaatu	3	a place; space; spot; the place of being
BU	BU/	dhaatu	4	Name of Viṣṇu
BU	BU/	dhaatu	5	Name of an Ekāha
BU	BU/	dhaatu	6	a sacrificial fire
BU	BU/	dhaatu	7	a term for the letter
BU	BU/	dhaatu	8	one of the three Vyāhṛtis
BU	BU/	dhaatu	9	symbolical name for the number one
BU	BU/	dhaatu	10	the base of any geometrical figure
Darma	Da/rma	praatipadika	0	devotion; duty; morality; religion; religious abstraction; religious merit; sacrifice; virtue
