lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa
BAva	BAva/	praatipadika	1	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	2	a discreet
BAva	BAva/	praatipadika	3	an astrological house
BAva	BAva/	praatipadika	4	animals
BAva	BAva/	praatipadika	5	attachment
BAva	BAva/	praatipadika	6	appearance; behaviour; character; conduct; disposition; instruction; manner of acting; manner of being; nature
BAva	BAva/	praatipadika	7	advice; conjecture; contemplation; meditation; opinion; supposition; way of thinking
BAva	BAva/	praatipadika	8	continuance
BAva	BAva/	praatipadika	9	dalliance
BAva	BAva/	praatipadika	10	affection; affections; an organ of sense; emotion; feeling; heart; love; meaning; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	11	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind
BAva	BAva/	praatipadika	12	learned man
BAva	BAva/	praatipadika	13	living creature all earthly objects
BAva	BAva/	praatipadika	14	lunar mansion
BAva	BAva/	praatipadika	15	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	16	birth; place of birth; the womb
BAva	BAva/	praatipadika	17	plants
BAva	BAva/	praatipadika	18	purport
BAva	BAva/	praatipadika	19	becoming; being; existing; exists; occurring; substance; thing; transition into; turning
BAva	BAva/	praatipadika	20	such is the sense
BAva	BAva/	praatipadika	21	superhuman power
BAva	BAva/	praatipadika	22	that which is
BAva	BAva/	praatipadika	23	the Supreme Being
BAva	BAva/	praatipadika	24	the fundamental notion of the verb
BAva	BAva/	praatipadika	25	the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	26	condition; condition of a planet; rank; reality; state; the state; the world; true condition; truth; universe
BAva	BAva/	praatipadika	27	to be ill disposed against
BAva	BAva/	praatipadika	28	to make a firm resolution
BAva	BAva/	praatipadika	29	wanton sport
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	Name of Viṣṇu
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	Name of an Ekāha
BU	BU/	dhaatu	2	a place; space; spot; the place of being
BU	BU/	dhaatu	3	a sacrificial fire
BU	BU/	dhaatu	4	a term for the letter
BU	BU/	dhaatu	5	one of the three Vyāhṛtis
BU	BU/	dhaatu	6	earth; floor; ground; land; landed property; pavement; piece of ground; soil; the earth; universe; world
BU	BU/	dhaatu	7	symbolical name for the number one
BU	BU/	dhaatu	8	arising; becoming; being; existing; matter; object; springing; the act of becoming
BU	BU/	dhaatu	9	the base of any geometrical figure
Darma	Da/rma	praatipadika	0	Justice personified
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	Name of a lexicographer
Darma	Da/rma	praatipadika	3	Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man
Darma	Da/rma	praatipadika	4	Name of the 15th Arhat of the present Ava-sarpiṇī
Darma	Da/rma	praatipadika	5	a Soma-drinker
Darma	Da/rma	praatipadika	6	a bow
Darma	Da/rma	praatipadika	7	a particular ceremony
Darma	Da/rma	praatipadika	8	an Upaniṣad
Darma	Da/rma	praatipadika	9	associating with the virtuous
Darma	Da/rma	praatipadika	10	devotion; duty; morality; religion; religious abstraction; religious merit; sacrifice; virtue
Darma	Da/rma	praatipadika	11	doctrine of Buddhism; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Da/rma	praatipadika	12	essential quality
Darma	Da/rma	praatipadika	13	father of Ghṛta
Darma	Da/rma	praatipadika	14	firm
Darma	Da/rma	praatipadika	15	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	16	good works
Darma	Da/rma	praatipadika	17	of Uśanas
Darma	Da/rma	praatipadika	18	character; mark; nature; peculiar condition; peculiarity; property
Darma	Da/rma	praatipadika	19	practice; usage
Darma	Da/rma	praatipadika	20	customary observance; prescribed conduct
Darma	Da/rma	praatipadika	21	Law; justice; law; ordinance; right; statute; the law
Darma	Da/rma	praatipadika	22	steadfast decree
Darma	Da/rma	praatipadika	23	that which is established
Darma	Da/rma	praatipadika	24	the ninth mansion
agra	a/gra	praatipadika	0	a measure of food given as alms
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	a weight
agra	a/gra	praatipadika	2	and hence
agra	a/gra	praatipadika	3	summit; the climax
agra	a/gra	praatipadika	4	equal to a pala
agra	a/gra	praatipadika	5	figuratively
agra	a/gra	praatipadika	6	best; best part; foremost; foremost point; prominent; uppermost part
agra	a/gra	praatipadika	7	multitude
agra	a/gra	praatipadika	8	part
agra	a/gra	praatipadika	9	aim; goal; point; tip
agra	a/gra	praatipadika	10	projecting
agra	a/gra	praatipadika	11	sharpness
agra	a/gra	praatipadika	12	supernumerary
agra	a/gra	praatipadika	13	anterior; chief; first; front; surface; the beginning; top
agra	a/gra	praatipadika	14	the nearest end
agra	a/gra	praatipadika	15	the sun's amplitude
arTa	a/rTa	praatipadika	0	Buddhi
arTa	a/rTa	praatipadika	1	Name of the second mansion
arTa	a/rTa	praatipadika	2	affair; concern; lawsuit
arTa	a/rTa	praatipadika	3	having to do with
arTa	a/rTa	praatipadika	4	kind; manner
arTa	a/rTa	praatipadika	5	needing anything
arTa	a/rTa	praatipadika	6	action; object; property; substance; thing
arTa	a/rTa	praatipadika	7	opulence
arTa	a/rTa	praatipadika	8	personified as the son of Dharma
arTa	a/rTa	praatipadika	9	prevention; prohibition
arTa	a/rTa	praatipadika	10	price
arTa	a/rTa	praatipadika	11	aim; cause; meaning; motive; notion; object of the senses; purpose; reason; sense
arTa	a/rTa	praatipadika	12	take up one's work; to go to one's business
arTa	a/rTa	praatipadika	13	the number five
arTa	a/rTa	praatipadika	14	advantage; use; utility
arTa	a/rTa	praatipadika	15	wanting
arTa	a/rTa	praatipadika	16	money; the mansion of wealth; wealth
banD	banD	dhaatu	0	bear
banD	banD	dhaatu	1	betray to be bound by the fetters of existence
banD	banD	dhaatu	2	bridge over
banD	banD	dhaatu	3	cherish; to entertain
banD	banD	dhaatu	4	arrange; cause; compose; construct; constructed; do; effect; fix; make; put on; set up; to cause to be built; to fix; to form
banD	banD	dhaatu	5	contract
banD	banD	dhaatu	6	direct
banD	banD	dhaatu	7	exhibit; offer; sacrifice; show
banD	banD	dhaatu	8	produce anything in this way; produce in any way
banD	banD	dhaatu	9	chastise; clench; close; dammed up; fasten; fetter; hold back; restrain; shut; stop; strike; suppress
banD	banD	dhaatu	10	assume; capture; catch; conceive; hold captive; imprison; take; take up; to arrest; to catch
banD	banD	dhaatu	11	that is experience
banD	banD	dhaatu	12	to be affected by id est
banD	banD	dhaatu	13	to bind a sacrificial victim
banD	banD	dhaatu	14	evil; sin again; suffer; to punish; to sin
banD	banD	dhaatu	15	bend; chain; fold; knit; put together; rivet on; span; tie; to attach to world; to bind; to bind round; to bind together; to cause to be embanked; to cause to bind; to join; unite
brahman	bra/hman	praatipadika	0	Mantra used as a spell
brahman	brahma/n	praatipadika	0	Name of Bṛhas-pati
brahman	bra/hman	praatipadika	1	a sacred text; a text
brahman	brahma/n	praatipadika	1	Name of a magician; Name of a star
brahman	bra/hman	praatipadika	2	communicators of sacred knowledge
brahman	brahma/n	praatipadika	2	Name of the 9th Muhūrta
brahman	bra/hman	praatipadika	3	final emancipation
brahman	brahma/n	praatipadika	3	Name of the servant of the 10th Arhat of the present Avasarpiṇī
brahman	bra/hman	praatipadika	4	food
brahman	brahma/n	praatipadika	4	Name of Śiva
brahman	bra/hman	praatipadika	5	one self-existent impersonal Spirit; the one universal Soul
brahman	brahma/n	praatipadika	5	a Brāhman who is a knower of Vedic texts
brahman	bra/hman	praatipadika	6	outpouring of the heart in worshipping the gods
brahman	brahma/n	praatipadika	6	a devout; one who prays; religious man
brahman	bra/hman	praatipadika	7	pious effusion
brahman	brahma/n	praatipadika	7	Brahmā; a lifetime of Brahmā; an inhabitant of Brahmā's heaven
brahman	bra/hman	praatipadika	8	prayer
brahman	brahma/n	praatipadika	8	a particular Kalpa
brahman	bra/hman	praatipadika	9	religious
brahman	brahma/n	praatipadika	9	a particular astronomy Yoga
brahman	bra/hman	praatipadika	10	spiritual knowledge
brahman	brahma/n	praatipadika	10	as the first of the triad of personal gods
brahman	bra/hman	praatipadika	11	the Brahmă
brahman	brahma/n	praatipadika	11	one of the 4 principal priests
brahman	bra/hman	praatipadika	12	the Brāhmanical caste as a body
brahman	brahma/n	praatipadika	12	one versed in sacred knowledge
brahman	bra/hman	praatipadika	13	the Brāhmaṇa portion of the Veda
brahman	brahma/n	praatipadika	13	spells
brahman	bra/hman	praatipadika	14	the Absolute; the Eternal
brahman	brahma/n	praatipadika	14	the Veda
brahman	bra/hman	praatipadika	15	the Self-existent
brahman	brahma/n	praatipadika	15	the intellect
brahman	bra/hman	praatipadika	16	the Veda
brahman	brahma/n	praatipadika	16	the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	17	the class of men who are the repositories
brahman	brahma/n	praatipadika	17	the sun
brahman	bra/hman	praatipadika	18	holy life; the sacred syllable Om; the sacred word
brahman	brahma/n	praatipadika	18	δ Aurigae
brahman	bra/hman	praatipadika	19	utterance
brahman	brahma/n	praatipadika	19	Ṛtvijas
brahman	bra/hman	praatipadika	20	wealth
citra	citra	praatipadika	0	fro
citra	citra/	praatipadika	0	Jonesia Aśoka
citra	citra	praatipadika	1	leaping to
citra	citra/	praatipadika	1	Name of a Draviḍa king; Name of a king; Name of a son of Dhṛtarāṣṭra
citra	citra/	praatipadika	2	Name of a Gandharva
citra	citra/	praatipadika	3	Name of a Jābāla-gṛhapati
citra	citra/	praatipadika	4	Plumbago zeylanica
citra	citra/	praatipadika	5	Ricinus communis
citra	citra/	praatipadika	6	a brilliant ornament
citra	citra/	praatipadika	7	a forestof variegated appearance  on
citra	citra/	praatipadika	8	a form of Yama
citra	citra/	praatipadika	9	a picture
citra	citra/	praatipadika	10	a sectarial mark on the forehead
