lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	emotion; sentiment
BAva	BAva/	praatipadika	1	becoming; being
BAva	BAva/	praatipadika	2	manner of acting; manner of being
BAva	BAva/	praatipadika	3	state; the state
BAva	BAva/	praatipadika	4	affection; affections; to feel an affection for
BAva	BAva/	praatipadika	5	the world
BAva	BAva/	praatipadika	6	to be ill disposed against
BAva	BAva/	praatipadika	7	temperament
BAva	BAva/	praatipadika	8	transition into
BAva	BAva/	praatipadika	9	way of thinking
BAva	BAva/	praatipadika	10	wanton sport
BAva	BAva/	praatipadika	11	the womb
BAva	BAva/	praatipadika	12	such is the sense
BAva	BAva/	praatipadika	13	the fundamental notion of the verb
BAva	BAva/	praatipadika	14	thing
BAva	BAva/	praatipadika	15	soul
BAva	BAva/	praatipadika	16	reality
BAva	BAva/	praatipadika	17	substance
BAva	BAva/	praatipadika	18	to make a firm resolution
BAva	BAva/	praatipadika	19	supposition
BAva	BAva/	praatipadika	20	universe
BAva	BAva/	praatipadika	21	true condition
BAva	BAva/	praatipadika	22	turning
BAva	BAva/	praatipadika	23	the Supreme Being
BAva	BAva/	praatipadika	24	superhuman power
BAva	BAva/	praatipadika	25	living creature all earthly objects
BAva	BAva/	praatipadika	26	plants
BAva	BAva/	praatipadika	27	occurring
BAva	BAva/	praatipadika	28	character
BAva	BAva/	praatipadika	29	the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	30	nature
BAva	BAva/	praatipadika	31	rank
BAva	BAva/	praatipadika	32	passion
BAva	BAva/	praatipadika	33	mind with a pleased mind
BAva	BAva/	praatipadika	34	love
BAva	BAva/	praatipadika	35	learned man
BAva	BAva/	praatipadika	36	meaning
BAva	BAva/	praatipadika	37	any state of mind and body
BAva	BAva/	praatipadika	38	advice
BAva	BAva/	praatipadika	39	exists
BAva	BAva/	praatipadika	40	a discreet
BAva	BAva/	praatipadika	41	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	42	that which is
BAva	BAva/	praatipadika	43	the seat of the feelings
BAva	BAva/	praatipadika	44	opinion
BAva	BAva/	praatipadika	45	disposition
BAva	BAva/	praatipadika	46	truth
BAva	BAva/	praatipadika	47	conjecture
BAva	BAva/	praatipadika	48	appearance
BAva	BAva/	praatipadika	49	place of birth
BAva	BAva/	praatipadika	50	purport
BAva	BAva/	praatipadika	51	heart
BAva	BAva/	praatipadika	52	an organ of sense
BAva	BAva/	praatipadika	53	dalliance
BAva	BAva/	praatipadika	54	conduct
BAva	BAva/	praatipadika	55	continuance
BAva	BAva/	praatipadika	56	instruction
BAva	BAva/	praatipadika	57	attachment
BAva	BAva/	praatipadika	58	an astrological house
BAva	BAva/	praatipadika	59	condition
BAva	BAva/	praatipadika	60	birth
BAva	BAva/	praatipadika	61	meditation
BAva	BAva/	praatipadika	62	intention with whatever disposition of mind
BAva	BAva/	praatipadika	63	Name of the 27th Kalpa
BAva	BAva/	praatipadika	64	animals
BAva	BAva/	praatipadika	65	lunar mansion
BAva	BAva/	praatipadika	66	contemplation
BAva	BAva/	praatipadika	67	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	68	feeling
BAva	BAva/	praatipadika	69	condition of a planet
BAva	BAva/	praatipadika	70	behaviour
BAva	BAva/	praatipadika	71	existing
BU	BU	dhaatu	0	a particular land-measure
BU	BU/	dhaatu	0	land; landed property
BU	BU	dhaatu	1	Name of a Yogin
BU	BU/	dhaatu	1	a place; the place of being
BU	BU/	dhaatu	2	becoming; the act of becoming
BU	BU/	dhaatu	3	earth; the earth
BU	BU/	dhaatu	4	world
BU	BU/	dhaatu	5	the base of any geometrical figure
BU	BU/	dhaatu	6	springing
BU	BU/	dhaatu	7	symbolical name for the number one
BU	BU/	dhaatu	8	piece of ground
BU	BU/	dhaatu	9	matter
BU	BU/	dhaatu	10	universe
BU	BU/	dhaatu	11	being
BU	BU/	dhaatu	12	ground
BU	BU/	dhaatu	13	one of the three Vyāhṛtis
BU	BU/	dhaatu	14	spot
BU	BU/	dhaatu	15	pavement
BU	BU/	dhaatu	16	space
BU	BU/	dhaatu	17	Name of Viṣṇu
BU	BU/	dhaatu	18	a term for the letter
BU	BU/	dhaatu	19	a sacrificial fire
BU	BU/	dhaatu	20	existing
BU	BU/	dhaatu	21	object
BU	BU/	dhaatu	22	soil
BU	BU/	dhaatu	23	Name of an Ekāha
BU	BU/	dhaatu	24	arising
BU	BU/	dhaatu	25	floor
Darma	Da/rma	praatipadika	0	doctrine of Buddhism; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Darma	naama-dhaatu	0	to become
Darma	Da/rma	praatipadika	1	Justice personified; justice
Darma	Darma	naama-dhaatu	1	law
Darma	Da/rma	praatipadika	2	the ninth mansion
Darma	Da/rma	praatipadika	3	Law; law; the law
Darma	Da/rma	praatipadika	4	statute
Darma	Da/rma	praatipadika	5	that which is established
Darma	Da/rma	praatipadika	6	religious abstraction
Darma	Da/rma	praatipadika	7	virtue
Darma	Da/rma	praatipadika	8	usage
Darma	Da/rma	praatipadika	9	of Uśanas
Darma	Da/rma	praatipadika	10	religion
Darma	Da/rma	praatipadika	11	right
Darma	Da/rma	praatipadika	12	sacrifice
Darma	Da/rma	praatipadika	13	mark
Darma	Da/rma	praatipadika	14	good works
Darma	Da/rma	praatipadika	15	steadfast decree
Darma	Da/rma	praatipadika	16	prescribed conduct
Darma	Da/rma	praatipadika	17	peculiarity
Darma	Da/rma	praatipadika	18	religious merit
Darma	Da/rma	praatipadika	19	f° of Dhṛta
Darma	Da/rma	praatipadika	20	associating with the virtuous
Darma	Da/rma	praatipadika	21	f° of Netra
Darma	Da/rma	praatipadika	22	peculiar condition
Darma	Da/rma	praatipadika	23	property
Darma	Da/rma	praatipadika	24	essential quality
Darma	Da/rma	praatipadika	25	practice
Darma	Da/rma	praatipadika	26	an Upaniṣad
Darma	Da/rma	praatipadika	27	Name of another man
Darma	Da/rma	praatipadika	28	a Soma-drinker
Darma	Da/rma	praatipadika	29	duty
Darma	Da/rma	praatipadika	30	customary observance
