lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	1	a discreet
BAva	BAva/	praatipadika	2	advice
BAva	BAva/	praatipadika	3	an astrological house; lunar mansion
BAva	BAva/	praatipadika	4	attachment; character; dalliance; manner of acting; opinion; temperament; thing; to be ill disposed against; wanton sport
BAva	BAva/	praatipadika	5	condition; true condition
BAva	BAva/	praatipadika	6	condition of a planet; of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	7	conjecture; continuance; sentiment
BAva	BAva/	praatipadika	8	exists; supposition
BAva	BAva/	praatipadika	9	learned man
BAva	BAva/	praatipadika	10	living creature all earthly objects; plants; to feel an affection for; truth
BAva	BAva/	praatipadika	11	intention with whatever disposition of mind; meaning; the fundamental notion of the verb; the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	12	an organ of sense; animals; disposition; heart; place of birth; soul; state; the state; the womb; the world; universe
BAva	BAva/	praatipadika	13	purport
BAva	BAva/	praatipadika	14	rank
BAva	BAva/	praatipadika	15	such is the sense
BAva	BAva/	praatipadika	16	to make a firm resolution
BAva	BAva/	praatipadika	17	affection; affections; any state of mind and body; appearance; becoming; behaviour; being; birth; conduct; contemplation; emotion; existing; feeling; instruction; love; manner of being; meditation; mind with a pleased mind; nature; occurring; passion; reality; substance; superhuman power; that which is; the Supreme Being; the seat of the feelings; transition into; turning; way of thinking
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	Name of Viṣṇu; Name of an Ekāha; one of the three Vyāhṛtis
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	a place; a sacrificial fire; arising; becoming; being; earth; existing; floor; ground; land; landed property; matter; object; pavement; piece of ground; soil; space; spot; springing; the act of becoming; the earth; the place of being; universe; world
BU	BU/	dhaatu	2	a term for the letter
BU	BU/	dhaatu	3	symbolical name for the number one
BU	BU/	dhaatu	4	the base of any geometrical figure
Darma	Da/rma	praatipadika	0	Justice personified; a particular ceremony; firm; ordinance
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra; Name of the 15th Arhat of the present Ava-sarpiṇī
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; father of Ghṛta
Darma	Da/rma	praatipadika	3	a Soma-drinker; a bow; an Upaniṣad
Darma	Da/rma	praatipadika	4	Law; associating with the virtuous; character; customary observance; devotion; doctrine of Buddhism; duty; essential quality; justice; law; morality; nature; prescribed conduct; property; religion; religious abstraction; religious merit; sacrifice; statute; steadfast decree; that which is established; the ethical precepts of Buddhism; the law; the law of Northern Buddhism; virtue
Darma	Da/rma	praatipadika	5	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	6	good works
Darma	Da/rma	praatipadika	7	mark
Darma	Da/rma	praatipadika	8	of Uśanas
Darma	Da/rma	praatipadika	9	peculiar condition; peculiarity
Darma	Da/rma	praatipadika	10	practice
Darma	Da/rma	praatipadika	11	right
Darma	Da/rma	praatipadika	12	the ninth mansion
Darma	Da/rma	praatipadika	13	usage
agra	a/gra	praatipadika	0	a measure of food given as alms; a weight; equal to a pala
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	aim
agra	a/gra	praatipadika	2	and hence; goal; point; the nearest end
agra	a/gra	praatipadika	3	anterior; the beginning
agra	a/gra	praatipadika	4	best; best part; chief; first; front; part; summit; the climax; tip; top; uppermost part
agra	a/gra	praatipadika	5	figuratively
agra	a/gra	praatipadika	6	multitude; supernumerary
agra	a/gra	praatipadika	7	foremost; projecting; prominent
agra	a/gra	praatipadika	8	foremost point; sharpness; surface
agra	a/gra	praatipadika	9	the sun's amplitude
arTa	a/rTa	praatipadika	0	Buddhi; personified as the son of Dharma
arTa	a/rTa	praatipadika	1	Name of the second mansion; the mansion of wealth
arTa	a/rTa	praatipadika	2	action; affair; take up one's work
arTa	a/rTa	praatipadika	3	advantage; aim; manner; object of the senses; prevention; use; utility
arTa	a/rTa	praatipadika	4	concern; having to do with; kind; meaning; needing anything
arTa	a/rTa	praatipadika	5	cause; lawsuit; money; motive; opulence; price; prohibition; reason; wanting; wealth
arTa	a/rTa	praatipadika	6	notion; object; property; purpose; sense; substance; the number five; thing
arTa	a/rTa	praatipadika	7	to go to one's business
banD	banD	dhaatu	0	arrange; bend; effect; knit
banD	banD	dhaatu	1	assume
banD	banD	dhaatu	2	bear; fix
banD	banD	dhaatu	3	betray to be bound by the fetters of existence; cherish; evil; sin again; strike
banD	banD	dhaatu	4	bridge over
banD	banD	dhaatu	5	cause; compose; conceive; exhibit; to catch; to cause to be built; to cause to be embanked; to cause to bind; to entertain; to form
banD	banD	dhaatu	6	dammed up
banD	banD	dhaatu	7	direct
banD	banD	dhaatu	8	construct; constructed; do; make; produce anything in this way; produce in any way; suffer; to sin; unite
banD	banD	dhaatu	9	fetter
banD	banD	dhaatu	10	catch; chain; chastise; clench; close; contract; fasten; fold; hold back; hold captive; imprison; put together; restrain; rivet on; sacrifice; set up; show; stop; suppress; tie; to arrest; to attach to world; to bind; to bind a sacrificial victim; to bind round; to bind together; to fix; to join; to punish
banD	banD	dhaatu	11	capture; offer; put on; shut; take; take up
banD	banD	dhaatu	12	span
banD	banD	dhaatu	13	that is experience
banD	banD	dhaatu	14	to be affected by id est
brahman	bra/hman	praatipadika	0	Mantra used as a spell; a text; the Absolute; the sacred syllable Om; utterance
brahman	brahma/n	praatipadika	0	Brahmā; Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī; a Brāhman who is a knower of Vedic texts; a devout; a lifetime of Brahmā; a particular Kalpa; a particular astronomy Yoga; an inhabitant of Brahmā's heaven; as the first of the triad of personal gods; one of the 4 principal priests; one who prays; religious man
brahman	bra/hman	praatipadika	1	final emancipation
brahman	brahma/n	praatipadika	1	Name of a magician; spells
brahman	bra/hman	praatipadika	2	food; prayer; religious; wealth
