lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	advice; appearance; behaviour; character; conduct; continuance; disposition; instruction; intention with whatever disposition of mind; manner of acting; manner of being; temperament; to be ill disposed against
BAva	BAva/	praatipadika	1	animals; dalliance; living creature all earthly objects; nature; plants; substance; superhuman power; that which is; the Supreme Being; the world; thing; universe
BAva	BAva/	praatipadika	2	a discreet; affection; affections; attachment; emotion; heart; love; passion; to feel an affection for; wanton sport
BAva	BAva/	praatipadika	3	an organ of sense; any state of mind and body; meditation; mind with a pleased mind; place of birth; soul; state; the seat of the feelings; the state; the womb
BAva	BAva/	praatipadika	4	becoming; being; birth; existing; exists; feeling; occurring; transition into; turning
BAva	BAva/	praatipadika	5	conjecture; contemplation; opinion; reality; sentiment; supposition; truth; way of thinking
BAva	BAva/	praatipadika	6	meaning; the fundamental notion of the verb; the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	7	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	8	an astrological house; lunar mansion
BAva	BAva/	praatipadika	9	condition of a planet; of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	10	condition; true condition
BAva	BAva/	praatipadika	11	learned man
BAva	BAva/	praatipadika	12	purport
BAva	BAva/	praatipadika	13	rank
BAva	BAva/	praatipadika	14	such is the sense
BAva	BAva/	praatipadika	15	to make a firm resolution
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	arising; becoming; being; existing; springing; the act of becoming; the place of being
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	floor; ground; land; landed property; pavement; piece of ground; soil
BU	BU/	dhaatu	2	earth; matter; object; space; the earth; universe; world
BU	BU/	dhaatu	3	a place; a sacrificial fire; spot
BU	BU/	dhaatu	4	Name of Viṣṇu; Name of an Ekāha; one of the three Vyāhṛtis
BU	BU/	dhaatu	5	a term for the letter
BU	BU/	dhaatu	6	symbolical name for the number one
BU	BU/	dhaatu	7	the base of any geometrical figure
Darma	Da/rma	praatipadika	0	Law; a particular ceremony; customary observance; firm; law; ordinance; prescribed conduct; property; statute; steadfast decree; that which is established; the law
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	Justice personified; character; devotion; duty; essential quality; justice; morality; nature; sacrifice; virtue
Darma	Da/rma	praatipadika	3	associating with the virtuous; doctrine of Buddhism; religion; religious abstraction; religious merit; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Da/rma	praatipadika	4	a Soma-drinker; a bow; an Upaniṣad
Darma	Da/rma	praatipadika	5	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	6	peculiar condition; peculiarity
Darma	Da/rma	praatipadika	7	good works
Darma	Da/rma	praatipadika	8	mark
Darma	Da/rma	praatipadika	9	of Uśanas
Darma	Da/rma	praatipadika	10	practice
Darma	Da/rma	praatipadika	11	right
Darma	Da/rma	praatipadika	12	the ninth mansion
Darma	Da/rma	praatipadika	13	usage
agra	a/gra	praatipadika	0	aim; and hence; foremost point; goal; point; sharpness; surface
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	best; chief; foremost; summit; tip; top
agra	a/gra	praatipadika	2	best part; part; the climax; the nearest end; uppermost part
agra	a/gra	praatipadika	3	anterior; first; front; the beginning
agra	a/gra	praatipadika	4	a measure of food given as alms; a weight; equal to a pala
agra	a/gra	praatipadika	5	projecting; prominent
agra	a/gra	praatipadika	6	multitude; supernumerary
agra	a/gra	praatipadika	7	figuratively
agra	a/gra	praatipadika	8	the sun's amplitude
arTa	a/rTa	praatipadika	0	action; affair; cause; concern; lawsuit; motive; prevention; prohibition; reason; take up one's work
arTa	a/rTa	praatipadika	1	Name of the second mansion; object; object of the senses; property; substance; the mansion of wealth; the number five; thing
arTa	a/rTa	praatipadika	2	having to do with; kind; manner; meaning; notion; sense
arTa	a/rTa	praatipadika	3	money; needing anything; opulence; price; wanting; wealth
arTa	a/rTa	praatipadika	4	advantage; aim; purpose; use; utility
arTa	a/rTa	praatipadika	5	Buddhi; personified as the son of Dharma
arTa	a/rTa	praatipadika	6	to go to one's business
banD	banD	dhaatu	0	bear; betray to be bound by the fetters of existence; capture; catch; chastise; cherish; evil; hold captive; imprison; restrain; sacrifice; sin again; suffer; to arrest; to catch; to punish; to sin
banD	banD	dhaatu	1	assume; bend; chain; clench; close; contract; fold; hold back; knit; show; shut; stop; strike; suppress; tie
banD	banD	dhaatu	2	arrange; effect; fasten; fix; offer; put on; put together; rivet on; set up; take; take up; to join; unite
banD	banD	dhaatu	3	cause; to attach to world; to bind; to bind a sacrificial victim; to bind round; to bind together; to cause to be built; to cause to be embanked; to cause to bind; to entertain; to fix; to form
banD	banD	dhaatu	4	compose; conceive; construct; constructed; do; exhibit; make; produce anything in this way; produce in any way
banD	banD	dhaatu	5	bridge over
banD	banD	dhaatu	6	dammed up
banD	banD	dhaatu	7	direct
banD	banD	dhaatu	8	fetter
banD	banD	dhaatu	9	span
banD	banD	dhaatu	10	that is experience
banD	banD	dhaatu	11	to be affected by id est
brahman	bra/hman	praatipadika	0	Mantra used as a spell; a sacred text; a text; outpouring of the heart in worshipping the gods; the sacred syllable Om; the sacred word; utterance
brahman	brahma/n	praatipadika	0	Name of Bṛhas-pati; Name of a star; Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī; Name of Śiva; the sun
brahman	bra/hman	praatipadika	1	communicators of sacred knowledge; the Brahmă; the Brāhmanical caste as a body; the Brāhmaṇa portion of the Veda; the Veda; the class of men who are the repositories
brahman	brahma/n	praatipadika	1	a devout; as the first of the triad of personal gods; one of the 4 principal priests; one who prays; religious man; the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	2	food; pious effusion; prayer; religious; spiritual knowledge; wealth
brahman	brahma/n	praatipadika	2	a particular Kalpa; a particular astronomy Yoga; one versed in sacred knowledge; the Veda; the intellect
brahman	bra/hman	praatipadika	3	one self-existent impersonal Spirit; the Absolute; the Eternal; the Self-existent; the one universal Soul
brahman	brahma/n	praatipadika	3	Brahmā; a Brāhman who is a knower of Vedic texts; a lifetime of Brahmā; an inhabitant of Brahmā's heaven
brahman	bra/hman	praatipadika	4	final emancipation
brahman	brahma/n	praatipadika	4	Name of a magician; spells
brahman	bra/hman	praatipadika	5	holy life
brahman	brahma/n	praatipadika	5	δ Aurigae
brahman	brahma/n	praatipadika	6	Ṛtvijas
citra	citra	praatipadika	0	fro
citra	citra/	praatipadika	0	a bright; a forestof variegated appearance  on; anything bright; bright; bright-coloured; coloured which strikes the eyes; having different varieties; speckled; variegated; variety of colour
citra	citra	praatipadika	1	leaping to
citra	citra/	praatipadika	1	a brilliant ornament; a sectarial mark on the forehead; agitated; conspicuous; distinguished; extraordinary appearance; ornament; other fanciful figures; spotted
citra	citra/	praatipadika	2	curious; different; punning in the form of question; riddle; strange; strange!; various; wonder
citra	citra/	praatipadika	3	Jonesia Aśoka; Name of a Draviḍa king; Name of a Gandharva; Name of a Jābāla-gṛhapati; Name of a king; Name of a son of Dhṛtarāṣṭra; Plumbago zeylanica
citra	citra/	praatipadika	4	a picture; a spot; answer; clear; delineation; sketch
citra	citra/	praatipadika	5	sky; the ether
citra	citra/	praatipadika	6	excellent; wonderful
citra	citra/	praatipadika	7	Ricinus communis
citra	citra/	praatipadika	8	a form of Yama
citra	citra/	praatipadika	9	arranging verses in the shape of mathematical
citra	citra/	praatipadika	10	containing the word
citra	citra/	praatipadika	11	facetious conversation
citra	citra/	praatipadika	12	manifold
citra	citra/	praatipadika	13	various modes of writing
dfS	df/S	praatipadika	0	appearance; look; sight; the eye; the observed spot
dfS	dfS	praatipadika	0	compose; consider; contrive Aorist; demonstrate; examine; find out; learn; look at; look into; think; try; visit
dfS	df/S	praatipadika	1	discerning; knowing; seeing
dfS	dfS	praatipadika	1	long for; to; to be shown; to notice; to see; to wait on; to wish to see
dfS	df/S	praatipadika	2	looking at; view; viewing
dfS	dfS	praatipadika	2	appear; be seen; become visible; manifested; to be always visible; to be seen
dfS	df/S	praatipadika	3	doctrine; theory
dfS	dfS	praatipadika	3	behold; regard; to see by divine intuition; to see with the mind; understand
dfS	df/S	praatipadika	4	the aspect of a planet
dfS	dfS	praatipadika	4	to cause to see; to produce or pay; to show a thing; to show or prove; to wish to show
dfS	dfS	praatipadika	5	care for
dfS	dfS	praatipadika	6	person
eka	e/ka	praatipadika	0	alone; happening only once; single; single of its kind; singular; solitary; unique
