lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	1	a discreet; affection; affections; animals; attachment; emotion; love; nature; opinion; passion; plants; reality; sentiment; substance; to feel an affection for; truth; wanton sport
BAva	BAva/	praatipadika	2	becoming; being; dalliance; existing; exists; feeling; living creature all earthly objects; occurring; superhuman power; that which is; the Supreme Being; the world; thing; transition into; turning; universe
BAva	BAva/	praatipadika	3	condition; true condition
BAva	BAva/	praatipadika	4	any state of mind and body; conjecture; contemplation; continuance; intention with whatever disposition of mind; meaning; meditation; mind with a pleased mind; state; supposition; the fundamental notion of the verb; the sense conveyed by the abstract noun; the state; way of thinking
BAva	BAva/	praatipadika	5	learned man
BAva	BAva/	praatipadika	6	an astrological house; lunar mansion
BAva	BAva/	praatipadika	7	advice; appearance; behaviour; character; conduct; disposition; instruction; manner of acting; manner of being; temperament; to be ill disposed against
BAva	BAva/	praatipadika	8	condition of a planet; of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	9	purport
BAva	BAva/	praatipadika	10	rank
BAva	BAva/	praatipadika	11	such is the sense
BAva	BAva/	praatipadika	12	an organ of sense; birth; heart; place of birth; soul; the seat of the feelings; the womb
BAva	BAva/	praatipadika	13	to make a firm resolution
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	Name of Viṣṇu; Name of an Ekāha; one of the three Vyāhṛtis
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	a place; a sacrificial fire; earth; matter; object; space; spot; the earth; universe; world
BU	BU/	dhaatu	2	a term for the letter
BU	BU/	dhaatu	3	arising; becoming; being; existing; springing; the act of becoming; the place of being
BU	BU/	dhaatu	4	floor; ground; land; landed property; pavement; piece of ground; soil
BU	BU/	dhaatu	5	symbolical name for the number one
BU	BU/	dhaatu	6	the base of any geometrical figure
Darma	Da/rma	praatipadika	0	Law; a particular ceremony; customary observance; firm; law; ordinance; prescribed conduct; property; statute; steadfast decree; that which is established; the law
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	a Soma-drinker; a bow; an Upaniṣad
Darma	Da/rma	praatipadika	3	Justice personified; associating with the virtuous; character; devotion; doctrine of Buddhism; duty; essential quality; justice; morality; nature; religion; religious abstraction; religious merit; sacrifice; the ethical precepts of Buddhism; the law of Northern Buddhism; virtue
Darma	Da/rma	praatipadika	4	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	5	good works
Darma	Da/rma	praatipadika	6	mark
Darma	Da/rma	praatipadika	7	of Uśanas
Darma	Da/rma	praatipadika	8	peculiar condition; peculiarity
Darma	Da/rma	praatipadika	9	practice
Darma	Da/rma	praatipadika	10	right
Darma	Da/rma	praatipadika	11	the ninth mansion
Darma	Da/rma	praatipadika	12	usage
agra	a/gra	praatipadika	0	chief; summit; tip; top
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	a measure of food given as alms; a weight; equal to a pala
agra	a/gra	praatipadika	2	figuratively
agra	a/gra	praatipadika	3	anterior; first; foremost; foremost point; front; projecting; prominent
agra	a/gra	praatipadika	4	best; best part; part; the beginning; the climax; the nearest end; uppermost part
agra	a/gra	praatipadika	5	aim; and hence; goal; point
agra	a/gra	praatipadika	6	sharpness; surface
agra	a/gra	praatipadika	7	multitude; supernumerary
agra	a/gra	praatipadika	8	the sun's amplitude
arTa	a/rTa	praatipadika	0	Buddhi; personified as the son of Dharma
arTa	a/rTa	praatipadika	1	Name of the second mansion; money; price; property; the mansion of wealth; wealth
arTa	a/rTa	praatipadika	2	action; affair; cause; concern; lawsuit; motive; prevention; prohibition; reason; take up one's work
arTa	a/rTa	praatipadika	3	advantage; aim; purpose; use; utility
arTa	a/rTa	praatipadika	4	having to do with; kind; manner; meaning; needing anything; wanting
arTa	a/rTa	praatipadika	5	notion; object; object of the senses; opulence; sense; substance; the number five; thing
arTa	a/rTa	praatipadika	6	to go to one's business
banD	banD	dhaatu	0	bridge over
banD	banD	dhaatu	1	compose; conceive; construct; constructed; do; exhibit; make; produce anything in this way; produce in any way
banD	banD	dhaatu	2	dammed up
