lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	supposition; the fundamental notion of the verb
BAva	BAva/	praatipadika	1	affection; affections; emotion; feeling; love; passion; sentiment; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	2	behaviour; conduct; continuance; disposition; existing; occurring
BAva	BAva/	praatipadika	3	contemplation; intention with whatever disposition of mind; mind with a pleased mind; way of thinking
BAva	BAva/	praatipadika	4	becoming; being; manner of being; meaning; such is the sense
BAva	BAva/	praatipadika	5	nature; plants
BAva	BAva/	praatipadika	6	birth; place of birth; the womb
BAva	BAva/	praatipadika	7	exists; reality; truth
BAva	BAva/	praatipadika	8	an astrological house; lunar mansion
BAva	BAva/	praatipadika	9	turning
BAva	BAva/	praatipadika	10	dalliance; purport
BAva	BAva/	praatipadika	11	substance; thing
BAva	BAva/	praatipadika	12	soul
BAva	BAva/	praatipadika	13	the world; universe
BAva	BAva/	praatipadika	14	opinion
BAva	BAva/	praatipadika	15	rank
BAva	BAva/	praatipadika	16	temperament
BAva	BAva/	praatipadika	17	the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	18	condition; true condition
BAva	BAva/	praatipadika	19	to be ill disposed against
BAva	BAva/	praatipadika	20	transition into
BAva	BAva/	praatipadika	21	superhuman power
BAva	BAva/	praatipadika	22	instruction
BAva	BAva/	praatipadika	23	living creature all earthly objects
BAva	BAva/	praatipadika	24	wanton sport
BAva	BAva/	praatipadika	25	animals
BAva	BAva/	praatipadika	26	learned man
BAva	BAva/	praatipadika	27	heart
BAva	BAva/	praatipadika	28	state; the state
BAva	BAva/	praatipadika	29	Name of the 27th Kalpa
BAva	BAva/	praatipadika	30	a discreet
BAva	BAva/	praatipadika	31	character
BAva	BAva/	praatipadika	32	manner of acting
BAva	BAva/	praatipadika	33	attachment
BAva	BAva/	praatipadika	34	condition of a planet
BAva	BAva/	praatipadika	35	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	36	that which is
BAva	BAva/	praatipadika	37	an organ of sense
BAva	BAva/	praatipadika	38	the Supreme Being
BAva	BAva/	praatipadika	39	advice
BAva	BAva/	praatipadika	40	any state of mind and body
BAva	BAva/	praatipadika	41	conjecture
BAva	BAva/	praatipadika	42	to make a firm resolution
BAva	BAva/	praatipadika	43	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	44	meditation
BAva	BAva/	praatipadika	45	appearance
BU	BU	dhaatu	0	a particular land-measure
BU	BU/	dhaatu	0	earth; land; matter; space; the earth; universe; world
BU	BU	dhaatu	1	Name of a Yogin
BU	BU/	dhaatu	1	the base of any geometrical figure
BU	BU/	dhaatu	2	arising; becoming; being; existing; the act of becoming
BU	BU/	dhaatu	3	springing
BU	BU/	dhaatu	4	symbolical name for the number one
BU	BU/	dhaatu	5	floor; ground; pavement; piece of ground
BU	BU/	dhaatu	6	soil
BU	BU/	dhaatu	7	a term for the letter
BU	BU/	dhaatu	8	Name of an Ekāha
BU	BU/	dhaatu	9	object
BU	BU/	dhaatu	10	one of the three Vyāhṛtis
BU	BU/	dhaatu	11	a sacrificial fire
BU	BU/	dhaatu	12	a place; spot; the place of being
BU	BU/	dhaatu	13	landed property
BU	BU/	dhaatu	14	Name of Viṣṇu
Darma	Da/rma	praatipadika	0	associating with the virtuous; morality; virtue
Darma	Darma	naama-dhaatu	0	to become
Darma	Da/rma	praatipadika	1	f° of Dhṛta; f° of Netra
Darma	Darma	naama-dhaatu	1	law
Darma	Da/rma	praatipadika	2	a particular ceremony; customary observance
Darma	Da/rma	praatipadika	3	essential quality; good works
Darma	Da/rma	praatipadika	4	Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata
Darma	Da/rma	praatipadika	5	steadfast decree
Darma	Da/rma	praatipadika	6	Law; law; ordinance; statute; the law
Darma	Da/rma	praatipadika	7	doctrine of Buddhism; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Da/rma	praatipadika	8	an Upaniṣad; of Uśanas
Darma	Da/rma	praatipadika	9	Justice personified; justice
Darma	Da/rma	praatipadika	10	devotion; religion; religious abstraction; religious merit
Darma	Da/rma	praatipadika	11	sacrifice
Darma	Da/rma	praatipadika	12	practice
Darma	Da/rma	praatipadika	13	firm
Darma	Da/rma	praatipadika	14	that which is established
Darma	Da/rma	praatipadika	15	the ninth mansion
Darma	Da/rma	praatipadika	16	peculiar condition; peculiarity
Darma	Da/rma	praatipadika	17	prescribed conduct
Darma	Da/rma	praatipadika	18	Name of a lexicographer
Darma	Da/rma	praatipadika	19	mark
Darma	Da/rma	praatipadika	20	usage
Darma	Da/rma	praatipadika	21	Name of another man
Darma	Da/rma	praatipadika	22	character
Darma	Da/rma	praatipadika	23	a Soma-drinker
Darma	Da/rma	praatipadika	24	property
Darma	Da/rma	praatipadika	25	a bow
Darma	Da/rma	praatipadika	26	nature
Darma	Da/rma	praatipadika	27	Name of the 15th Arhat of the present Ava-sarpiṇī
Darma	Da/rma	praatipadika	28	duty
Darma	Da/rma	praatipadika	29	Name of a king of Kaśmīra
Darma	Da/rma	praatipadika	30	right
Darma	Da/rma	praatipadika	31	father of Ghṛta
agra	a/gra	praatipadika	0	best; best part; part; prominent; top; uppermost part
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	and hence; anterior; first; foremost; the beginning
agra	a/gra	praatipadika	2	aim; goal
agra	a/gra	praatipadika	3	foremost point; point; tip
agra	a/gra	praatipadika	4	the nearest end
agra	a/gra	praatipadika	5	sharpness
agra	a/gra	praatipadika	6	surface
agra	a/gra	praatipadika	7	supernumerary
agra	a/gra	praatipadika	8	the sun's amplitude
agra	a/gra	praatipadika	9	summit
agra	a/gra	praatipadika	10	equal to a pala
agra	a/gra	praatipadika	11	a weight
agra	a/gra	praatipadika	12	multitude
agra	a/gra	praatipadika	13	chief
agra	a/gra	praatipadika	14	projecting
agra	a/gra	praatipadika	15	a measure of food given as alms
agra	a/gra	praatipadika	16	front
agra	a/gra	praatipadika	17	figuratively
agra	a/gra	praatipadika	18	the climax
arTa	a/rTa	praatipadika	0	concern; prevention
arTa	a/rTa	praatipadika	1	needing anything; wanting
arTa	a/rTa	praatipadika	2	money; price; wealth
arTa	a/rTa	praatipadika	3	having to do with; manner; meaning; notion; sense
arTa	a/rTa	praatipadika	4	use
arTa	a/rTa	praatipadika	5	action; aim
arTa	a/rTa	praatipadika	6	Name of the second mansion; the mansion of wealth
arTa	a/rTa	praatipadika	7	utility
arTa	a/rTa	praatipadika	8	advantage; cause; motive; purpose; reason
arTa	a/rTa	praatipadika	9	take up one's work
arTa	a/rTa	praatipadika	10	substance
arTa	a/rTa	praatipadika	11	Buddhi; personified as the son of Dharma
arTa	a/rTa	praatipadika	12	kind
arTa	a/rTa	praatipadika	13	affair
arTa	a/rTa	praatipadika	14	prohibition
arTa	a/rTa	praatipadika	15	the number five
arTa	a/rTa	praatipadika	16	to go to one's business
arTa	a/rTa	praatipadika	17	property
arTa	a/rTa	praatipadika	18	object; thing
arTa	a/rTa	praatipadika	19	lawsuit
arTa	a/rTa	praatipadika	20	opulence
arTa	a/rTa	praatipadika	21	object of the senses
banD	banD	dhaatu	0	capture; catch; to catch
banD	banD	dhaatu	1	close; shut; stop
banD	banD	dhaatu	2	to bind; to bind round; to bind together; to cause to bind
banD	banD	dhaatu	3	cause; to cause to be built; to cause to be embanked
banD	banD	dhaatu	4	contract; offer
banD	banD	dhaatu	5	put together; unite
banD	banD	dhaatu	6	clench; span
banD	banD	dhaatu	7	hold back; hold captive; restrain; suppress
banD	banD	dhaatu	8	compose; to form
banD	banD	dhaatu	9	do; fasten; fetter; put on; rivet on
banD	banD	dhaatu	10	sacrifice; to bind a sacrificial victim
banD	banD	dhaatu	11	produce anything in this way; produce in any way
banD	banD	dhaatu	12	construct; constructed
banD	banD	dhaatu	13	to entertain
banD	banD	dhaatu	14	fix; to fix
banD	banD	dhaatu	15	imprison; to arrest
banD	banD	dhaatu	16	to attach to world
banD	banD	dhaatu	17	sin again; to sin
banD	banD	dhaatu	18	bend; fold
banD	banD	dhaatu	19	to punish
banD	banD	dhaatu	20	exhibit; show
banD	banD	dhaatu	21	tie
banD	banD	dhaatu	22	direct
banD	banD	dhaatu	23	conceive
banD	banD	dhaatu	24	suffer
banD	banD	dhaatu	25	knit
banD	banD	dhaatu	26	assume
banD	banD	dhaatu	27	that is experience
banD	banD	dhaatu	28	set up
banD	banD	dhaatu	29	betray to be bound by the fetters of existence
banD	banD	dhaatu	30	bridge over
banD	banD	dhaatu	31	bear
banD	banD	dhaatu	32	dammed up
banD	banD	dhaatu	33	arrange
banD	banD	dhaatu	34	cherish
banD	banD	dhaatu	35	strike
banD	banD	dhaatu	36	effect
banD	banD	dhaatu	37	chain
banD	banD	dhaatu	38	evil
banD	banD	dhaatu	39	make
banD	banD	dhaatu	40	to be affected by id est
banD	banD	dhaatu	41	to join
banD	banD	dhaatu	42	take; take up
banD	banD	dhaatu	43	chastise
brahman	bra/hman	praatipadika	0	a sacred text; communicators of sacred knowledge; holy life; outpouring of the heart in worshipping the gods; pious effusion; prayer; religious; spiritual knowledge; the sacred word
brahman	brahma/n	praatipadika	0	a particular Kalpa; Ṛtvijas
brahman	bra/hman	praatipadika	1	the sacred syllable Om; utterance
brahman	brahma/n	praatipadika	1	a devout; as the first of the triad of personal gods; one versed in sacred knowledge; one who prays; religious man
brahman	bra/hman	praatipadika	2	the Eternal; the one universal Soul
brahman	brahma/n	praatipadika	2	Brahmā; a lifetime of Brahmā; an inhabitant of Brahmā's heaven
brahman	bra/hman	praatipadika	3	the Brāhmaṇa portion of the Veda; the Veda
brahman	brahma/n	praatipadika	3	Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī
brahman	bra/hman	praatipadika	4	one self-existent impersonal Spirit; the Self-existent
brahman	brahma/n	praatipadika	4	the sun
brahman	bra/hman	praatipadika	5	the Brahmă
brahman	brahma/n	praatipadika	5	δ Aurigae
brahman	bra/hman	praatipadika	6	wealth
brahman	brahma/n	praatipadika	6	the Veda
brahman	bra/hman	praatipadika	7	the class of men who are the repositories
brahman	brahma/n	praatipadika	7	a particular astronomy Yoga
brahman	bra/hman	praatipadika	8	final emancipation
brahman	brahma/n	praatipadika	8	the intellect
brahman	bra/hman	praatipadika	9	the Brāhmanical caste as a body
brahman	brahma/n	praatipadika	9	a Brāhman who is a knower of Vedic texts
brahman	bra/hman	praatipadika	10	a text
brahman	brahma/n	praatipadika	10	the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	11	food
brahman	brahma/n	praatipadika	11	Name of a magician
brahman	bra/hman	praatipadika	12	the Absolute
brahman	brahma/n	praatipadika	12	spells
brahman	bra/hman	praatipadika	13	Mantra used as a spell
brahman	brahma/n	praatipadika	13	Name of a star
brahman	brahma/n	praatipadika	14	one of the 4 principal priests
brahman	brahma/n	praatipadika	15	Name of Śiva
brahman	brahma/n	praatipadika	16	Name of Bṛhas-pati
citra	citra	praatipadika	0	leaping to
citra	citra/	praatipadika	0	answer; curious; riddle; strange; strange!; wonder
citra	citra	praatipadika	1	fro
citra	citra/	praatipadika	1	a bright; anything bright; bright; bright-coloured; coloured which strikes the eyes; variety of colour
citra	citra/	praatipadika	2	a picture; sketch
citra	citra/	praatipadika	3	different; various
citra	citra/	praatipadika	4	Name of a Draviḍa king; Name of a king
citra	citra/	praatipadika	5	extraordinary appearance; other fanciful figures
citra	citra/	praatipadika	6	conspicuous; distinguished
citra	citra/	praatipadika	7	Name of a Gandharva; Name of a Jābāla-gṛhapati
citra	citra/	praatipadika	8	various modes of writing
citra	citra/	praatipadika	9	variegated
citra	citra/	praatipadika	10	excellent; wonderful
citra	citra/	praatipadika	11	the ether
citra	citra/	praatipadika	12	a brilliant ornament; ornament
citra	citra/	praatipadika	13	speckled
citra	citra/	praatipadika	14	manifold
citra	citra/	praatipadika	15	facetious conversation
citra	citra/	praatipadika	16	sky
citra	citra/	praatipadika	17	punning in the form of question
citra	citra/	praatipadika	18	a sectarial mark on the forehead
citra	citra/	praatipadika	19	a form of Yama
citra	citra/	praatipadika	20	spotted
citra	citra/	praatipadika	21	agitated
citra	citra/	praatipadika	22	a forestof variegated appearance  on
citra	citra/	praatipadika	23	containing the word
citra	citra/	praatipadika	24	having different varieties
citra	citra/	praatipadika	25	arranging verses in the shape of mathematical
citra	citra/	praatipadika	26	Ricinus communis
citra	citra/	praatipadika	27	Jonesia Aśoka
citra	citra/	praatipadika	28	Name of a son of Dhṛtarāṣṭra
citra	citra/	praatipadika	29	Plumbago zeylanica
citra	citra/	praatipadika	30	delineation
citra	citra/	praatipadika	31	a spot
citra	citra/	praatipadika	32	clear
dfS	df/S	praatipadika	0	appearance; look; looking at; seeing; sight; the eye; view; viewing
dfS	dfS	praatipadika	0	behold; consider; examine; look at; look into; regard; think; to; understand; visit
dfS	df/S	praatipadika	1	the observed spot
dfS	dfS	praatipadika	1	be seen; to be seen; to be shown; to cause to see; to notice; to see; to see with the mind; to wish to see; to wish to show
dfS	df/S	praatipadika	2	doctrine; theory
dfS	dfS	praatipadika	2	appear; manifested
dfS	df/S	praatipadika	3	knowing
dfS	dfS	praatipadika	3	become visible; to be always visible
dfS	df/S	praatipadika	4	the aspect of a planet
dfS	dfS	praatipadika	4	to wait on
dfS	df/S	praatipadika	5	discerning
dfS	dfS	praatipadika	5	to see by divine intuition
dfS	dfS	praatipadika	6	demonstrate; to show a thing; to show or prove
dfS	dfS	praatipadika	7	to produce or pay
dfS	dfS	praatipadika	8	long for
dfS	dfS	praatipadika	9	contrive Aorist
dfS	dfS	praatipadika	10	learn
dfS	dfS	praatipadika	11	compose
dfS	dfS	praatipadika	12	person
dfS	dfS	praatipadika	13	care for
dfS	dfS	praatipadika	14	try
dfS	dfS	praatipadika	15	find out
eka	e/ka	praatipadika	0	a; an; following; singular; with preceding
eka	e/ka	praatipadika	1	sincere; truthful
eka	e/ka	praatipadika	2	alone; one; single; single of its kind; solitary
eka	e/ka	praatipadika	3	no one; nobody
