lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa; plants
BAva	BAva/	praatipadika	1	affection; affections; attachment; character; heart; learned man; to feel an affection for; turning
BAva	BAva/	praatipadika	2	an astrological house; animals; any state of mind and body; condition of a planet; living creature all earthly objects; lunar mansion; of the 8th year in Jupiter's cycle of 60 years; the seat of the feelings; the sense conveyed by the abstract noun; universe
BAva	BAva/	praatipadika	3	place of birth; the womb
BAva	BAva/	praatipadika	4	an organ of sense; superhuman power; the Supreme Being; the fundamental notion of the verb; the world
BAva	BAva/	praatipadika	5	the state
BAva	BAva/	praatipadika	6	a discreet; advice; appearance; becoming; behaviour; being; birth; condition; conduct; conjecture; contemplation; continuance; dalliance; disposition; emotion; existing; exists; feeling; instruction; intention with whatever disposition of mind; love; manner of acting; manner of being; meaning; meditation; mind with a pleased mind; nature; occurring; opinion; passion; purport; rank; reality; sentiment; soul; state; substance; such is the sense; supposition; temperament; that which is; thing; to be ill disposed against; transition into; true condition; truth; way of thinking
BAva	BAva/	praatipadika	7	to make a firm resolution
BAva	BAva/	praatipadika	8	wanton sport
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	Name of Viṣṇu
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	a place; a sacrificial fire; arising; becoming; being; earth; existing; floor; ground; land; landed property; matter; object; one of the three Vyāhṛtis; pavement; piece of ground; soil; space; spot; springing; the act of becoming; the base of any geometrical figure; the earth; the place of being; universe; world
BU	BU/	dhaatu	2	Name of an Ekāha; a term for the letter; symbolical name for the number one
Darma	Da/rma	praatipadika	0	Justice personified; essential quality
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; character; father of Ghṛta
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	Name of the 15th Arhat of the present Ava-sarpiṇī; a Soma-drinker; a bow; peculiar condition
Darma	Da/rma	praatipadika	3	firm
Darma	Da/rma	praatipadika	4	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	5	Law; a particular ceremony; an Upaniṣad; associating with the virtuous; customary observance; devotion; doctrine of Buddhism; duty; good works; justice; law; mark; morality; nature; of Uśanas; ordinance; peculiarity; practice; prescribed conduct; property; religion; religious abstraction; religious merit; right; sacrifice; statute; steadfast decree; that which is established; the ethical precepts of Buddhism; the law; the law of Northern Buddhism; usage; virtue
Darma	Da/rma	praatipadika	6	the ninth mansion
agra	a/gra	praatipadika	0	a measure of food given as alms
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	a weight; aim; and hence; anterior; best; best part; chief; equal to a pala; figuratively; first; foremost; foremost point; front; goal; multitude; part; point; projecting; prominent; sharpness; summit; surface; the beginning; the climax; the nearest end; tip; top; uppermost part
agra	a/gra	praatipadika	2	supernumerary
agra	a/gra	praatipadika	3	the sun's amplitude
arTa	a/rTa	praatipadika	0	Buddhi; personified as the son of Dharma
arTa	a/rTa	praatipadika	1	Name of the second mansion
arTa	a/rTa	praatipadika	2	action; affair; aim; cause; concern; having to do with; kind; manner; needing anything; object; object of the senses; opulence; prevention; prohibition; reason; substance; take up one's work; to go to one's business; utility
arTa	a/rTa	praatipadika	3	lawsuit
arTa	a/rTa	praatipadika	4	advantage; meaning; money; motive; notion; price; property; purpose; sense; the mansion of wealth; thing; use; wanting; wealth
arTa	a/rTa	praatipadika	5	the number five
banD	banD	dhaatu	0	arrange; assume; capture; compose; direct; exhibit; offer; set up; shut; strike; that is experience; to entertain
banD	banD	dhaatu	1	bear
banD	banD	dhaatu	2	betray to be bound by the fetters of existence; construct; show; sin again
banD	banD	dhaatu	3	bridge over; chain; cherish
banD	banD	dhaatu	4	conceive
banD	banD	dhaatu	5	knit
banD	banD	dhaatu	6	produce anything in this way; produce in any way
banD	banD	dhaatu	7	contract; tie; to attach to world; to form; to join; unite
banD	banD	dhaatu	8	to be affected by id est
banD	banD	dhaatu	9	bend; catch; cause; chastise; clench; close; constructed; dammed up; do; effect; evil; fasten; fetter; fix; fold; hold back; hold captive; imprison; make; put on; put together; restrain; rivet on; sacrifice; span; stop; suffer; suppress; take; take up; to arrest; to bind; to bind a sacrificial victim; to bind round; to bind together; to catch; to cause to be built; to cause to be embanked; to cause to bind; to fix; to punish; to sin
brahman	bra/hman	praatipadika	0	Mantra used as a spell; a text; the Brahmă; the Brāhmanical caste as a body; the Brāhmaṇa portion of the Veda
brahman	brahma/n	praatipadika	0	Brahmā; Name of Bṛhas-pati; Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī; Name of Śiva; a Brāhman who is a knower of Vedic texts; a lifetime of Brahmā; a particular Kalpa; one of the 4 principal priests; one who prays; spells; the Veda; δ Aurigae
brahman	bra/hman	praatipadika	1	communicators of sacred knowledge; final emancipation; pious effusion; the Veda
brahman	brahma/n	praatipadika	1	Name of a magician; an inhabitant of Brahmā's heaven; as the first of the triad of personal gods; one versed in sacred knowledge; religious man; the intellect; the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	2	food
brahman	brahma/n	praatipadika	2	Name of a star; a devout; a particular astronomy Yoga; the sun; Ṛtvijas
brahman	bra/hman	praatipadika	3	a sacred text; holy life; one self-existent impersonal Spirit; outpouring of the heart in worshipping the gods; prayer; religious; spiritual knowledge; the Absolute; the Eternal; the Self-existent; the one universal Soul; the sacred syllable Om; the sacred word; utterance
brahman	bra/hman	praatipadika	4	the class of men who are the repositories
brahman	bra/hman	praatipadika	5	wealth
citra	citra	praatipadika	0	fro
citra	citra/	praatipadika	0	Jonesia Aśoka
citra	citra	praatipadika	1	leaping to
citra	citra/	praatipadika	1	Name of a Draviḍa king; Name of a king; Name of a son of Dhṛtarāṣṭra
citra	citra/	praatipadika	2	Name of a Gandharva; Name of a Jābāla-gṛhapati; Plumbago zeylanica; a bright; a forestof variegated appearance  on; a form of Yama; a sectarial mark on the forehead; agitated; anything bright; bright; bright-coloured; clear; coloured which strikes the eyes; delineation; excellent; extraordinary appearance; having different varieties; manifold; other fanciful figures; sky; spotted; variegated; variety of colour; wonderful
citra	citra/	praatipadika	3	arranging verses in the shape of mathematical
citra	citra/	praatipadika	4	Ricinus communis; a brilliant ornament; a picture; a spot; answer; conspicuous; containing the word; curious; different; distinguished; facetious conversation; ornament; punning in the form of question; riddle; sketch; speckled; strange; strange!; various; wonder
citra	citra/	praatipadika	5	the ether
citra	citra/	praatipadika	6	various modes of writing
dfS	df/S	praatipadika	0	appearance; discerning; doctrine; knowing; look; looking at; seeing; sight; the aspect of a planet; the eye; the observed spot; theory; view; viewing
dfS	dfS	praatipadika	0	appear; be seen; become visible; behold; care for; compose; consider; contrive Aorist; demonstrate; examine; find out; learn; long for; look at; look into; manifested; person; regard; think; to; to be always visible; to be seen; to be shown; to cause to see; to notice; to see; to see by divine intuition; to see with the mind; to show a thing; to show or prove; to wait on; to wish to see; to wish to show; try; understand; visit
dfS	dfS	praatipadika	1	to produce or pay
eka	e/ka	praatipadika	0	Name of a son of Raya
eka	e/ka	praatipadika	1	Name of a teacher
eka	e/ka	praatipadika	2	a; a unit; alone; an; chief; excellent; following; happening only once; identical; little; many; no one; nobody; one; one by one; one of two; pre-eminent; sincere; single; single of its kind; singular; small; solitary; that one only; the same; truthful; unique; unity; with preceding
eva	e/va	praatipadika	0	a horse
eva	eva/	avyaya	0	affirmation; alone; already; command; detraction; diminution; even; exactly; exactly so; immediately on; indeed; is a mere expletive without any exact meaning and not translatable implies emphasis; just; just so; merely; only; really; restrainment; same; so; still; truly; very
eva	e/va	praatipadika	1	conduct; course; custom; going; habit; manner of acting; moving; proceeding; quick; speedy; the earth; usage; way; world
gam	gam	dhaatu	0	approach; condition; explain; grant; guess; meaning; not care about; observe; obtain; perceive; receive; to excel; to observe; understand
gam	gam	dhaatu	1	ascribe guilt to a person; attack; cause to become; intelligible; to approach with an accusation; to cause to go to any condition; to cause to understand; to convey an idea
gam	gam	dhaatu	2	have sexual intercourse with
gam	gam	dhaatu	3	kneel down; partake of; to cause a person to go by means of another; to decease; to go against with hostile intentions; to impart
gam	gam	dhaatu	4	make a bow
gam	gam	dhaatu	5	be going; bring to a place; come; denote; die; go away; make clear; move; participate in; pass; set out; to approach carnally; to fall to the share of; to go; to go to; to go to any state; to go to the earth with the head; to go to the earth with the knees; to go with the mind; to let go; to send away; to spend time; to strive to obtain; to wish to bring; to wish to go; towards; undergo
