lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	1	an astrological house; condition of a planet; living creature all earthly objects; lunar mansion; nature; of the 8th year in Jupiter's cycle of 60 years; plants; the world; universe
BAva	BAva/	praatipadika	2	advice; affection; affections; any state of mind and body; attachment; emotion; feeling; heart; love; meditation; mind with a pleased mind; opinion; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	3	birth; place of birth; the womb
BAva	BAva/	praatipadika	4	an organ of sense; being; intention with whatever disposition of mind; manner of acting; manner of being; meaning; such is the sense; superhuman power; supposition; that which is; the Supreme Being; the fundamental notion of the verb; the sense conveyed by the abstract noun; way of thinking
BAva	BAva/	praatipadika	5	state; the state
BAva	BAva/	praatipadika	6	to make a firm resolution
BAva	BAva/	praatipadika	7	a discreet; animals; appearance; becoming; behaviour; character; condition; conduct; conjecture; contemplation; continuance; dalliance; disposition; existing; exists; instruction; learned man; occurring; purport; rank; reality; substance; thing; to be ill disposed against; transition into; true condition; truth; turning
BAva	BAva/	praatipadika	8	wanton sport
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	a place; floor; ground; land; landed property; pavement; piece of ground; soil; space; spot; the base of any geometrical figure
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	Name of Viṣṇu; Name of an Ekāha; a term for the letter; one of the three Vyāhṛtis; symbolical name for the number one
BU	BU/	dhaatu	2	a sacrificial fire; arising; becoming; being; earth; existing; matter; object; springing; the act of becoming; the earth; the place of being; universe; world
Darma	Da/rma	praatipadika	0	Justice personified; Law; duty; firm; justice; law; morality; ordinance; practice; prescribed conduct; property; statute; steadfast decree; the law
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	a particular ceremony; associating with the virtuous; customary observance; devotion; doctrine of Buddhism; religion; religious abstraction; religious merit; sacrifice; the ethical precepts of Buddhism; the law of Northern Buddhism; virtue
Darma	Da/rma	praatipadika	3	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	4	a Soma-drinker; a bow; an Upaniṣad; character; essential quality; good works; mark; nature; of Uśanas; peculiar condition; peculiarity; right; that which is established; usage
Darma	Da/rma	praatipadika	5	the ninth mansion
agra	a/gra	praatipadika	0	a measure of food given as alms
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	and hence; anterior; figuratively; foremost; multitude; part; the beginning; the climax
agra	a/gra	praatipadika	2	best; best part; chief; first; foremost point; front; prominent; summit; the nearest end; top; uppermost part
agra	a/gra	praatipadika	3	a weight; aim; equal to a pala; goal; point; projecting; sharpness; surface; tip
agra	a/gra	praatipadika	4	supernumerary
agra	a/gra	praatipadika	5	the sun's amplitude
arTa	a/rTa	praatipadika	0	Buddhi; personified as the son of Dharma
arTa	a/rTa	praatipadika	1	advantage; cause; concern; having to do with; motive; prevention; prohibition; reason; take up one's work; to go to one's business; use; utility
arTa	a/rTa	praatipadika	2	lawsuit
arTa	a/rTa	praatipadika	3	Name of the second mansion; money; price; property; the mansion of wealth; wealth
arTa	a/rTa	praatipadika	4	action; affair; aim; kind; manner; meaning; needing anything; notion; object; object of the senses; opulence; purpose; sense; substance; thing; wanting
arTa	a/rTa	praatipadika	5	the number five
banD	banD	dhaatu	0	bear
banD	banD	dhaatu	1	capture; catch; clench; dammed up; hold back; hold captive; imprison; restrain; take up; to arrest; to catch; to punish
banD	banD	dhaatu	2	conceive
banD	banD	dhaatu	3	assume; bend; bridge over; chain; chastise; cherish; close; direct; do; effect; exhibit; fasten; fetter; offer; rivet on; show; shut; span; stop; suppress; take; that is experience; to entertain
banD	banD	dhaatu	4	arrange; compose; construct; constructed; contract; fix; fold; knit; make; produce anything in this way; produce in any way; put on; put together; set up; strike; tie; to attach to world; to bind; to bind round; to bind together; to fix; to form; to join; unite
banD	banD	dhaatu	5	to be affected by id est
banD	banD	dhaatu	6	betray to be bound by the fetters of existence; cause; evil; sacrifice; sin again; suffer; to bind a sacrificial victim; to cause to be built; to cause to be embanked; to cause to bind; to sin
brahman	bra/hman	praatipadika	0	Mantra used as a spell; a sacred text; a text; the sacred syllable Om; utterance
brahman	brahma/n	praatipadika	0	Brahmā; Name of Bṛhas-pati; Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī; Name of Śiva; a Brāhman who is a knower of Vedic texts; a lifetime of Brahmā; a particular Kalpa; spells; the Veda; δ Aurigae; Ṛtvijas
brahman	bra/hman	praatipadika	1	communicators of sacred knowledge; holy life; outpouring of the heart in worshipping the gods; pious effusion; prayer; religious; spiritual knowledge; the sacred word
brahman	brahma/n	praatipadika	1	Name of a magician; a devout; an inhabitant of Brahmā's heaven; as the first of the triad of personal gods; one of the 4 principal priests; one versed in sacred knowledge; one who prays; religious man; the intellect; the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	2	food
brahman	brahma/n	praatipadika	2	Name of a star; a particular astronomy Yoga; the sun
brahman	bra/hman	praatipadika	3	final emancipation; one self-existent impersonal Spirit; the Absolute; the Eternal; the Self-existent; the one universal Soul
brahman	bra/hman	praatipadika	4	the Brahmă; the Brāhmanical caste as a body; the Brāhmaṇa portion of the Veda; the Veda
brahman	bra/hman	praatipadika	5	the class of men who are the repositories
brahman	bra/hman	praatipadika	6	wealth
citra	citra	praatipadika	0	fro
citra	citra/	praatipadika	0	Jonesia Aśoka
citra	citra	praatipadika	1	leaping to
citra	citra/	praatipadika	1	Name of a Draviḍa king; Name of a Gandharva; Name of a Jābāla-gṛhapati; Name of a king; Name of a son of Dhṛtarāṣṭra; a form of Yama; a sectarial mark on the forehead
citra	citra/	praatipadika	2	a forestof variegated appearance  on; clear; delineation; distinguished; manifold; speckled; variegated
citra	citra/	praatipadika	3	arranging verses in the shape of mathematical
citra	citra/	praatipadika	4	a picture; a spot; conspicuous; other fanciful figures; sketch; spotted
citra	citra/	praatipadika	5	containing the word; facetious conversation; punning in the form of question
citra	citra/	praatipadika	6	the ether
citra	citra/	praatipadika	7	a bright; a brilliant ornament; anything bright; bright; bright-coloured; coloured which strikes the eyes; excellent; extraordinary appearance; variety of colour; wonderful
citra	citra/	praatipadika	8	various modes of writing
citra	citra/	praatipadika	9	Plumbago zeylanica; Ricinus communis; agitated; answer; curious; different; having different varieties; ornament; riddle; sky; strange; strange!; various; wonder
dfS	df/S	praatipadika	0	discerning; doctrine; knowing; the aspect of a planet; theory
dfS	dfS	praatipadika	0	be seen; become visible; demonstrate; long for; manifested; to be always visible; to be seen; to be shown; to cause to see; to notice; to see; to see by divine intuition; to see with the mind; to show a thing; to show or prove; to wait on; to wish to see; to wish to show
dfS	df/S	praatipadika	1	appearance; look; looking at; seeing; sight; the eye; the observed spot; view; viewing
dfS	dfS	praatipadika	1	appear; behold; care for; compose; consider; contrive Aorist; examine; find out; learn; look at; look into; person; regard; think; to; try; understand; visit
dfS	dfS	praatipadika	2	to produce or pay
eka	e/ka	praatipadika	0	Name of a son of Raya
eka	e/ka	praatipadika	1	Name of a teacher
eka	e/ka	praatipadika	2	alone; happening only once; little; no one; nobody; one; one by one; one of two; single; single of its kind; small; solitary; that one only
eka	e/ka	praatipadika	3	a; a unit; an; chief; excellent; following; identical; many; pre-eminent; sincere; singular; the same; truthful; unique; unity; with preceding
eva	e/va	praatipadika	0	a horse
eva	eva/	avyaya	0	affirmation; alone; command; detraction; diminution; even; is a mere expletive without any exact meaning and not translatable implies emphasis; merely; only; restrainment; same
eva	e/va	praatipadika	1	going; moving; proceeding; quick; speedy
eva	eva/	avyaya	1	already; exactly; exactly so; immediately on; indeed; just; just so; really; so; still; truly; very
eva	e/va	praatipadika	2	conduct; course; custom; habit; manner of acting; the earth; usage; way; world
gam	gam	dhaatu	0	ascribe guilt to a person; attack; cause to become; kneel down; to approach with an accusation; to cause a person to go by means of another; to cause to go to any condition; to decease; to fall to the share of; to go against with hostile intentions
gam	gam	dhaatu	1	have sexual intercourse with
gam	gam	dhaatu	2	make a bow
gam	gam	dhaatu	3	approach; condition; denote; die; explain; grant; guess; intelligible; make clear; meaning; not care about; observe; obtain; partake of; participate in; perceive; receive; to approach carnally; to cause to understand; to convey an idea; to excel; to impart; to observe; to strive to obtain; towards; undergo; understand
gam	gam	dhaatu	4	be going; bring to a place; come; go away; move; pass; set out; to go; to go to; to go to any state; to go to the earth with the head; to go to the earth with the knees; to go with the mind; to let go; to send away; to spend time; to wish to bring; to wish to go
grah	grah	dhaatu	0	draw water
grah	grah	dhaatu	1	admit; begin; claim; consider as; familiar with; follow; gather; learn; make acquainted; mention; name; observe; recognise; to abstract; to assume; to be meant by; to choose; to desire to perceive; to include; to make any one learn; to obey; to observe; to perceive; to place upon; to receive into the mind; to use; undergo; understand; undertake
grah	grah	dhaatu	2	apprehend; grasp; keep; lay hold of; overpowered over to any one; put on; seize; strive to apprehend; take; take away; take back; to be about to eclipse; to be about to seize; to be about to take away; to cause any one to be captured; to cause any one to be seized; to cause to take; to eclipse; to lay the hand on; to pluck; to take for; to take into the mouth; to take on one's self; to take up
grah	grah	dhaatu	3	give away a girl in marriage to any one; to cause to marry; to choose any one as a wife; to make any one choose
grah	grah	dhaatu	4	accept; approve; obtain; pick; receive; to accept; to acquire by purchase; to calculate; to collect a store of anything; to gain; to receive hospitably; win
han	han	dhaatu	0	a killer; killing; slayer
han	han	naama-dhaatu	0	abandon; avert; come into contact; give up; hammer; hinder; mar; pound; slay; to dispel; to hurl upon; to mar; to obstruct; to repress; to slay; to smite; to ward off
han	han	naama-dhaatu	1	cause to be executed; destroy; kill; killed; punish; put to death; to cause to be slain; to notify a person's death; to put to death; to wish to kill
han	han	naama-dhaatu	2	beat; hit; injure; strike upon; to be struck; to hurt; to strike; to strike off; to strike or tread upon; to touch; wound
hari	ha/ri	praatipadika	0	Name of a metre; Name of a particular high number
hari	hari	praatipadika	0	an exclamation
hari	ha/ri	praatipadika	1	Name of a world
hari	hari	praatipadika	1	bearing; carrying
hari	ha/ri	praatipadika	2	Name of Brahmā; Name of Indra; Name of Suparṇa; Name of Viṣṇu-Kṛṣṇa; Name of Vāyu; Name of Yama; Name of a Dānava; Name of a Rākṣasa; Name of a mountain; Name of a son of Akampana; Name of a son of Garuḍa; Name of a son of Parājit; Name of a son of Parāvṛt; Name of a son of Tārakākṣa; Name of a worshipper of Viṣṇu; Name of Śiva; Name of Śukra; a particular class of gods under Manu Tāmasa
hari	ha/ri	praatipadika	3	a horse
hari	ha/ri	praatipadika	4	a frog; a goose; a lion; a monkey; a parrot; a peacock; a snake; the Koil or Indian cuckoo
hari	ha/ri	praatipadika	5	Name of various authors; Phaseolus Mungo; a jackal; bay; fallow; fire; men; people; scholars; steed; tawny
hari	ha/ri	praatipadika	6	a ray of light; brown; fawn-coloured; green; greenish; pale yellow; reddish brown; the moon; the sign of the zodiac Leo; the sun; the wind; yellow
hi	hi	dhaatu	0	cast
hi	hi/	avyaya	0	do; just
hi	hi/	dhaatu	0	assuredly; because; certainly; for; indeed; most assuredly; of course; on account of; surely
hi	hi	dhaatu	1	bring; delight; hasten on; hurl; impel; procure; set in motion; shoot; to gladden
hi	hi/	avyaya	1	pray
hi	hi/	dhaatu	1	especially to avoid a hiatus
hi	hi	dhaatu	2	help to; incite to; to assist; to convey; to discharge; to send forth; to stimulate; urge on
hi	hi/	dhaatu	2	an interjection of envy and contempt and hurry; indeed-but; often a mere expletive; sometimes repeated in the same sentence
hi	hi	dhaatu	3	abandon; get rid of; to forsake
kAla	kAla	praatipadika	0	Name of Rudra; Name of a Nāga-rāja; Name of a Rakṣas; Name of a brother of king Prasena-jit; Name of a future Buddha; Name of a mountain; Name of a son of Hrada; Name of an author of Mantras; Name of an enemy of Śiva; Name of Śiva; a mystical Name of the letter; of one of the nine treasures; of the prince Kāla-yavana
kAla	kAla/	praatipadika	0	death; death by age; destiny; fate; the end; time of death
kAla	kAla	praatipadika	1	a black; a black kind of Agallochum; a kind of perfume; black; dark-blue; dark-blue colour; of a dark colour; the black part of the eye
kAla	kAla/	praatipadika	1	a fixed; a section; circumstance; occasion; part; prosody
kAla	kAla	praatipadika	2	iron
kAla	kAla/	praatipadika	2	season; season for
kAla	kAla	praatipadika	3	a red kind of Plumbago; the Indian cuckoo; the poisonous serpent Coluber Naga
kAla	kAla/	praatipadika	3	a period of time; a space of time; hour; meal-time; measure of time; right point of time; the proper time; time; time of the world
kAla	kAla	praatipadika	4	the planet Saturn
kAla	kAla	praatipadika	5	the plant Cassia Sophora; the resin of the plant Shorea robusta
karman	ka/rman	praatipadika	0	action; action consisting in motion; activity; calculation; effect; performance; physicking; product; result
karman	ka/rman	praatipadika	1	medical attendance
karman	ka/rman	praatipadika	2	business; labour; occupation; office; work
karman	ka/rman	praatipadika	3	act; any religious act; fate; former act as leading to inevitable results; obligation; organ of sense; rite; special duty; the object
karman	ka/rman	praatipadika	4	the tenth lunar mansion
kavi	kav	praatipadika	0	Name of Agni; Name of Indra; Name of Maruts; Name of Varuṇa; Name of the Aśvins; Name of Ādityas
kavi	kavi/	praatipadika	0	Name of the gates of the sacrificial enclosure
kavi	kav	praatipadika	1	Name of several gods; a singer; a wise man; bard; poet; prophet; sage; seer
kavi	kavi/	praatipadika	1	Name of the planet Venus
kavi	kavi/	praatipadika	2	Name of Brahmā; Name of Pūṣan; Name of Vālmīki; Name of a particular poet; Name of a son of Bhṛgu; Name of a son of Brahmā; Name of a son of Kauśika; Name of a son of Ṛṣabha; Name of ancient patriarchs; Name of other sacrificers; Name of the Soma; Name of the Soma priest; Name of the ancient sages; Name of the sons of several Manus; Name of the Ṛbhus; Name of Śukra; father of Śukra; of various men; the soul in the Sāṃkhya philosophy
kavi	kavi/	praatipadika	3	an owl
