lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa; a discreet; advice; affection; affections; an astrological house; an organ of sense; animals; any state of mind and body; appearance; attachment; becoming; behaviour; being; birth; character; condition; condition of a planet; conduct; conjecture; contemplation; continuance; dalliance; disposition; emotion; existing; exists; feeling; heart; instruction; intention with whatever disposition of mind; learned man; living creature all earthly objects; love; lunar mansion; manner of acting; manner of being; meaning; meditation; mind with a pleased mind; nature; occurring; of the 8th year in Jupiter's cycle of 60 years; opinion; passion; place of birth; plants; purport; rank; reality; sentiment; soul; state; substance; such is the sense; superhuman power; supposition; temperament; that which is; the Supreme Being; the fundamental notion of the verb; the seat of the feelings; the sense conveyed by the abstract noun; the state; the womb; the world; thing; to be ill disposed against; to feel an affection for; to make a firm resolution; transition into; true condition; truth; turning; universe; wanton sport; way of thinking
BU	BU	dhaatu	0	Name of a Yogin; a particular land-measure
BU	BU/	dhaatu	0	Name of Viṣṇu; Name of an Ekāha; a place; a sacrificial fire; a term for the letter; arising; becoming; being; earth; existing; floor; ground; land; landed property; matter; object; one of the three Vyāhṛtis; pavement; piece of ground; soil; space; spot; springing; symbolical name for the number one; the act of becoming; the base of any geometrical figure; the earth; the place of being; universe; world
Darma	Da/rma	praatipadika	0	Justice personified; Law; Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; a Soma-drinker; a bow; a particular ceremony; an Upaniṣad; associating with the virtuous; character; customary observance; devotion; doctrine of Buddhism; duty; essential quality; father of Ghṛta; firm; f° of Dhṛta; f° of Netra; good works; justice; law; mark; morality; nature; of Uśanas; ordinance; peculiar condition; peculiarity; practice; prescribed conduct; property; religion; religious abstraction; religious merit; right; sacrifice; statute; steadfast decree; that which is established; the ethical precepts of Buddhism; the law; the law of Northern Buddhism; the ninth mansion; usage; virtue
Darma	Darma	naama-dhaatu	0	law; to become
agra	a/gra	praatipadika	0	a measure of food given as alms; a weight; aim; and hence; anterior; best; best part; chief; equal to a pala; figuratively; first; foremost; foremost point; front; goal; multitude; part; point; projecting; prominent; sharpness; summit; supernumerary; surface; the beginning; the climax; the nearest end; the sun's amplitude; tip; top; uppermost part
agra	agra	praatipadika	0	remainder; rest
arTa	a/rTa	praatipadika	0	Buddhi; Name of the second mansion; action; advantage; affair; aim; cause; concern; having to do with; kind; lawsuit; manner; meaning; money; motive; needing anything; notion; object; object of the senses; opulence; personified as the son of Dharma; prevention; price; prohibition; property; purpose; reason; sense; substance; take up one's work; the mansion of wealth; the number five; thing; to go to one's business; use; utility; wanting; wealth
banD	banD	dhaatu	0	arrange; assume; bear; bend; betray to be bound by the fetters of existence; bridge over; capture; catch; cause; chain; chastise; cherish; clench; close; compose; conceive; construct; constructed; contract; dammed up; direct; do; effect; evil; exhibit; fasten; fetter; fix; fold; hold back; hold captive; imprison; knit; make; offer; produce anything in this way; produce in any way; put on; put together; restrain; rivet on; sacrifice; set up; show; shut; sin again; span; stop; strike; suffer; suppress; take; take up; that is experience; tie; to arrest; to attach to world; to be affected by id est; to bind; to bind a sacrificial victim; to bind round; to bind together; to catch; to cause to be built; to cause to be embanked; to cause to bind; to entertain; to fix; to form; to join; to punish; to sin; unite
brahman	bra/hman	praatipadika	0	Mantra used as a spell; a sacred text; a text; communicators of sacred knowledge; final emancipation; food; holy life; one self-existent impersonal Spirit; outpouring of the heart in worshipping the gods; pious effusion; prayer; religious; spiritual knowledge; the Absolute; the Brahmă; the Brāhmanical caste as a body; the Brāhmaṇa portion of the Veda; the Eternal; the Self-existent; the Veda; the class of men who are the repositories; the one universal Soul; the sacred syllable Om; the sacred word; utterance; wealth
