lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa
BAva	BAva/	praatipadika	1	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	2	a discreet; attachment; intention with whatever disposition of mind; to be ill disposed against
BAva	BAva/	praatipadika	3	advice
BAva	BAva/	praatipadika	4	affection; affections; heart; passion; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	5	an astrological house; lunar mansion
BAva	BAva/	praatipadika	6	an organ of sense
BAva	BAva/	praatipadika	7	animals
BAva	BAva/	praatipadika	8	any state of mind and body
BAva	BAva/	praatipadika	9	appearance
BAva	BAva/	praatipadika	10	becoming; behaviour; love; manner of being; temperament; way of thinking
BAva	BAva/	praatipadika	11	character
BAva	BAva/	praatipadika	12	condition of a planet; continuance; existing; exists; instruction; transition into; true condition; turning
BAva	BAva/	praatipadika	13	conjecture; contemplation; disposition; supposition
BAva	BAva/	praatipadika	14	dalliance
BAva	BAva/	praatipadika	15	learned man
BAva	BAva/	praatipadika	16	living creature all earthly objects
BAva	BAva/	praatipadika	17	manner of acting
BAva	BAva/	praatipadika	18	meditation
BAva	BAva/	praatipadika	19	mind with a pleased mind
BAva	BAva/	praatipadika	20	nature; reality; state; the state; the world
BAva	BAva/	praatipadika	21	occurring
BAva	BAva/	praatipadika	22	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	23	feeling; opinion
BAva	BAva/	praatipadika	24	birth; place of birth; the womb
BAva	BAva/	praatipadika	25	plants
BAva	BAva/	praatipadika	26	rank
BAva	BAva/	praatipadika	27	soul
BAva	BAva/	praatipadika	28	substance
BAva	BAva/	praatipadika	29	superhuman power
BAva	BAva/	praatipadika	30	the Supreme Being
BAva	BAva/	praatipadika	31	the fundamental notion of the verb
BAva	BAva/	praatipadika	32	being; condition; conduct; emotion; meaning; purport; sentiment; such is the sense; that which is; the sense conveyed by the abstract noun; thing; truth
BAva	BAva/	praatipadika	33	to make a firm resolution
BAva	BAva/	praatipadika	34	universe
BAva	BAva/	praatipadika	35	wanton sport
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	Name of Viṣṇu; one of the three Vyāhṛtis
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	Name of an Ekāha
BU	BU/	dhaatu	2	a place; earth; floor; landed property; piece of ground; soil
BU	BU/	dhaatu	3	a sacrificial fire
BU	BU/	dhaatu	4	a term for the letter
BU	BU/	dhaatu	5	arising; springing
BU	BU/	dhaatu	6	becoming; existing; the act of becoming; the place of being
BU	BU/	dhaatu	7	being; ground; land; matter; object; spot; the earth; world
BU	BU/	dhaatu	8	pavement
BU	BU/	dhaatu	9	space; universe
BU	BU/	dhaatu	10	symbolical name for the number one
BU	BU/	dhaatu	11	the base of any geometrical figure
Darma	Da/rma	praatipadika	0	Justice personified; right
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; father of Ghṛta
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	Name of a lexicographer
Darma	Da/rma	praatipadika	3	Name of another man
Darma	Da/rma	praatipadika	4	Name of the 15th Arhat of the present Ava-sarpiṇī
Darma	Da/rma	praatipadika	5	a Soma-drinker
Darma	Da/rma	praatipadika	6	a bow
Darma	Da/rma	praatipadika	7	a particular ceremony; customary observance
Darma	Da/rma	praatipadika	8	an Upaniṣad; of Uśanas
Darma	Da/rma	praatipadika	9	associating with the virtuous; good works; virtue
Darma	Da/rma	praatipadika	10	character
Darma	Da/rma	praatipadika	11	devotion; religion; religious abstraction; religious merit; sacrifice
Darma	Da/rma	praatipadika	12	doctrine of Buddhism; morality; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Da/rma	praatipadika	13	duty
Darma	Da/rma	praatipadika	14	essential quality
Darma	Da/rma	praatipadika	15	Law; firm; justice; law; practice; statute; steadfast decree; the law; usage
Darma	Da/rma	praatipadika	16	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	17	mark
Darma	Da/rma	praatipadika	18	nature
Darma	Da/rma	praatipadika	19	ordinance
Darma	Da/rma	praatipadika	20	peculiar condition; peculiarity
Darma	Da/rma	praatipadika	21	prescribed conduct
Darma	Da/rma	praatipadika	22	property
Darma	Da/rma	praatipadika	23	that which is established
Darma	Da/rma	praatipadika	24	the ninth mansion
agra	a/gra	praatipadika	0	a measure of food given as alms
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	a weight; equal to a pala
agra	a/gra	praatipadika	2	aim; best; best part; chief; foremost; foremost point; goal; prominent; summit; the beginning; the climax; tip; uppermost part
agra	a/gra	praatipadika	3	and hence
agra	a/gra	praatipadika	4	figuratively
agra	a/gra	praatipadika	5	multitude
agra	a/gra	praatipadika	6	anterior; first; front; part; point; projecting; surface; top
agra	a/gra	praatipadika	7	sharpness
agra	a/gra	praatipadika	8	supernumerary
agra	a/gra	praatipadika	9	the nearest end
agra	a/gra	praatipadika	10	the sun's amplitude
arTa	a/rTa	praatipadika	0	Buddhi
arTa	a/rTa	praatipadika	1	Name of the second mansion
arTa	a/rTa	praatipadika	2	action; advantage; object
arTa	a/rTa	praatipadika	3	affair
arTa	a/rTa	praatipadika	4	cause; concern; having to do with; kind; motive; object of the senses; purpose; reason; thing; use; utility
arTa	a/rTa	praatipadika	5	lawsuit
arTa	a/rTa	praatipadika	6	manner
arTa	a/rTa	praatipadika	7	money; opulence; the mansion of wealth; wealth
arTa	a/rTa	praatipadika	8	aim; meaning; needing anything; sense; wanting
arTa	a/rTa	praatipadika	9	notion
arTa	a/rTa	praatipadika	10	personified as the son of Dharma
arTa	a/rTa	praatipadika	11	prevention
arTa	a/rTa	praatipadika	12	price
arTa	a/rTa	praatipadika	13	prohibition
arTa	a/rTa	praatipadika	14	property
arTa	a/rTa	praatipadika	15	substance
arTa	a/rTa	praatipadika	16	take up one's work; to go to one's business
arTa	a/rTa	praatipadika	17	the number five
banD	banD	dhaatu	0	arrange
banD	banD	dhaatu	1	bear; bridge over
banD	banD	dhaatu	2	betray to be bound by the fetters of existence
banD	banD	dhaatu	3	capture; effect; exhibit; imprison; make; put on; to entertain
banD	banD	dhaatu	4	chain; fasten; fetter; rivet on; to bind round
banD	banD	dhaatu	5	cherish
banD	banD	dhaatu	6	bend; catch; cause; compose; conceive; construct; direct; fix; fold; put together; set up; show; span; take up; to fix; to form; to join; unite
banD	banD	dhaatu	7	contract
banD	banD	dhaatu	8	assume; clench; close; dammed up; hold back; hold captive; restrain; shut; stop; take; tie; to arrest; to catch
banD	banD	dhaatu	9	knit
banD	banD	dhaatu	10	offer
banD	banD	dhaatu	11	produce anything in this way; produce in any way
banD	banD	dhaatu	12	chastise; do; evil; sacrifice; sin again; strike; suffer; suppress; to bind; to bind a sacrificial victim; to bind together; to punish; to sin
banD	banD	dhaatu	13	that is experience
banD	banD	dhaatu	14	to attach to world
banD	banD	dhaatu	15	to be affected by id est
banD	banD	dhaatu	16	constructed; to cause to be built; to cause to be embanked; to cause to bind
brahman	bra/hman	praatipadika	0	Mantra used as a spell
brahman	brahma/n	praatipadika	0	Brahmā; Name of Śiva; a lifetime of Brahmā; a particular Kalpa; the Veda; Ṛtvijas
brahman	bra/hman	praatipadika	1	a sacred text; communicators of sacred knowledge
brahman	brahma/n	praatipadika	1	Name of a magician
brahman	bra/hman	praatipadika	2	a text
brahman	brahma/n	praatipadika	2	Name of the 9th Muhūrta
brahman	bra/hman	praatipadika	3	final emancipation
brahman	brahma/n	praatipadika	3	Name of the servant of the 10th Arhat of the present Avasarpiṇī
brahman	bra/hman	praatipadika	4	food
brahman	brahma/n	praatipadika	4	a Brāhman who is a knower of Vedic texts; an inhabitant of Brahmā's heaven; one of the 4 principal priests
brahman	bra/hman	praatipadika	5	one self-existent impersonal Spirit; the Eternal
brahman	brahma/n	praatipadika	5	a devout; one versed in sacred knowledge; one who prays; religious man
brahman	bra/hman	praatipadika	6	outpouring of the heart in worshipping the gods; pious effusion
brahman	brahma/n	praatipadika	6	a particular astronomy Yoga
brahman	bra/hman	praatipadika	7	prayer
brahman	brahma/n	praatipadika	7	as the first of the triad of personal gods
brahman	bra/hman	praatipadika	8	holy life; religious
brahman	brahma/n	praatipadika	8	spells
brahman	bra/hman	praatipadika	9	spiritual knowledge
brahman	brahma/n	praatipadika	9	the intellect
brahman	bra/hman	praatipadika	10	the Brāhmanical caste as a body
brahman	brahma/n	praatipadika	10	the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	11	the Absolute; the Brahmă; the Brāhmaṇa portion of the Veda; the Self-existent; the Veda; the one universal Soul; the sacred syllable Om; the sacred word
brahman	brahma/n	praatipadika	11	the sun
brahman	bra/hman	praatipadika	12	the class of men who are the repositories
brahman	brahma/n	praatipadika	12	Name of Bṛhas-pati; Name of a star; δ Aurigae
brahman	bra/hman	praatipadika	13	utterance
brahman	bra/hman	praatipadika	14	wealth
citra	citra	praatipadika	0	fro
citra	citra/	praatipadika	0	Jonesia Aśoka
citra	citra	praatipadika	1	leaping to
citra	citra/	praatipadika	1	Name of a Draviḍa king; Name of a Gandharva; Name of a Jābāla-gṛhapati; Name of a king; Name of a son of Dhṛtarāṣṭra
citra	citra/	praatipadika	2	Plumbago zeylanica; Ricinus communis
citra	citra/	praatipadika	3	a bright; a brilliant ornament; a picture; a spot; answer; anything bright; clear; conspicuous; distinguished; ornament
citra	citra/	praatipadika	4	a forestof variegated appearance  on; bright-coloured; coloured which strikes the eyes; having different varieties; speckled; spotted; variegated; variety of colour
citra	citra/	praatipadika	5	a form of Yama
citra	citra/	praatipadika	6	a sectarial mark on the forehead
citra	citra/	praatipadika	7	agitated
citra	citra/	praatipadika	8	arranging verses in the shape of mathematical
citra	citra/	praatipadika	9	containing the word
citra	citra/	praatipadika	10	curious; different; strange; strange!; various
citra	citra/	praatipadika	11	delineation
