lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	a discreet; attachment; condition; condition of a planet; conduct; conjecture; contemplation; continuance; disposition; instruction; intention with whatever disposition of mind; purport; supposition; to be ill disposed against; transition into; turning
BAva	BAva/	praatipadika	1	affection; affections; emotion; feeling; heart; love; opinion; passion; sentiment; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	2	any state of mind and body; behaviour; being; existing; exists; manner of being; such is the sense; temperament; that which is; way of thinking
BAva	BAva/	praatipadika	3	meaning; reality; the sense conveyed by the abstract noun; thing; true condition; truth
BAva	BAva/	praatipadika	4	nature; state; the state; the world
BAva	BAva/	praatipadika	5	becoming; birth; place of birth; the womb
BAva	BAva/	praatipadika	6	an astrological house; lunar mansion
BAva	BAva/	praatipadika	7	Name of the 27th Kalpa
BAva	BAva/	praatipadika	8	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	9	advice
BAva	BAva/	praatipadika	10	an organ of sense
BAva	BAva/	praatipadika	11	animals
BAva	BAva/	praatipadika	12	appearance
BAva	BAva/	praatipadika	13	character
BAva	BAva/	praatipadika	14	dalliance
BAva	BAva/	praatipadika	15	learned man
BAva	BAva/	praatipadika	16	living creature all earthly objects
BAva	BAva/	praatipadika	17	manner of acting
BAva	BAva/	praatipadika	18	meditation
BAva	BAva/	praatipadika	19	mind with a pleased mind
BAva	BAva/	praatipadika	20	occurring
BAva	BAva/	praatipadika	21	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	22	plants
BAva	BAva/	praatipadika	23	rank
BAva	BAva/	praatipadika	24	soul
BAva	BAva/	praatipadika	25	substance
BAva	BAva/	praatipadika	26	superhuman power
BAva	BAva/	praatipadika	27	the Supreme Being
BAva	BAva/	praatipadika	28	the fundamental notion of the verb
BAva	BAva/	praatipadika	29	to make a firm resolution
BAva	BAva/	praatipadika	30	universe
BAva	BAva/	praatipadika	31	wanton sport
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	earth; land; landed property; piece of ground; soil; the earth; world
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	becoming; being; existing; the act of becoming; the place of being
BU	BU/	dhaatu	2	a place; arising; spot; springing
BU	BU/	dhaatu	3	floor; ground
BU	BU/	dhaatu	4	matter; object
BU	BU/	dhaatu	5	Name of Viṣṇu; one of the three Vyāhṛtis
BU	BU/	dhaatu	6	space; universe
BU	BU/	dhaatu	7	Name of an Ekāha
BU	BU/	dhaatu	8	a sacrificial fire
BU	BU/	dhaatu	9	a term for the letter
BU	BU/	dhaatu	10	pavement
BU	BU/	dhaatu	11	symbolical name for the number one
BU	BU/	dhaatu	12	the base of any geometrical figure
Darma	Da/rma	praatipadika	0	Justice personified; Law; firm; justice; law; practice; right; statute; steadfast decree; the law; usage
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; father of Ghṛta
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	associating with the virtuous; doctrine of Buddhism; good works; morality; the ethical precepts of Buddhism; the law of Northern Buddhism; virtue
Darma	Da/rma	praatipadika	3	devotion; religion; religious abstraction; religious merit; sacrifice
