lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa
BAva	BAva/	praatipadika	1	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	2	advice
BAva	BAva/	praatipadika	3	affection; affections; emotion; feeling; heart; love; opinion; passion; sentiment; temperament; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	4	an organ of sense
BAva	BAva/	praatipadika	5	animals
BAva	BAva/	praatipadika	6	appearance
BAva	BAva/	praatipadika	7	character
BAva	BAva/	praatipadika	8	a discreet; attachment; behaviour; condition; condition of a planet; conduct; conjecture; contemplation; continuance; disposition; instruction; intention with whatever disposition of mind; purport; supposition; to be ill disposed against; transition into; turning
BAva	BAva/	praatipadika	9	dalliance
BAva	BAva/	praatipadika	10	learned man
BAva	BAva/	praatipadika	11	living creature all earthly objects
BAva	BAva/	praatipadika	12	an astrological house; lunar mansion
BAva	BAva/	praatipadika	13	manner of acting
BAva	BAva/	praatipadika	14	any state of mind and body; being; existing; exists; manner of being; meaning; reality; such is the sense; that which is; the sense conveyed by the abstract noun; thing; true condition; truth; way of thinking
BAva	BAva/	praatipadika	15	meditation
BAva	BAva/	praatipadika	16	mind with a pleased mind
BAva	BAva/	praatipadika	17	occurring
BAva	BAva/	praatipadika	18	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	19	becoming; birth; place of birth; the womb
BAva	BAva/	praatipadika	20	plants
BAva	BAva/	praatipadika	21	rank
BAva	BAva/	praatipadika	22	soul
BAva	BAva/	praatipadika	23	substance
BAva	BAva/	praatipadika	24	superhuman power
BAva	BAva/	praatipadika	25	the Supreme Being
BAva	BAva/	praatipadika	26	the fundamental notion of the verb
BAva	BAva/	praatipadika	27	to make a firm resolution
BAva	BAva/	praatipadika	28	nature; state; the state; the world
BAva	BAva/	praatipadika	29	universe
BAva	BAva/	praatipadika	30	wanton sport
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	Name of Viṣṇu; one of the three Vyāhṛtis
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	Name of an Ekāha
BU	BU/	dhaatu	2	a place; becoming; being; existing; the act of becoming; the place of being
BU	BU/	dhaatu	3	a sacrificial fire
BU	BU/	dhaatu	4	a term for the letter
BU	BU/	dhaatu	5	arising; matter; object; spot; springing
BU	BU/	dhaatu	6	earth; floor; ground; land; landed property; piece of ground; soil; the earth; world
BU	BU/	dhaatu	7	pavement
BU	BU/	dhaatu	8	space; universe
BU	BU/	dhaatu	9	symbolical name for the number one
BU	BU/	dhaatu	10	the base of any geometrical figure
Darma	Da/rma	praatipadika	0	Name of a lexicographer
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; father of Ghṛta
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	Name of another man
Darma	Da/rma	praatipadika	3	Name of the 15th Arhat of the present Ava-sarpiṇī
Darma	Da/rma	praatipadika	4	a Soma-drinker
Darma	Da/rma	praatipadika	5	a bow
Darma	Da/rma	praatipadika	6	a particular ceremony; customary observance
Darma	Da/rma	praatipadika	7	an Upaniṣad; of Uśanas
Darma	Da/rma	praatipadika	8	character
Darma	Da/rma	praatipadika	9	duty
Darma	Da/rma	praatipadika	10	essential quality
Darma	Da/rma	praatipadika	11	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	12	mark
Darma	Da/rma	praatipadika	13	nature
Darma	Da/rma	praatipadika	14	ordinance
Darma	Da/rma	praatipadika	15	peculiar condition; peculiarity
Darma	Da/rma	praatipadika	16	prescribed conduct
Darma	Da/rma	praatipadika	17	property
Darma	Da/rma	praatipadika	18	devotion; religion; religious abstraction; religious merit; sacrifice
Darma	Da/rma	praatipadika	19	Justice personified; Law; firm; justice; law; practice; right; statute; steadfast decree; the law; usage
Darma	Da/rma	praatipadika	20	that which is established
Darma	Da/rma	praatipadika	21	the ninth mansion
Darma	Da/rma	praatipadika	22	associating with the virtuous; doctrine of Buddhism; good works; morality; the ethical precepts of Buddhism; the law of Northern Buddhism; virtue
agra	a/gra	praatipadika	0	a measure of food given as alms
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	aim; best; goal; point; tip
agra	a/gra	praatipadika	2	and hence
agra	a/gra	praatipadika	3	a weight; equal to a pala
agra	a/gra	praatipadika	4	figuratively
agra	a/gra	praatipadika	5	anterior; chief; first; foremost; foremost point; front; prominent
agra	a/gra	praatipadika	6	multitude
agra	a/gra	praatipadika	7	sharpness
agra	a/gra	praatipadika	8	supernumerary
agra	a/gra	praatipadika	9	best part; part; projecting; summit; surface; top; uppermost part
agra	a/gra	praatipadika	10	the beginning; the climax
agra	a/gra	praatipadika	11	the nearest end
agra	a/gra	praatipadika	12	the sun's amplitude
arTa	a/rTa	praatipadika	0	Buddhi
arTa	a/rTa	praatipadika	1	Name of the second mansion
arTa	a/rTa	praatipadika	2	affair
arTa	a/rTa	praatipadika	3	concern; having to do with; kind; needing anything; sense; wanting
arTa	a/rTa	praatipadika	4	lawsuit
arTa	a/rTa	praatipadika	5	manner
arTa	a/rTa	praatipadika	6	notion
arTa	a/rTa	praatipadika	7	action; advantage; object; object of the senses; thing; use; utility
arTa	a/rTa	praatipadika	8	personified as the son of Dharma
arTa	a/rTa	praatipadika	9	prevention
arTa	a/rTa	praatipadika	10	price
arTa	a/rTa	praatipadika	11	prohibition
arTa	a/rTa	praatipadika	12	property
arTa	a/rTa	praatipadika	13	substance
arTa	a/rTa	praatipadika	14	take up one's work; to go to one's business
arTa	a/rTa	praatipadika	15	the number five
arTa	a/rTa	praatipadika	16	aim; cause; meaning; motive; purpose; reason
arTa	a/rTa	praatipadika	17	money; opulence; the mansion of wealth; wealth
banD	banD	dhaatu	0	betray to be bound by the fetters of existence
banD	banD	dhaatu	1	cherish
banD	banD	dhaatu	2	capture; catch; cause; clench; close; dammed up; effect; evil; hold back; hold captive; imprison; restrain; shut; span; stop; strike; suppress; take; to arrest; to catch; to entertain
banD	banD	dhaatu	3	arrange; assume; compose; conceive; construct; constructed; direct; do; exhibit; make; put on; put together; set up; show; take up; to fix; to form
banD	banD	dhaatu	4	contract
banD	banD	dhaatu	5	fasten; fetter; fix; fold; rivet on
banD	banD	dhaatu	6	knit
banD	banD	dhaatu	7	offer
banD	banD	dhaatu	8	produce anything in this way; produce in any way
banD	banD	dhaatu	9	chastise; sacrifice; sin again; suffer; to punish; to sin
banD	banD	dhaatu	10	that is experience
banD	banD	dhaatu	11	to attach to world
banD	banD	dhaatu	12	to be affected by id est
banD	banD	dhaatu	13	bear; bend; bridge over; chain; tie; to bind; to bind a sacrificial victim; to bind round; to bind together; to cause to be built; to cause to be embanked; to cause to bind; to join; unite
brahman	bra/hman	praatipadika	0	Mantra used as a spell
brahman	brahma/n	praatipadika	0	Name of a magician
brahman	bra/hman	praatipadika	1	a text
brahman	brahma/n	praatipadika	1	Name of a star; δ Aurigae
brahman	bra/hman	praatipadika	2	final emancipation
brahman	brahma/n	praatipadika	2	Name of the 9th Muhūrta
brahman	bra/hman	praatipadika	3	food
brahman	brahma/n	praatipadika	3	Name of the servant of the 10th Arhat of the present Avasarpiṇī
brahman	bra/hman	praatipadika	4	one self-existent impersonal Spirit; the Absolute; the Eternal; the Self-existent; the one universal Soul
brahman	brahma/n	praatipadika	4	a Brāhman who is a knower of Vedic texts; an inhabitant of Brahmā's heaven; one of the 4 principal priests; one versed in sacred knowledge
brahman	bra/hman	praatipadika	5	outpouring of the heart in worshipping the gods; pious effusion
brahman	brahma/n	praatipadika	5	a devout; one who prays; religious man
brahman	bra/hman	praatipadika	6	prayer
brahman	brahma/n	praatipadika	6	a lifetime of Brahmā; a particular Kalpa
brahman	bra/hman	praatipadika	7	spiritual knowledge
brahman	brahma/n	praatipadika	7	a particular astronomy Yoga
brahman	bra/hman	praatipadika	8	the Brāhmanical caste as a body
brahman	brahma/n	praatipadika	8	as the first of the triad of personal gods
brahman	bra/hman	praatipadika	9	the Brahmă; the Brāhmaṇa portion of the Veda; the Veda; the sacred syllable Om
brahman	brahma/n	praatipadika	9	spells
brahman	bra/hman	praatipadika	10	the class of men who are the repositories
brahman	brahma/n	praatipadika	10	the intellect
brahman	bra/hman	praatipadika	11	a sacred text; communicators of sacred knowledge; holy life; religious; the sacred word
brahman	brahma/n	praatipadika	11	the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	12	utterance
brahman	brahma/n	praatipadika	12	the sun
brahman	bra/hman	praatipadika	13	wealth
brahman	brahma/n	praatipadika	13	Brahmā; Name of Bṛhas-pati; Name of Śiva; the Veda; Ṛtvijas
citra	citra	praatipadika	0	fro
citra	citra/	praatipadika	0	Jonesia Aśoka
citra	citra	praatipadika	1	leaping to
citra	citra/	praatipadika	1	Name of a Draviḍa king; Name of a Gandharva; Name of a Jābāla-gṛhapati; Name of a king; Name of a son of Dhṛtarāṣṭra
citra	citra/	praatipadika	2	Plumbago zeylanica; Ricinus communis
citra	citra/	praatipadika	3	a forestof variegated appearance  on; curious; different; having different varieties; strange; strange!; variegated; variety of colour; various
citra	citra/	praatipadika	4	a form of Yama
citra	citra/	praatipadika	5	a sectarial mark on the forehead
citra	citra/	praatipadika	6	a bright; a brilliant ornament; a picture; a spot; anything bright; bright-coloured; coloured which strikes the eyes; ornament; speckled; spotted
citra	citra/	praatipadika	7	agitated
citra	citra/	praatipadika	8	arranging verses in the shape of mathematical
citra	citra/	praatipadika	9	containing the word
citra	citra/	praatipadika	10	delineation
citra	citra/	praatipadika	11	answer; bright; clear; conspicuous; distinguished; excellent; wonder; wonderful
citra	citra/	praatipadika	12	extraordinary appearance
citra	citra/	praatipadika	13	facetious conversation
citra	citra/	praatipadika	14	manifold
citra	citra/	praatipadika	15	other fanciful figures
citra	citra/	praatipadika	16	punning in the form of question
citra	citra/	praatipadika	17	riddle
citra	citra/	praatipadika	18	sketch
