lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	advice; contemplation; instruction; learned man; meditation
BAva	BAva/	praatipadika	1	animals; nature; plants
BAva	BAva/	praatipadika	2	a discreet; affection; affections; an organ of sense; any state of mind and body; appearance; attachment; becoming; behaviour; being; character; condition; condition of a planet; conduct; conjecture; continuance; dalliance; disposition; emotion; existing; exists; feeling; heart; intention with whatever disposition of mind; living creature all earthly objects; love; manner of acting; manner of being; meaning; mind with a pleased mind; occurring; opinion; passion; purport; rank; reality; sentiment; soul; state; substance; such is the sense; superhuman power; supposition; temperament; that which is; the Supreme Being; the fundamental notion of the verb; the seat of the feelings; the sense conveyed by the abstract noun; the state; the world; thing; to be ill disposed against; to feel an affection for; transition into; true condition; truth; turning; universe; wanton sport; way of thinking
BAva	BAva/	praatipadika	3	birth; place of birth; the womb
BAva	BAva/	praatipadika	4	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	5	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	6	to make a firm resolution
BAva	BAva/	praatipadika	7	an astrological house; lunar mansion
BU	BU	dhaatu	0	Name of a Yogin; a particular land-measure
BU	BU/	dhaatu	0	Name of Viṣṇu; Name of an Ekāha; a term for the letter; one of the three Vyāhṛtis; symbolical name for the number one; the base of any geometrical figure
BU	BU/	dhaatu	1	a place; arising; becoming; being; earth; existing; floor; ground; land; landed property; matter; object; pavement; piece of ground; soil; space; spot; springing; the act of becoming; the earth; the place of being; universe; world
BU	BU/	dhaatu	2	a sacrificial fire
Darma	Da/rma	praatipadika	0	Justice personified; Law; a bow; associating with the virtuous; character; duty; essential quality; firm; justice; law; mark; morality; nature; ordinance; peculiar condition; peculiarity; practice; prescribed conduct; property; right; statute; steadfast decree; that which is established; the law; usage; virtue
Darma	Darma	naama-dhaatu	0	to become
Darma	Da/rma	praatipadika	1	a Soma-drinker; an Upaniṣad; f° of Dhṛta; f° of Netra; of Uśanas
Darma	Darma	naama-dhaatu	1	law
Darma	Da/rma	praatipadika	2	Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta
Darma	Da/rma	praatipadika	3	the ninth mansion
Darma	Da/rma	praatipadika	4	good works
Darma	Da/rma	praatipadika	5	doctrine of Buddhism; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Da/rma	praatipadika	6	a particular ceremony; customary observance; devotion; religion; religious abstraction; religious merit; sacrifice
agra	a/gra	praatipadika	0	a weight; the sun's amplitude
agra	agra	praatipadika	0	remainder; rest
agra	a/gra	praatipadika	1	aim; and hence; anterior; best; best part; chief; figuratively; first; foremost; foremost point; front; goal; part; point; projecting; prominent; sharpness; summit; supernumerary; surface; the beginning; the climax; the nearest end; tip; top; uppermost part
agra	a/gra	praatipadika	2	multitude
agra	a/gra	praatipadika	3	a measure of food given as alms; equal to a pala
arTa	a/rTa	praatipadika	0	action; advantage; affair; aim; cause; concern; having to do with; kind; lawsuit; manner; meaning; money; motive; needing anything; notion; object; object of the senses; opulence; price; property; purpose; reason; sense; substance; the mansion of wealth; thing; use; utility; wanting; wealth
arTa	a/rTa	praatipadika	1	Buddhi; personified as the son of Dharma
arTa	a/rTa	praatipadika	2	Name of the second mansion; the number five
arTa	a/rTa	praatipadika	3	take up one's work; to go to one's business
arTa	a/rTa	praatipadika	4	prevention; prohibition
banD	banD	dhaatu	0	arrange; assume; bend; betray to be bound by the fetters of existence; capture; catch; cause; chain; chastise; cherish; clench; close; compose; conceive; construct; constructed; contract; dammed up; direct; do; effect; evil; fasten; fetter; fix; fold; hold back; hold captive; imprison; knit; make; offer; put on; put together; restrain; rivet on; sacrifice; set up; shut; sin again; span; stop; strike; suffer; suppress; take; take up; tie; to arrest; to bind; to bind a sacrificial victim; to bind round; to bind together; to catch; to cause to be built; to cause to be embanked; to cause to bind; to fix; to form; to join; to punish; to sin; unite
banD	banD	dhaatu	1	exhibit; show; to entertain
banD	banD	dhaatu	2	to attach to world
banD	banD	dhaatu	3	produce anything in this way; produce in any way
banD	banD	dhaatu	4	to be affected by id est
banD	banD	dhaatu	5	bear
banD	banD	dhaatu	6	that is experience
banD	banD	dhaatu	7	bridge over
brahman	bra/hman	praatipadika	0	food; wealth
brahman	brahma/n	praatipadika	0	a Brāhman who is a knower of Vedic texts; a devout; one versed in sacred knowledge; one who prays; religious man
brahman	bra/hman	praatipadika	1	Mantra used as a spell; a sacred text; communicators of sacred knowledge; holy life; one self-existent impersonal Spirit; outpouring of the heart in worshipping the gods; pious effusion; prayer; religious; spiritual knowledge; the Absolute; the Eternal; the Self-existent; the one universal Soul; the sacred syllable Om; the sacred word; utterance
brahman	brahma/n	praatipadika	1	Brahmā; Name of Bṛhas-pati; Name of a magician; Name of a star; Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī; Name of Śiva; a lifetime of Brahmā; a particular Kalpa; a particular astronomy Yoga; an inhabitant of Brahmā's heaven; spells; the Veda; the intellect; δ Aurigae; Ṛtvijas
brahman	bra/hman	praatipadika	2	final emancipation
brahman	brahma/n	praatipadika	2	as the first of the triad of personal gods; the one impersonal universal Spirit manifested as a personal Creator
brahman	bra/hman	praatipadika	3	the class of men who are the repositories
brahman	brahma/n	praatipadika	3	the sun
brahman	bra/hman	praatipadika	4	the Brahmă; the Brāhmanical caste as a body; the Brāhmaṇa portion of the Veda; the Veda
brahman	brahma/n	praatipadika	4	one of the 4 principal priests
brahman	bra/hman	praatipadika	5	a text
