lemma	derivation	category	cluster_id	senses
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa
BAva	BAva/	praatipadika	1	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	2	a discreet; any state of mind and body; appearance; dalliance; manner of acting; to be ill disposed against
BAva	BAva/	praatipadika	3	advice; instruction
BAva	BAva/	praatipadika	4	affection; affections; attachment; behaviour; conduct; emotion; heart; love; passion; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	5	an astrological house; lunar mansion
BAva	BAva/	praatipadika	6	animals
BAva	BAva/	praatipadika	7	birth; occurring; place of birth; the womb; transition into; turning
BAva	BAva/	praatipadika	8	condition of a planet
BAva	BAva/	praatipadika	9	conjecture; continuance; purport; that which is; thing
BAva	BAva/	praatipadika	10	contemplation; feeling; intention with whatever disposition of mind; meditation; mind with a pleased mind; opinion; sentiment; way of thinking
BAva	BAva/	praatipadika	11	learned man
BAva	BAva/	praatipadika	12	living creature all earthly objects
BAva	BAva/	praatipadika	13	nature
BAva	BAva/	praatipadika	14	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	15	plants
BAva	BAva/	praatipadika	16	state; the state
BAva	BAva/	praatipadika	17	character; manner of being; rank; soul; superhuman power; temperament; the Supreme Being
BAva	BAva/	praatipadika	18	an organ of sense; meaning; the fundamental notion of the verb; the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	19	to make a firm resolution
BAva	BAva/	praatipadika	20	becoming; being; condition; disposition; existing; exists; reality; substance; such is the sense; supposition; the world; true condition; truth; universe
BAva	BAva/	praatipadika	21	wanton sport
BU	BU	dhaatu	0	Name of a Yogin
BU	BU/	dhaatu	0	Name of Viṣṇu
BU	BU	dhaatu	1	a particular land-measure
BU	BU/	dhaatu	1	a place; becoming; existing; landed property; matter; object; pavement; springing; the act of becoming
BU	BU/	dhaatu	2	a sacrificial fire
BU	BU/	dhaatu	3	Name of an Ekāha; a term for the letter; symbolical name for the number one
BU	BU/	dhaatu	4	one of the three Vyāhṛtis
BU	BU/	dhaatu	5	arising; being; earth; floor; ground; land; piece of ground; soil; space; spot; the earth; the place of being; universe; world
BU	BU/	dhaatu	6	the base of any geometrical figure
Darma	Da/rma	praatipadika	0	Justice personified; essential quality; justice
Darma	Darma	naama-dhaatu	0	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta
Darma	Darma	naama-dhaatu	1	to become
Darma	Da/rma	praatipadika	2	Name of a lexicographer
Darma	Da/rma	praatipadika	3	a Soma-drinker
Darma	Da/rma	praatipadika	4	a bow
Darma	Da/rma	praatipadika	5	a particular ceremony; customary observance
Darma	Da/rma	praatipadika	6	an Upaniṣad; of Uśanas
Darma	Da/rma	praatipadika	7	character
Darma	Da/rma	praatipadika	8	doctrine of Buddhism; morality; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Da/rma	praatipadika	9	firm
Darma	Da/rma	praatipadika	10	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	11	good works
Darma	Da/rma	praatipadika	12	mark
Darma	Da/rma	praatipadika	13	nature
Darma	Da/rma	praatipadika	14	peculiar condition; peculiarity
Darma	Da/rma	praatipadika	15	practice
Darma	Da/rma	praatipadika	16	Law; duty; law; ordinance; prescribed conduct; statute; steadfast decree; that which is established; the law; usage
Darma	Da/rma	praatipadika	17	property
Darma	Da/rma	praatipadika	18	associating with the virtuous; devotion; religion; religious abstraction; religious merit; sacrifice; virtue
Darma	Da/rma	praatipadika	19	right
Darma	Da/rma	praatipadika	20	the ninth mansion
agra	a/gra	praatipadika	0	a measure of food given as alms
agra	agra	praatipadika	0	remainder
agra	a/gra	praatipadika	1	a weight
agra	agra	praatipadika	1	rest
agra	a/gra	praatipadika	2	aim; goal; projecting; the beginning; the nearest end
agra	a/gra	praatipadika	3	and hence; anterior; best; best part; figuratively; first; foremost; foremost point; front; summit; surface; the climax; uppermost part
agra	a/gra	praatipadika	4	chief; part; point; prominent; sharpness; tip; top
agra	a/gra	praatipadika	5	equal to a pala
agra	a/gra	praatipadika	6	multitude
agra	a/gra	praatipadika	7	supernumerary
agra	a/gra	praatipadika	8	the sun's amplitude
arTa	a/rTa	praatipadika	0	Buddhi
arTa	a/rTa	praatipadika	1	Name of the second mansion
arTa	a/rTa	praatipadika	2	action; property
arTa	a/rTa	praatipadika	3	advantage
arTa	a/rTa	praatipadika	4	concern
arTa	a/rTa	praatipadika	5	affair; aim; cause; having to do with; kind; manner; meaning; motive; notion; object; object of the senses; reason; substance; thing; use; utility
arTa	a/rTa	praatipadika	6	lawsuit
arTa	a/rTa	praatipadika	7	money; opulence; price; the mansion of wealth; wealth
arTa	a/rTa	praatipadika	8	needing anything; purpose; sense; wanting
arTa	a/rTa	praatipadika	9	personified as the son of Dharma
arTa	a/rTa	praatipadika	10	prevention; prohibition
arTa	a/rTa	praatipadika	11	take up one's work; to go to one's business
arTa	a/rTa	praatipadika	12	the number five
banD	banD	dhaatu	0	arrange; assume; cherish; compose; conceive; constructed; contract; fix; hold back; offer; put together; set up; shut; stop; suffer; suppress; take up; to bind round; to bind together; to cause to be built; to cause to be embanked; to cause to bind; to fix; to join; unite
banD	banD	dhaatu	1	bear
banD	banD	dhaatu	2	betray to be bound by the fetters of existence
banD	banD	dhaatu	3	bridge over; close; construct; dammed up; direct; fetter; knit; put on; to form
banD	banD	dhaatu	4	exhibit; show; to entertain
banD	banD	dhaatu	5	produce anything in this way; produce in any way
banD	banD	dhaatu	6	capture; catch; chain; clench; hold captive; imprison; restrain; sacrifice; to arrest; to bind a sacrificial victim; to catch
banD	banD	dhaatu	7	bend; cause; chastise; do; effect; evil; fasten; fold; make; rivet on; sin again; span; take; tie; to bind; to punish; to sin
banD	banD	dhaatu	8	strike
banD	banD	dhaatu	9	that is experience
banD	banD	dhaatu	10	to attach to world
banD	banD	dhaatu	11	to be affected by id est
brahman	bra/hman	praatipadika	0	Mantra used as a spell; a sacred text; a text; communicators of sacred knowledge
brahman	brahma/n	praatipadika	0	Brahmā; a lifetime of Brahmā; an inhabitant of Brahmā's heaven; spells; δ Aurigae; Ṛtvijas
brahman	bra/hman	praatipadika	1	final emancipation
brahman	brahma/n	praatipadika	1	Name of Bṛhas-pati; Name of a magician; Name of a star; Name of the 9th Muhūrta; Name of the servant of the 10th Arhat of the present Avasarpiṇī; Name of Śiva; the Veda
brahman	bra/hman	praatipadika	2	food
brahman	brahma/n	praatipadika	2	a Brāhman who is a knower of Vedic texts
brahman	bra/hman	praatipadika	3	one self-existent impersonal Spirit
brahman	brahma/n	praatipadika	3	a particular Kalpa
brahman	bra/hman	praatipadika	4	outpouring of the heart in worshipping the gods
brahman	brahma/n	praatipadika	4	a particular astronomy Yoga
brahman	bra/hman	praatipadika	5	holy life; pious effusion; prayer; religious; spiritual knowledge; the Absolute; the Self-existent; the one universal Soul; the sacred syllable Om; the sacred word; utterance
brahman	brahma/n	praatipadika	5	as the first of the triad of personal gods
brahman	bra/hman	praatipadika	6	the Brahmă; the Brāhmaṇa portion of the Veda; the Eternal; the Veda
brahman	brahma/n	praatipadika	6	one of the 4 principal priests
brahman	bra/hman	praatipadika	7	the Brāhmanical caste as a body
brahman	brahma/n	praatipadika	7	a devout; one versed in sacred knowledge; one who prays; religious man
brahman	bra/hman	praatipadika	8	the class of men who are the repositories
brahman	brahma/n	praatipadika	8	the intellect
brahman	bra/hman	praatipadika	9	wealth
brahman	brahma/n	praatipadika	9	the one impersonal universal Spirit manifested as a personal Creator
brahman	brahma/n	praatipadika	10	the sun
citra	citra	praatipadika	0	fro
citra	citra/	praatipadika	0	Jonesia Aśoka
citra	citra	praatipadika	1	leaping to
citra	citra/	praatipadika	1	Name of a Draviḍa king; Name of a Gandharva; Name of a Jābāla-gṛhapati; Name of a king; Name of a son of Dhṛtarāṣṭra
citra	citra/	praatipadika	2	Plumbago zeylanica; a form of Yama; different; having different varieties
citra	citra/	praatipadika	3	Ricinus communis
citra	citra/	praatipadika	4	a brilliant ornament; a forestof variegated appearance  on; a picture; a spot; anything bright; bright-coloured; coloured which strikes the eyes; delineation; extraordinary appearance; manifold; ornament; sketch; sky; the ether; variegated; variety of colour
citra	citra/	praatipadika	5	a sectarial mark on the forehead
citra	citra/	praatipadika	6	agitated; answer; curious; facetious conversation; punning in the form of question; riddle; speckled; strange; strange!; wonder
citra	citra/	praatipadika	7	arranging verses in the shape of mathematical; various; various modes of writing
citra	citra/	praatipadika	8	containing the word
citra	citra/	praatipadika	9	other fanciful figures
citra	citra/	praatipadika	10	a bright; bright; clear; conspicuous; distinguished; excellent; spotted; wonderful
dfS	df/S	praatipadika	0	appearance; discerning; knowing; look; looking at; seeing; sight; the eye; the observed spot; view; viewing
dfS	dfS	praatipadika	0	appear; care for; compose; consider; contrive Aorist; demonstrate; to; to be always visible; understand; visit
dfS	df/S	praatipadika	1	doctrine; theory
dfS	dfS	praatipadika	1	learn
dfS	df/S	praatipadika	2	the aspect of a planet
dfS	dfS	praatipadika	2	long for; to wait on
dfS	dfS	praatipadika	3	person
dfS	dfS	praatipadika	4	to produce or pay
dfS	dfS	praatipadika	5	be seen; become visible; behold; examine; find out; look at; look into; manifested; regard; think; to be seen; to be shown; to cause to see; to notice; to see; to see by divine intuition; to see with the mind; to show a thing; to show or prove; to wish to see; to wish to show
dfS	dfS	praatipadika	6	try
eka	e/ka	praatipadika	0	Name of a son of Raya
eka	e/ka	praatipadika	1	Name of a teacher
eka	e/ka	praatipadika	2	a; following; unique
eka	e/ka	praatipadika	3	a unit
eka	e/ka	praatipadika	4	chief; pre-eminent; with preceding
eka	e/ka	praatipadika	5	happening only once; that one only
eka	e/ka	praatipadika	6	an; identical; the same
eka	e/ka	praatipadika	7	many; one; one by one; one of two
eka	e/ka	praatipadika	8	alone; little; no one; nobody; single; single of its kind; singular; small; solitary
eka	e/ka	praatipadika	9	excellent; sincere; truthful
