lemma	derivation	category	cluster_id	k_hop	louvain	leiden	hac
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa	Name of the 27th Kalpa	affection; affections; an organ of sense; emotion; feeling; heart; love; meaning; passion; sentiment; soul; the seat of the feelings; to feel an affection for	learned man; wanton sport
BAva	BAva/	praatipadika	1	Name of the author of the Bhāvaprakāśa	Name of the author of the Bhāvaprakāśa	appearance; behaviour; character; conduct; disposition; instruction; manner of acting; manner of being; nature; temperament	a discreet; advice; affection; affections; an organ of sense; animals; appearance; attachment; becoming; behaviour; being; birth; character; condition; condition of a planet; conduct; conjecture; contemplation; continuance; dalliance; disposition; emotion; existing; exists; feeling; heart; instruction; love; manner of acting; manner of being; meaning; meditation; nature; occurring; opinion; passion; place of birth; plants; purport; rank; reality; sentiment; soul; state; substance; such is the sense; supposition; temperament; that which is; the seat of the feelings; the state; the womb; the world; thing; to feel an affection for; transition into; true condition; truth; turning; universe; way of thinking
BAva	BAva/	praatipadika	2	a discreet	a discreet	condition; condition of a planet; rank; reality; state; the state; the world; true condition; truth; universe	an astrological house; lunar mansion
BAva	BAva/	praatipadika	3	advice; instruction	an astrological house	becoming; being; existing; exists; occurring; substance; thing; transition into; turning	to be ill disposed against; to make a firm resolution
BAva	BAva/	praatipadika	4	affection; an organ of sense; heart; love; meaning; the seat of the feelings; to feel an affection for	animals	advice; conjecture; contemplation; meditation; opinion; supposition; way of thinking	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	5	an astrological house	attachment	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind
BAva	BAva/	praatipadika	6	animals	appearance; behaviour; character; conduct; disposition; instruction; manner of acting; manner of being; nature	birth; place of birth; the womb	superhuman power; the Supreme Being
BAva	BAva/	praatipadika	7	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind	advice; conjecture; contemplation; meditation; opinion; supposition; way of thinking	Name of the 27th Kalpa	the fundamental notion of the verb; the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	8	attachment	continuance	Name of the author of the Bhāvaprakāśa	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	9	becoming; conduct; existing; exists; manner of acting; occurring; thing; transition into; turning	dalliance	a discreet	living creature all earthly objects
BAva	BAva/	praatipadika	10	birth; place of birth; the womb	affection; affections; an organ of sense; emotion; feeling; heart; love; meaning; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for	an astrological house	
BAva	BAva/	praatipadika	11	affections; appearance; behaviour; character; emotion; nature; passion; soul	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind	animals	
BAva	BAva/	praatipadika	12	being; condition of a planet; manner of being; substance; temperament	learned man	attachment	
BAva	BAva/	praatipadika	13	continuance	living creature all earthly objects	continuance	
BAva	BAva/	praatipadika	14	dalliance	lunar mansion	dalliance	
BAva	BAva/	praatipadika	15	learned man	of the 8th year in Jupiter's cycle of 60 years	learned man	
BAva	BAva/	praatipadika	16	living creature all earthly objects	birth; place of birth; the womb	living creature all earthly objects	
BAva	BAva/	praatipadika	17	lunar mansion	plants	lunar mansion	
BAva	BAva/	praatipadika	18	conjecture; contemplation; feeling; meditation; opinion; sentiment; supposition; way of thinking	purport	of the 8th year in Jupiter's cycle of 60 years	
BAva	BAva/	praatipadika	19	of the 8th year in Jupiter's cycle of 60 years	becoming; being; existing; exists; occurring; substance; thing; transition into; turning	plants	
BAva	BAva/	praatipadika	20	plants	such is the sense	purport	
BAva	BAva/	praatipadika	21	purport	superhuman power	such is the sense	
BAva	BAva/	praatipadika	22	disposition; rank	that which is	superhuman power	
BAva	BAva/	praatipadika	23	reality; true condition; truth	the Supreme Being	that which is	
BAva	BAva/	praatipadika	24	such is the sense	the fundamental notion of the verb	the Supreme Being	
BAva	BAva/	praatipadika	25	superhuman power	the sense conveyed by the abstract noun	the fundamental notion of the verb	
BAva	BAva/	praatipadika	26	that which is	condition; condition of a planet; rank; reality; state; the state; the world; true condition; truth; universe	the sense conveyed by the abstract noun	
BAva	BAva/	praatipadika	27	the Supreme Being	to be ill disposed against	to be ill disposed against	
BAva	BAva/	praatipadika	28	the fundamental notion of the verb	to make a firm resolution	to make a firm resolution	
BAva	BAva/	praatipadika	29	the sense conveyed by the abstract noun	wanton sport	wanton sport	
BAva	BAva/	praatipadika	30	condition; state; the state; the world; universe			
BAva	BAva/	praatipadika	31	to be ill disposed against			
BAva	BAva/	praatipadika	32	to make a firm resolution			
