lemma	derivation	category	cluster_id	k_hop	louvain	leiden	hac
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa	advice; appearance; behaviour; character; conduct; continuance; disposition; instruction; intention with whatever disposition of mind; manner of acting; manner of being; temperament; to be ill disposed against	emotion; sentiment
BAva	BAva/	praatipadika	1	a discreet	a discreet; affection; affections; animals; attachment; emotion; love; nature; opinion; passion; plants; reality; sentiment; substance; to feel an affection for; truth; wanton sport	animals; dalliance; living creature all earthly objects; nature; plants; substance; superhuman power; that which is; the Supreme Being; the world; thing; universe	becoming; being
BAva	BAva/	praatipadika	2	advice	becoming; being; dalliance; existing; exists; feeling; living creature all earthly objects; occurring; superhuman power; that which is; the Supreme Being; the world; thing; transition into; turning; universe	a discreet; affection; affections; attachment; emotion; heart; love; passion; to feel an affection for; wanton sport	manner of acting; manner of being
BAva	BAva/	praatipadika	3	an astrological house; lunar mansion	condition; true condition	an organ of sense; any state of mind and body; meditation; mind with a pleased mind; place of birth; soul; state; the seat of the feelings; the state; the womb	state; the state
BAva	BAva/	praatipadika	4	attachment; character; dalliance; manner of acting; opinion; temperament; thing; to be ill disposed against; wanton sport	any state of mind and body; conjecture; contemplation; continuance; intention with whatever disposition of mind; meaning; meditation; mind with a pleased mind; state; supposition; the fundamental notion of the verb; the sense conveyed by the abstract noun; the state; way of thinking	becoming; being; birth; existing; exists; feeling; occurring; transition into; turning	affection; affections; to feel an affection for
BAva	BAva/	praatipadika	5	condition; true condition	learned man	conjecture; contemplation; opinion; reality; sentiment; supposition; truth; way of thinking	the world
BAva	BAva/	praatipadika	6	condition of a planet; of the 8th year in Jupiter's cycle of 60 years	an astrological house; lunar mansion	meaning; the fundamental notion of the verb; the sense conveyed by the abstract noun	to be ill disposed against
BAva	BAva/	praatipadika	7	conjecture; continuance; sentiment	advice; appearance; behaviour; character; conduct; disposition; instruction; manner of acting; manner of being; temperament; to be ill disposed against	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa	temperament
BAva	BAva/	praatipadika	8	exists; supposition	condition of a planet; of the 8th year in Jupiter's cycle of 60 years	an astrological house; lunar mansion	transition into
BAva	BAva/	praatipadika	9	learned man	purport	condition of a planet; of the 8th year in Jupiter's cycle of 60 years	way of thinking
BAva	BAva/	praatipadika	10	living creature all earthly objects; plants; to feel an affection for; truth	rank	condition; true condition	wanton sport
BAva	BAva/	praatipadika	11	intention with whatever disposition of mind; meaning; the fundamental notion of the verb; the sense conveyed by the abstract noun	such is the sense	learned man	the womb
BAva	BAva/	praatipadika	12	an organ of sense; animals; disposition; heart; place of birth; soul; state; the state; the womb; the world; universe	an organ of sense; birth; heart; place of birth; soul; the seat of the feelings; the womb	purport	such is the sense
BAva	BAva/	praatipadika	13	purport	to make a firm resolution	rank	the fundamental notion of the verb
BAva	BAva/	praatipadika	14	rank		such is the sense	thing
BAva	BAva/	praatipadika	15	such is the sense		to make a firm resolution	soul
BAva	BAva/	praatipadika	16	to make a firm resolution			reality
BAva	BAva/	praatipadika	17	affection; affections; any state of mind and body; appearance; becoming; behaviour; being; birth; conduct; contemplation; emotion; existing; feeling; instruction; love; manner of being; meditation; mind with a pleased mind; nature; occurring; passion; reality; substance; superhuman power; that which is; the Supreme Being; the seat of the feelings; transition into; turning; way of thinking			substance
BAva	BAva/	praatipadika	18				to make a firm resolution
BAva	BAva/	praatipadika	19				supposition
BAva	BAva/	praatipadika	20				universe
BAva	BAva/	praatipadika	21				true condition
BAva	BAva/	praatipadika	22				turning
BAva	BAva/	praatipadika	23				the Supreme Being
BAva	BAva/	praatipadika	24				superhuman power
BAva	BAva/	praatipadika	25				living creature all earthly objects
BAva	BAva/	praatipadika	26				plants
BAva	BAva/	praatipadika	27				occurring
BAva	BAva/	praatipadika	28				character
BAva	BAva/	praatipadika	29				the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	30				nature
BAva	BAva/	praatipadika	31				rank
BAva	BAva/	praatipadika	32				passion
BAva	BAva/	praatipadika	33				mind with a pleased mind
BAva	BAva/	praatipadika	34				love
BAva	BAva/	praatipadika	35				learned man
BAva	BAva/	praatipadika	36				meaning
BAva	BAva/	praatipadika	37				any state of mind and body
BAva	BAva/	praatipadika	38				advice
BAva	BAva/	praatipadika	39				exists
BAva	BAva/	praatipadika	40				a discreet
BAva	BAva/	praatipadika	41				of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	42				that which is
BAva	BAva/	praatipadika	43				the seat of the feelings
BAva	BAva/	praatipadika	44				opinion
BAva	BAva/	praatipadika	45				disposition
BAva	BAva/	praatipadika	46				truth
