lemma	derivation	category	cluster_id	k_hop	louvain	leiden	hac
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa; plants	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa	advice; affection; affections; any state of mind and body; attachment; emotion; feeling; heart; love; meditation; mind with a pleased mind; opinion; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for	supposition; the fundamental notion of the verb
BAva	BAva/	praatipadika	1	affection; affections; attachment; character; heart; learned man; to feel an affection for; turning	an astrological house; condition of a planet; living creature all earthly objects; lunar mansion; nature; of the 8th year in Jupiter's cycle of 60 years; plants; the world; universe	becoming; behaviour; condition; conduct; conjecture; contemplation; continuance; disposition; existing; instruction; learned man; occurring; rank; to be ill disposed against; transition into; true condition; turning	affection; affections; emotion; feeling; love; passion; sentiment; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	2	an astrological house; animals; any state of mind and body; condition of a planet; living creature all earthly objects; lunar mansion; of the 8th year in Jupiter's cycle of 60 years; the seat of the feelings; the sense conveyed by the abstract noun; universe	advice; affection; affections; any state of mind and body; attachment; emotion; feeling; heart; love; meditation; mind with a pleased mind; opinion; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for	an organ of sense; being; intention with whatever disposition of mind; manner of acting; manner of being; meaning; such is the sense; superhuman power; supposition; that which is; the Supreme Being; the fundamental notion of the verb; the sense conveyed by the abstract noun; way of thinking	behaviour; conduct; continuance; disposition; existing; occurring
BAva	BAva/	praatipadika	3	place of birth; the womb	birth; place of birth; the womb	an astrological house; condition of a planet; exists; living creature all earthly objects; lunar mansion; nature; of the 8th year in Jupiter's cycle of 60 years; plants; reality; the world; truth; universe	contemplation; intention with whatever disposition of mind; mind with a pleased mind; way of thinking
BAva	BAva/	praatipadika	4	an organ of sense; superhuman power; the Supreme Being; the fundamental notion of the verb; the world	an organ of sense; being; intention with whatever disposition of mind; manner of acting; manner of being; meaning; such is the sense; superhuman power; supposition; that which is; the Supreme Being; the fundamental notion of the verb; the sense conveyed by the abstract noun; way of thinking	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa; a discreet; animals; appearance; character; dalliance; purport; state; substance; the state; thing	becoming; being; manner of being; meaning; such is the sense
BAva	BAva/	praatipadika	5	the state	state; the state	birth; place of birth; the womb	nature; plants
BAva	BAva/	praatipadika	6	a discreet; advice; appearance; becoming; behaviour; being; birth; condition; conduct; conjecture; contemplation; continuance; dalliance; disposition; emotion; existing; exists; feeling; instruction; intention with whatever disposition of mind; love; manner of acting; manner of being; meaning; meditation; mind with a pleased mind; nature; occurring; opinion; passion; purport; rank; reality; sentiment; soul; state; substance; such is the sense; supposition; temperament; that which is; thing; to be ill disposed against; transition into; true condition; truth; way of thinking	to make a firm resolution	to make a firm resolution	birth; place of birth; the womb
BAva	BAva/	praatipadika	7	to make a firm resolution	a discreet; animals; appearance; becoming; behaviour; character; condition; conduct; conjecture; contemplation; continuance; dalliance; disposition; existing; exists; instruction; learned man; occurring; purport; rank; reality; substance; thing; to be ill disposed against; transition into; true condition; truth; turning	wanton sport	exists; reality; truth
BAva	BAva/	praatipadika	8	wanton sport	wanton sport		an astrological house; lunar mansion
BAva	BAva/	praatipadika	9				turning
BAva	BAva/	praatipadika	10				dalliance; purport
BAva	BAva/	praatipadika	11				substance; thing
BAva	BAva/	praatipadika	12				soul
BAva	BAva/	praatipadika	13				the world; universe
BAva	BAva/	praatipadika	14				opinion
BAva	BAva/	praatipadika	15				rank
BAva	BAva/	praatipadika	16				temperament
BAva	BAva/	praatipadika	17				the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	18				condition; true condition
BAva	BAva/	praatipadika	19				to be ill disposed against
BAva	BAva/	praatipadika	20				transition into
BAva	BAva/	praatipadika	21				superhuman power
BAva	BAva/	praatipadika	22				instruction
BAva	BAva/	praatipadika	23				living creature all earthly objects
BAva	BAva/	praatipadika	24				wanton sport
BAva	BAva/	praatipadika	25				animals
BAva	BAva/	praatipadika	26				learned man
BAva	BAva/	praatipadika	27				heart
BAva	BAva/	praatipadika	28				state; the state
BAva	BAva/	praatipadika	29				Name of the 27th Kalpa
BAva	BAva/	praatipadika	30				a discreet
BAva	BAva/	praatipadika	31				character
BAva	BAva/	praatipadika	32				manner of acting
BAva	BAva/	praatipadika	33				attachment
BAva	BAva/	praatipadika	34				condition of a planet
BAva	BAva/	praatipadika	35				Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	36				that which is
BAva	BAva/	praatipadika	37				an organ of sense
BAva	BAva/	praatipadika	38				the Supreme Being
BAva	BAva/	praatipadika	39				advice
BAva	BAva/	praatipadika	40				any state of mind and body
BAva	BAva/	praatipadika	41				conjecture
BAva	BAva/	praatipadika	42				to make a firm resolution
BAva	BAva/	praatipadika	43				of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	44				meditation
BAva	BAva/	praatipadika	45				appearance
BU	BU	dhaatu	0	Name of a Yogin	Name of a Yogin	Name of a Yogin	a particular land-measure
