lemma	derivation	category	cluster_id	k_hop	louvain	leiden	hac
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa	Name of the 27th Kalpa	a discreet; attachment; condition; condition of a planet; conduct; conjecture; contemplation; continuance; disposition; instruction; intention with whatever disposition of mind; purport; supposition; to be ill disposed against; transition into; turning	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa; a discreet; advice; affection; affections; an astrological house; an organ of sense; animals; any state of mind and body; appearance; attachment; becoming; behaviour; being; birth; character; condition; condition of a planet; conduct; conjecture; contemplation; continuance; dalliance; disposition; emotion; existing; exists; feeling; heart; instruction; intention with whatever disposition of mind; learned man; living creature all earthly objects; love; lunar mansion; manner of acting; manner of being; meaning; meditation; mind with a pleased mind; nature; occurring; of the 8th year in Jupiter's cycle of 60 years; opinion; passion; place of birth; plants; purport; rank; reality; sentiment; soul; state; substance; such is the sense; superhuman power; supposition; temperament; that which is; the Supreme Being; the fundamental notion of the verb; the seat of the feelings; the sense conveyed by the abstract noun; the state; the womb; the world; thing; to be ill disposed against; to feel an affection for; to make a firm resolution; transition into; true condition; truth; turning; universe; wanton sport; way of thinking
BAva	BAva/	praatipadika	1	Name of the author of the Bhāvaprakāśa	Name of the author of the Bhāvaprakāśa	affection; affections; emotion; feeling; heart; love; opinion; passion; sentiment; the seat of the feelings; to feel an affection for	
BAva	BAva/	praatipadika	2	a discreet; attachment; intention with whatever disposition of mind; to be ill disposed against	advice	any state of mind and body; behaviour; being; existing; exists; manner of being; such is the sense; temperament; that which is; way of thinking	
BAva	BAva/	praatipadika	3	advice	affection; affections; emotion; feeling; heart; love; opinion; passion; sentiment; temperament; the seat of the feelings; to feel an affection for	meaning; reality; the sense conveyed by the abstract noun; thing; true condition; truth	
BAva	BAva/	praatipadika	4	affection; affections; heart; passion; the seat of the feelings; to feel an affection for	an organ of sense	nature; state; the state; the world	
BAva	BAva/	praatipadika	5	an astrological house; lunar mansion	animals	becoming; birth; place of birth; the womb	
BAva	BAva/	praatipadika	6	an organ of sense	appearance	an astrological house; lunar mansion	
BAva	BAva/	praatipadika	7	animals	character	Name of the 27th Kalpa	
BAva	BAva/	praatipadika	8	any state of mind and body	a discreet; attachment; behaviour; condition; condition of a planet; conduct; conjecture; contemplation; continuance; disposition; instruction; intention with whatever disposition of mind; purport; supposition; to be ill disposed against; transition into; turning	Name of the author of the Bhāvaprakāśa	
BAva	BAva/	praatipadika	9	appearance	dalliance	advice	
BAva	BAva/	praatipadika	10	becoming; behaviour; love; manner of being; temperament; way of thinking	learned man	an organ of sense	
BAva	BAva/	praatipadika	11	character	living creature all earthly objects	animals	
BAva	BAva/	praatipadika	12	condition of a planet; continuance; existing; exists; instruction; transition into; true condition; turning	an astrological house; lunar mansion	appearance	
BAva	BAva/	praatipadika	13	conjecture; contemplation; disposition; supposition	manner of acting	character	
BAva	BAva/	praatipadika	14	dalliance	any state of mind and body; being; existing; exists; manner of being; meaning; reality; such is the sense; that which is; the sense conveyed by the abstract noun; thing; true condition; truth; way of thinking	dalliance	
BAva	BAva/	praatipadika	15	learned man	meditation	learned man	
BAva	BAva/	praatipadika	16	living creature all earthly objects	mind with a pleased mind	living creature all earthly objects	
BAva	BAva/	praatipadika	17	manner of acting	occurring	manner of acting	
BAva	BAva/	praatipadika	18	meditation	of the 8th year in Jupiter's cycle of 60 years	meditation	
BAva	BAva/	praatipadika	19	mind with a pleased mind	becoming; birth; place of birth; the womb	mind with a pleased mind	
BAva	BAva/	praatipadika	20	nature; reality; state; the state; the world	plants	occurring	
BAva	BAva/	praatipadika	21	occurring	rank	of the 8th year in Jupiter's cycle of 60 years	
BAva	BAva/	praatipadika	22	of the 8th year in Jupiter's cycle of 60 years	soul	plants	
BAva	BAva/	praatipadika	23	feeling; opinion	substance	rank	
BAva	BAva/	praatipadika	24	birth; place of birth; the womb	superhuman power	soul	
