lemma	derivation	category	cluster_id	k_hop	louvain	leiden	hac
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa	Name of the 27th Kalpa	condition; continuance; dalliance; existing; exists; meaning; purport; rank; such is the sense; supposition; that which is; the fundamental notion of the verb; the sense conveyed by the abstract noun; thing; true condition	advice; contemplation; instruction; learned man; meditation
BAva	BAva/	praatipadika	1	Name of the author of the Bhāvaprakāśa	Name of the author of the Bhāvaprakāśa	affection; affections; an organ of sense; attachment; emotion; feeling; heart; love; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for	animals; nature; plants
BAva	BAva/	praatipadika	2	a discreet; any state of mind and body; appearance; dalliance; manner of acting; to be ill disposed against	advice; instruction	any state of mind and body; conjecture; contemplation; disposition; intention with whatever disposition of mind; meditation; mind with a pleased mind; opinion; to be ill disposed against; way of thinking	a discreet; affection; affections; an organ of sense; any state of mind and body; appearance; attachment; becoming; behaviour; being; character; condition; condition of a planet; conduct; conjecture; continuance; dalliance; disposition; emotion; existing; exists; feeling; heart; intention with whatever disposition of mind; living creature all earthly objects; love; manner of acting; manner of being; meaning; mind with a pleased mind; occurring; opinion; passion; purport; rank; reality; sentiment; soul; state; substance; such is the sense; superhuman power; supposition; temperament; that which is; the Supreme Being; the fundamental notion of the verb; the seat of the feelings; the sense conveyed by the abstract noun; the state; the world; thing; to be ill disposed against; to feel an affection for; transition into; true condition; truth; turning; universe; wanton sport; way of thinking
BAva	BAva/	praatipadika	3	advice; instruction	affection; affections; an organ of sense; attachment; emotion; feeling; heart; love; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for	a discreet; appearance; behaviour; being; character; conduct; manner of acting; manner of being; occurring	birth; place of birth; the womb
BAva	BAva/	praatipadika	4	affection; affections; attachment; behaviour; conduct; emotion; heart; love; passion; the seat of the feelings; to feel an affection for	animals	condition of a planet; reality; substance; superhuman power; the Supreme Being; the world; truth; universe	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	5	an astrological house; lunar mansion	appearance; behaviour; character; conduct; manner of acting; manner of being; occurring	becoming; birth; place of birth; the womb; transition into; turning	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	6	animals	becoming; being; condition; continuance; dalliance; existing; exists; meaning; purport; rank; substance; such is the sense; supposition; that which is; thing; true condition	an astrological house; lunar mansion	to make a firm resolution
BAva	BAva/	praatipadika	7	birth; occurring; place of birth; the womb; transition into; turning	learned man	advice; instruction	an astrological house; lunar mansion
BAva	BAva/	praatipadika	8	condition of a planet	living creature all earthly objects	state; the state	
BAva	BAva/	praatipadika	9	conjecture; continuance; purport; that which is; thing	an astrological house; lunar mansion	Name of the 27th Kalpa	
BAva	BAva/	praatipadika	10	contemplation; feeling; intention with whatever disposition of mind; meditation; mind with a pleased mind; opinion; sentiment; way of thinking	nature	Name of the author of the Bhāvaprakāśa	
BAva	BAva/	praatipadika	11	learned man	of the 8th year in Jupiter's cycle of 60 years	animals	
BAva	BAva/	praatipadika	12	living creature all earthly objects	plants	learned man	
BAva	BAva/	praatipadika	13	nature	the fundamental notion of the verb; the sense conveyed by the abstract noun	living creature all earthly objects	
BAva	BAva/	praatipadika	14	of the 8th year in Jupiter's cycle of 60 years	state; the state	nature	
BAva	BAva/	praatipadika	15	plants	to make a firm resolution	of the 8th year in Jupiter's cycle of 60 years	
BAva	BAva/	praatipadika	16	state; the state	a discreet; any state of mind and body; birth; conjecture; contemplation; disposition; intention with whatever disposition of mind; meditation; mind with a pleased mind; opinion; place of birth; the womb; to be ill disposed against; transition into; turning; way of thinking	plants	
BAva	BAva/	praatipadika	17	character; manner of being; rank; soul; superhuman power; temperament; the Supreme Being	condition of a planet; reality; superhuman power; the Supreme Being; the world; truth; universe	to make a firm resolution	
BAva	BAva/	praatipadika	18	an organ of sense; meaning; the fundamental notion of the verb; the sense conveyed by the abstract noun	wanton sport	wanton sport	
BAva	BAva/	praatipadika	19	to make a firm resolution			
BAva	BAva/	praatipadika	20	becoming; being; condition; disposition; existing; exists; reality; substance; such is the sense; supposition; the world; true condition; truth; universe			
BAva	BAva/	praatipadika	21	wanton sport			
BU	BU	dhaatu	0	Name of a Yogin	Name of a Yogin	Name of a Yogin	Name of a Yogin; a particular land-measure
BU	BU/	dhaatu	0	Name of Viṣṇu	a sacrificial fire	a place; arising; becoming; being; existing; matter; object; spot; springing; the act of becoming; the place of being	Name of Viṣṇu; Name of an Ekāha; a term for the letter; one of the three Vyāhṛtis; symbolical name for the number one; the base of any geometrical figure
BU	BU	dhaatu	1	a particular land-measure	a particular land-measure	a particular land-measure	
BU	BU/	dhaatu	1	a place; becoming; existing; landed property; matter; object; pavement; springing; the act of becoming	a place; arising; becoming; being; existing; matter; object; spot; springing; the act of becoming; the place of being	earth; land; space; the earth; universe; world	a place; arising; becoming; being; earth; existing; floor; ground; land; landed property; matter; object; pavement; piece of ground; soil; space; spot; springing; the act of becoming; the earth; the place of being; universe; world
BU	BU/	dhaatu	2	a sacrificial fire	one of the three Vyāhṛtis	floor; ground; landed property; pavement; piece of ground; soil	a sacrificial fire
BU	BU/	dhaatu	3	Name of an Ekāha; a term for the letter; symbolical name for the number one	earth; floor; ground; land; landed property; pavement; piece of ground; soil; space; the earth; universe; world	Name of Viṣṇu; Name of an Ekāha; a term for the letter; symbolical name for the number one	
BU	BU/	dhaatu	4	one of the three Vyāhṛtis	Name of Viṣṇu; Name of an Ekāha; a term for the letter; symbolical name for the number one	a sacrificial fire	
BU	BU/	dhaatu	5	arising; being; earth; floor; ground; land; piece of ground; soil; space; spot; the earth; the place of being; universe; world	the base of any geometrical figure	one of the three Vyāhṛtis	
BU	BU/	dhaatu	6	the base of any geometrical figure		the base of any geometrical figure	
Darma	Da/rma	praatipadika	0	Justice personified; essential quality; justice	Name of a lexicographer	Justice personified; Law; justice; law; morality; ordinance; prescribed conduct; statute; steadfast decree; that which is established; the law	Justice personified; Law; a bow; associating with the virtuous; character; duty; essential quality; firm; justice; law; mark; morality; nature; ordinance; peculiar condition; peculiarity; practice; prescribed conduct; property; right; statute; steadfast decree; that which is established; the law; usage; virtue
Darma	Darma	naama-dhaatu	0	law	law	law	to become
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta	a Soma-drinker; an Upaniṣad; f° of Dhṛta; f° of Netra; of Uśanas
Darma	Darma	naama-dhaatu	1	to become	to become	to become	law
Darma	Da/rma	praatipadika	2	Name of a lexicographer	a Soma-drinker	associating with the virtuous; devotion; duty; essential quality; religion; religious abstraction; religious merit; sacrifice; virtue	Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta
Darma	Da/rma	praatipadika	3	a Soma-drinker	a bow	doctrine of Buddhism; the ethical precepts of Buddhism; the law of Northern Buddhism	the ninth mansion
Darma	Da/rma	praatipadika	4	a bow	a particular ceremony; customary observance	a particular ceremony; customary observance	good works
Darma	Da/rma	praatipadika	5	a particular ceremony; customary observance	an Upaniṣad; of Uśanas	f° of Dhṛta; f° of Netra	doctrine of Buddhism; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Da/rma	praatipadika	6	an Upaniṣad; of Uśanas	character	an Upaniṣad; of Uśanas	a particular ceremony; customary observance; devotion; religion; religious abstraction; religious merit; sacrifice
Darma	Da/rma	praatipadika	7	character	firm	peculiar condition; peculiarity	
Darma	Da/rma	praatipadika	8	doctrine of Buddhism; morality; the ethical precepts of Buddhism; the law of Northern Buddhism	f° of Dhṛta; f° of Netra	practice; usage	
Darma	Da/rma	praatipadika	9	firm	good works	Name of a lexicographer	
Darma	Da/rma	praatipadika	10	f° of Dhṛta; f° of Netra	mark	a Soma-drinker	
Darma	Da/rma	praatipadika	11	good works	nature	a bow	
Darma	Da/rma	praatipadika	12	mark	peculiar condition; peculiarity	character	
Darma	Da/rma	praatipadika	13	nature	practice; usage	firm	
Darma	Da/rma	praatipadika	14	peculiar condition; peculiarity	property	good works	
Darma	Da/rma	praatipadika	15	practice	associating with the virtuous; devotion; duty; essential quality; religion; religious abstraction; religious merit; sacrifice; virtue	mark	
Darma	Da/rma	praatipadika	16	Law; duty; law; ordinance; prescribed conduct; statute; steadfast decree; that which is established; the law; usage	right	nature	
Darma	Da/rma	praatipadika	17	property	doctrine of Buddhism; the ethical precepts of Buddhism; the law of Northern Buddhism	property	
Darma	Da/rma	praatipadika	18	associating with the virtuous; devotion; religion; religious abstraction; religious merit; sacrifice; virtue	the ninth mansion	right	
Darma	Da/rma	praatipadika	19	right	Justice personified; Law; justice; law; morality; ordinance; prescribed conduct; statute; steadfast decree; that which is established; the law	the ninth mansion	
Darma	Da/rma	praatipadika	20	the ninth mansion			
agra	a/gra	praatipadika	0	a measure of food given as alms	a measure of food given as alms	chief; front; prominent; sharpness; surface; tip; top	a weight; the sun's amplitude
agra	agra	praatipadika	0	remainder	remainder	remainder	remainder; rest
agra	a/gra	praatipadika	1	a weight	a weight	summit; the beginning; the climax; the nearest end; uppermost part	aim; and hence; anterior; best; best part; chief; figuratively; first; foremost; foremost point; front; goal; part; point; projecting; prominent; sharpness; summit; supernumerary; surface; the beginning; the climax; the nearest end; tip; top; uppermost part
agra	agra	praatipadika	1	rest	rest	rest	
agra	a/gra	praatipadika	2	aim; goal; projecting; the beginning; the nearest end	aim; chief; front; goal; point; prominent; sharpness; surface; tip	best; best part; first; foremost; foremost point	multitude
agra	a/gra	praatipadika	3	and hence; anterior; best; best part; figuratively; first; foremost; foremost point; front; summit; surface; the climax; uppermost part	and hence; anterior; figuratively; part; projecting	and hence; anterior; figuratively; part; projecting	a measure of food given as alms; equal to a pala
agra	a/gra	praatipadika	4	chief; part; point; prominent; sharpness; tip; top	best; best part; first; foremost; foremost point; top	aim; goal; point	
agra	a/gra	praatipadika	5	equal to a pala	equal to a pala	a measure of food given as alms	
agra	a/gra	praatipadika	6	multitude	multitude	a weight	
agra	a/gra	praatipadika	7	supernumerary	supernumerary	equal to a pala	
agra	a/gra	praatipadika	8	the sun's amplitude	summit; the beginning; the climax; the nearest end; uppermost part	multitude	
agra	a/gra	praatipadika	9		the sun's amplitude	supernumerary	
agra	a/gra	praatipadika	10			the sun's amplitude	
