lemma	derivation	category	cluster_id	LaBSE	MPnet	Para-Mini	Qwen	VyA
BAva	BAva/	praatipadika	0	learned man; wanton sport	emotion; sentiment	supposition; the fundamental notion of the verb	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa; a discreet; advice; affection; affections; an astrological house; an organ of sense; animals; any state of mind and body; appearance; attachment; becoming; behaviour; being; birth; character; condition; condition of a planet; conduct; conjecture; contemplation; continuance; dalliance; disposition; emotion; existing; exists; feeling; heart; instruction; intention with whatever disposition of mind; learned man; living creature all earthly objects; love; lunar mansion; manner of acting; manner of being; meaning; meditation; mind with a pleased mind; nature; occurring; of the 8th year in Jupiter's cycle of 60 years; opinion; passion; place of birth; plants; purport; rank; reality; sentiment; soul; state; substance; such is the sense; superhuman power; supposition; temperament; that which is; the Supreme Being; the fundamental notion of the verb; the seat of the feelings; the sense conveyed by the abstract noun; the state; the womb; the world; thing; to be ill disposed against; to feel an affection for; to make a firm resolution; transition into; true condition; truth; turning; universe; wanton sport; way of thinking	advice; contemplation; instruction; learned man; meditation
BAva	BAva/	praatipadika	1	a discreet; advice; affection; affections; an organ of sense; animals; appearance; attachment; becoming; behaviour; being; birth; character; condition; condition of a planet; conduct; conjecture; contemplation; continuance; dalliance; disposition; emotion; existing; exists; feeling; heart; instruction; love; manner of acting; manner of being; meaning; meditation; nature; occurring; opinion; passion; place of birth; plants; purport; rank; reality; sentiment; soul; state; substance; such is the sense; supposition; temperament; that which is; the seat of the feelings; the state; the womb; the world; thing; to feel an affection for; transition into; true condition; truth; turning; universe; way of thinking	becoming; being	affection; affections; emotion; feeling; love; passion; sentiment; the seat of the feelings; to feel an affection for		animals; nature; plants
BAva	BAva/	praatipadika	2	an astrological house; lunar mansion	manner of acting; manner of being	behaviour; conduct; continuance; disposition; existing; occurring		a discreet; affection; affections; an organ of sense; any state of mind and body; appearance; attachment; becoming; behaviour; being; character; condition; condition of a planet; conduct; conjecture; continuance; dalliance; disposition; emotion; existing; exists; feeling; heart; intention with whatever disposition of mind; living creature all earthly objects; love; manner of acting; manner of being; meaning; mind with a pleased mind; occurring; opinion; passion; purport; rank; reality; sentiment; soul; state; substance; such is the sense; superhuman power; supposition; temperament; that which is; the Supreme Being; the fundamental notion of the verb; the seat of the feelings; the sense conveyed by the abstract noun; the state; the world; thing; to be ill disposed against; to feel an affection for; transition into; true condition; truth; turning; universe; wanton sport; way of thinking
BAva	BAva/	praatipadika	3	to be ill disposed against; to make a firm resolution	state; the state	contemplation; intention with whatever disposition of mind; mind with a pleased mind; way of thinking		birth; place of birth; the womb
BAva	BAva/	praatipadika	4	of the 8th year in Jupiter's cycle of 60 years	affection; affections; to feel an affection for	becoming; being; manner of being; meaning; such is the sense		Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	5	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind	the world	nature; plants		of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	6	superhuman power; the Supreme Being	to be ill disposed against	birth; place of birth; the womb		to make a firm resolution
BAva	BAva/	praatipadika	7	the fundamental notion of the verb; the sense conveyed by the abstract noun	temperament	exists; reality; truth		an astrological house; lunar mansion
BAva	BAva/	praatipadika	8	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa	transition into	an astrological house; lunar mansion		
BAva	BAva/	praatipadika	9	living creature all earthly objects	way of thinking	turning		
