lemma	derivation	category	cluster_id	LaBSE	MPnet	Para-Mini	Qwen	VyA
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa; plants	Name of the 27th Kalpa	Name of the 27th Kalpa
BAva	BAva/	praatipadika	1	Name of the author of the Bhāvaprakāśa	a discreet	affection; affections; attachment; character; heart; learned man; to feel an affection for; turning	Name of the author of the Bhāvaprakāśa	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	2	a discreet	advice	an astrological house; animals; any state of mind and body; condition of a planet; living creature all earthly objects; lunar mansion; of the 8th year in Jupiter's cycle of 60 years; the seat of the feelings; the sense conveyed by the abstract noun; universe	a discreet; attachment; intention with whatever disposition of mind; to be ill disposed against	a discreet; any state of mind and body; appearance; dalliance; manner of acting; to be ill disposed against
BAva	BAva/	praatipadika	3	advice; instruction	an astrological house; lunar mansion	place of birth; the womb	advice	advice; instruction
BAva	BAva/	praatipadika	4	affection; an organ of sense; heart; love; meaning; the seat of the feelings; to feel an affection for	attachment; character; dalliance; manner of acting; opinion; temperament; thing; to be ill disposed against; wanton sport	an organ of sense; superhuman power; the Supreme Being; the fundamental notion of the verb; the world	affection; affections; heart; passion; the seat of the feelings; to feel an affection for	affection; affections; attachment; behaviour; conduct; emotion; heart; love; passion; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	5	an astrological house	condition; true condition	the state	an astrological house; lunar mansion	an astrological house; lunar mansion
BAva	BAva/	praatipadika	6	animals	condition of a planet; of the 8th year in Jupiter's cycle of 60 years	a discreet; advice; appearance; becoming; behaviour; being; birth; condition; conduct; conjecture; contemplation; continuance; dalliance; disposition; emotion; existing; exists; feeling; instruction; intention with whatever disposition of mind; love; manner of acting; manner of being; meaning; meditation; mind with a pleased mind; nature; occurring; opinion; passion; purport; rank; reality; sentiment; soul; state; substance; such is the sense; supposition; temperament; that which is; thing; to be ill disposed against; transition into; true condition; truth; way of thinking	an organ of sense	animals
BAva	BAva/	praatipadika	7	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind	conjecture; continuance; sentiment	to make a firm resolution	animals	birth; occurring; place of birth; the womb; transition into; turning
BAva	BAva/	praatipadika	8	attachment	exists; supposition	wanton sport	any state of mind and body	condition of a planet
BAva	BAva/	praatipadika	9	becoming; conduct; existing; exists; manner of acting; occurring; thing; transition into; turning	learned man		appearance	conjecture; continuance; purport; that which is; thing
BAva	BAva/	praatipadika	10	birth; place of birth; the womb	living creature all earthly objects; plants; to feel an affection for; truth		becoming; behaviour; love; manner of being; temperament; way of thinking	contemplation; feeling; intention with whatever disposition of mind; meditation; mind with a pleased mind; opinion; sentiment; way of thinking
BAva	BAva/	praatipadika	11	affections; appearance; behaviour; character; emotion; nature; passion; soul	intention with whatever disposition of mind; meaning; the fundamental notion of the verb; the sense conveyed by the abstract noun		character	learned man
BAva	BAva/	praatipadika	12	being; condition of a planet; manner of being; substance; temperament	an organ of sense; animals; disposition; heart; place of birth; soul; state; the state; the womb; the world; universe		condition of a planet; continuance; existing; exists; instruction; transition into; true condition; turning	living creature all earthly objects
BAva	BAva/	praatipadika	13	continuance	purport		conjecture; contemplation; disposition; supposition	nature
BAva	BAva/	praatipadika	14	dalliance	rank		dalliance	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	15	learned man	such is the sense		learned man	plants
BAva	BAva/	praatipadika	16	living creature all earthly objects	to make a firm resolution		living creature all earthly objects	state; the state
BAva	BAva/	praatipadika	17	lunar mansion	affection; affections; any state of mind and body; appearance; becoming; behaviour; being; birth; conduct; contemplation; emotion; existing; feeling; instruction; love; manner of being; meditation; mind with a pleased mind; nature; occurring; passion; reality; substance; superhuman power; that which is; the Supreme Being; the seat of the feelings; transition into; turning; way of thinking		manner of acting	character; manner of being; rank; soul; superhuman power; temperament; the Supreme Being
BAva	BAva/	praatipadika	18	conjecture; contemplation; feeling; meditation; opinion; sentiment; supposition; way of thinking			meditation	an organ of sense; meaning; the fundamental notion of the verb; the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	19	of the 8th year in Jupiter's cycle of 60 years			mind with a pleased mind	to make a firm resolution
BAva	BAva/	praatipadika	20	plants			nature; reality; state; the state; the world	becoming; being; condition; disposition; existing; exists; reality; substance; such is the sense; supposition; the world; true condition; truth; universe
BAva	BAva/	praatipadika	21	purport			occurring	wanton sport
BAva	BAva/	praatipadika	22	disposition; rank			of the 8th year in Jupiter's cycle of 60 years	
BAva	BAva/	praatipadika	23	reality; true condition; truth			feeling; opinion	
BAva	BAva/	praatipadika	24	such is the sense			birth; place of birth; the womb	
BAva	BAva/	praatipadika	25	superhuman power			plants	
BAva	BAva/	praatipadika	26	that which is			rank	
BAva	BAva/	praatipadika	27	the Supreme Being			soul	
BAva	BAva/	praatipadika	28	the fundamental notion of the verb			substance	
BAva	BAva/	praatipadika	29	the sense conveyed by the abstract noun			superhuman power	
BAva	BAva/	praatipadika	30	condition; state; the state; the world; universe			the Supreme Being	
BAva	BAva/	praatipadika	31	to be ill disposed against			the fundamental notion of the verb	
BAva	BAva/	praatipadika	32	to make a firm resolution			being; condition; conduct; emotion; meaning; purport; sentiment; such is the sense; that which is; the sense conveyed by the abstract noun; thing; truth	
BAva	BAva/	praatipadika	33	wanton sport			to make a firm resolution	
BAva	BAva/	praatipadika	34				universe	
BAva	BAva/	praatipadika	35				wanton sport	
BU	BU	dhaatu	0	Name of a Yogin	Name of a Yogin	Name of a Yogin	Name of a Yogin	Name of a Yogin
BU	BU/	dhaatu	0	Name of Viṣṇu	Name of Viṣṇu; Name of an Ekāha; one of the three Vyāhṛtis	Name of Viṣṇu	Name of Viṣṇu; one of the three Vyāhṛtis	Name of Viṣṇu
BU	BU	dhaatu	1	a particular land-measure	a particular land-measure	a particular land-measure	a particular land-measure	a particular land-measure
BU	BU/	dhaatu	1	Name of an Ekāha	a place; a sacrificial fire; arising; becoming; being; earth; existing; floor; ground; land; landed property; matter; object; pavement; piece of ground; soil; space; spot; springing; the act of becoming; the earth; the place of being; universe; world	a place; a sacrificial fire; arising; becoming; being; earth; existing; floor; ground; land; landed property; matter; object; one of the three Vyāhṛtis; pavement; piece of ground; soil; space; spot; springing; the act of becoming; the base of any geometrical figure; the earth; the place of being; universe; world	Name of an Ekāha	a place; becoming; existing; landed property; matter; object; pavement; springing; the act of becoming
BU	BU/	dhaatu	2	a place; landed property; object; space; spot; universe; world	a term for the letter	Name of an Ekāha; a term for the letter; symbolical name for the number one	a place; earth; floor; landed property; piece of ground; soil	a sacrificial fire
BU	BU/	dhaatu	3	a sacrificial fire	symbolical name for the number one		a sacrificial fire	Name of an Ekāha; a term for the letter; symbolical name for the number one
BU	BU/	dhaatu	4	a term for the letter	the base of any geometrical figure		a term for the letter	one of the three Vyāhṛtis
BU	BU/	dhaatu	5	arising; becoming; being; existing; matter; springing; the act of becoming; the place of being			arising; springing	arising; being; earth; floor; ground; land; piece of ground; soil; space; spot; the earth; the place of being; universe; world
BU	BU/	dhaatu	6	one of the three Vyāhṛtis			becoming; existing; the act of becoming; the place of being	the base of any geometrical figure
BU	BU/	dhaatu	7	earth; floor; ground; land; pavement; piece of ground; soil; the earth			being; ground; land; matter; object; spot; the earth; world	
BU	BU/	dhaatu	8	symbolical name for the number one			pavement	
BU	BU/	dhaatu	9	the base of any geometrical figure			space; universe	
BU	BU/	dhaatu	10				symbolical name for the number one	
BU	BU/	dhaatu	11				the base of any geometrical figure	
Darma	Da/rma	praatipadika	0	Justice personified	Justice personified; a particular ceremony; firm; ordinance	Justice personified; essential quality	Justice personified; right	Justice personified; essential quality; justice
Darma	Darma	naama-dhaatu	0	law	law	law	law	law
Darma	Da/rma	praatipadika	1	Law; justice; right	Name of a king of Kaśmīra; Name of the 15th Arhat of the present Ava-sarpiṇī	Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; character; father of Ghṛta	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; father of Ghṛta	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta
Darma	Darma	naama-dhaatu	1	to become	to become	to become	to become	to become
Darma	Da/rma	praatipadika	2	Name of a king of Kaśmīra	Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; father of Ghṛta	Name of the 15th Arhat of the present Ava-sarpiṇī; a Soma-drinker; a bow; peculiar condition	Name of a lexicographer	Name of a lexicographer
Darma	Da/rma	praatipadika	3	Name of a lexicographer	a Soma-drinker; a bow; an Upaniṣad	firm	Name of another man	a Soma-drinker
Darma	Da/rma	praatipadika	4	Name of a son of Anu; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of another man	Law; associating with the virtuous; character; customary observance; devotion; doctrine of Buddhism; duty; essential quality; justice; law; morality; nature; prescribed conduct; property; religion; religious abstraction; religious merit; sacrifice; statute; steadfast decree; that which is established; the ethical precepts of Buddhism; the law; the law of Northern Buddhism; virtue	f° of Dhṛta; f° of Netra	Name of the 15th Arhat of the present Ava-sarpiṇī	a bow
Darma	Da/rma	praatipadika	5	Name of a son of Dīrgha-tapas; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata	f° of Dhṛta; f° of Netra	Law; a particular ceremony; an Upaniṣad; associating with the virtuous; customary observance; devotion; doctrine of Buddhism; duty; good works; justice; law; mark; morality; nature; of Uśanas; ordinance; peculiarity; practice; prescribed conduct; property; religion; religious abstraction; religious merit; right; sacrifice; statute; steadfast decree; that which is established; the ethical precepts of Buddhism; the law; the law of Northern Buddhism; usage; virtue	a Soma-drinker	a particular ceremony; customary observance
Darma	Da/rma	praatipadika	6	Name of the 15th Arhat of the present Ava-sarpiṇī	good works	the ninth mansion	a bow	an Upaniṣad; of Uśanas
Darma	Da/rma	praatipadika	7	a Soma-drinker	mark		a particular ceremony; customary observance	character
Darma	Da/rma	praatipadika	8	a bow	of Uśanas		an Upaniṣad; of Uśanas	doctrine of Buddhism; morality; the ethical precepts of Buddhism; the law of Northern Buddhism
Darma	Da/rma	praatipadika	9	a particular ceremony	peculiar condition; peculiarity		associating with the virtuous; good works; virtue	firm
Darma	Da/rma	praatipadika	10	an Upaniṣad	practice		character	f° of Dhṛta; f° of Netra
Darma	Da/rma	praatipadika	11	associating with the virtuous	right		devotion; religion; religious abstraction; religious merit; sacrifice	good works
Darma	Da/rma	praatipadika	12	character; mark; nature; peculiar condition	the ninth mansion		doctrine of Buddhism; morality; the ethical precepts of Buddhism; the law of Northern Buddhism	mark
Darma	Da/rma	praatipadika	13	customary observance; law; ordinance; prescribed conduct; statute; the law	usage		duty	nature
Darma	Da/rma	praatipadika	14	devotion; duty; morality; peculiarity; property; religion; religious abstraction; religious merit; sacrifice; virtue			essential quality	peculiar condition; peculiarity
Darma	Da/rma	praatipadika	15	doctrine of Buddhism; the ethical precepts of Buddhism; the law of Northern Buddhism			Law; firm; justice; law; practice; statute; steadfast decree; the law; usage	practice
Darma	Da/rma	praatipadika	16	essential quality			f° of Dhṛta; f° of Netra	Law; duty; law; ordinance; prescribed conduct; statute; steadfast decree; that which is established; the law; usage
Darma	Da/rma	praatipadika	17	father of Ghṛta			mark	property
