lemma	derivation	category	cluster_id	LaBSE	MPnet	Para-Mini	Qwen	VyA
BAva	BAva/	praatipadika	0	affection; affections; an organ of sense; emotion; feeling; heart; love; meaning; passion; sentiment; soul; the seat of the feelings; to feel an affection for	advice; appearance; behaviour; character; conduct; continuance; disposition; instruction; intention with whatever disposition of mind; manner of acting; manner of being; temperament; to be ill disposed against	advice; affection; affections; any state of mind and body; attachment; emotion; feeling; heart; love; meditation; mind with a pleased mind; opinion; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for	a discreet; attachment; condition; condition of a planet; conduct; conjecture; contemplation; continuance; disposition; instruction; intention with whatever disposition of mind; purport; supposition; to be ill disposed against; transition into; turning	condition; continuance; dalliance; existing; exists; meaning; purport; rank; such is the sense; supposition; that which is; the fundamental notion of the verb; the sense conveyed by the abstract noun; thing; true condition
BAva	BAva/	praatipadika	1	appearance; behaviour; character; conduct; disposition; instruction; manner of acting; manner of being; nature; temperament	animals; dalliance; living creature all earthly objects; nature; plants; substance; superhuman power; that which is; the Supreme Being; the world; thing; universe	becoming; behaviour; condition; conduct; conjecture; contemplation; continuance; disposition; existing; instruction; learned man; occurring; rank; to be ill disposed against; transition into; true condition; turning	affection; affections; emotion; feeling; heart; love; opinion; passion; sentiment; the seat of the feelings; to feel an affection for	affection; affections; an organ of sense; attachment; emotion; feeling; heart; love; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	2	condition; condition of a planet; rank; reality; state; the state; the world; true condition; truth; universe	a discreet; affection; affections; attachment; emotion; heart; love; passion; to feel an affection for; wanton sport	an organ of sense; being; intention with whatever disposition of mind; manner of acting; manner of being; meaning; such is the sense; superhuman power; supposition; that which is; the Supreme Being; the fundamental notion of the verb; the sense conveyed by the abstract noun; way of thinking	any state of mind and body; behaviour; being; existing; exists; manner of being; such is the sense; temperament; that which is; way of thinking	any state of mind and body; conjecture; contemplation; disposition; intention with whatever disposition of mind; meditation; mind with a pleased mind; opinion; to be ill disposed against; way of thinking
BAva	BAva/	praatipadika	3	becoming; being; existing; exists; occurring; substance; thing; transition into; turning	an organ of sense; any state of mind and body; meditation; mind with a pleased mind; place of birth; soul; state; the seat of the feelings; the state; the womb	an astrological house; condition of a planet; exists; living creature all earthly objects; lunar mansion; nature; of the 8th year in Jupiter's cycle of 60 years; plants; reality; the world; truth; universe	meaning; reality; the sense conveyed by the abstract noun; thing; true condition; truth	a discreet; appearance; behaviour; being; character; conduct; manner of acting; manner of being; occurring
BAva	BAva/	praatipadika	4	advice; conjecture; contemplation; meditation; opinion; supposition; way of thinking	becoming; being; birth; existing; exists; feeling; occurring; transition into; turning	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa; a discreet; animals; appearance; character; dalliance; purport; state; substance; the state; thing	nature; state; the state; the world	condition of a planet; reality; substance; superhuman power; the Supreme Being; the world; truth; universe
BAva	BAva/	praatipadika	5	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind	conjecture; contemplation; opinion; reality; sentiment; supposition; truth; way of thinking	birth; place of birth; the womb	becoming; birth; place of birth; the womb	becoming; birth; place of birth; the womb; transition into; turning
BAva	BAva/	praatipadika	6	birth; place of birth; the womb	meaning; the fundamental notion of the verb; the sense conveyed by the abstract noun	to make a firm resolution	an astrological house; lunar mansion	an astrological house; lunar mansion
BAva	BAva/	praatipadika	7	Name of the 27th Kalpa	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa	wanton sport	Name of the 27th Kalpa	advice; instruction
BAva	BAva/	praatipadika	8	Name of the author of the Bhāvaprakāśa	an astrological house; lunar mansion		Name of the author of the Bhāvaprakāśa	state; the state
BAva	BAva/	praatipadika	9	a discreet	condition of a planet; of the 8th year in Jupiter's cycle of 60 years		advice	Name of the 27th Kalpa
BAva	BAva/	praatipadika	10	an astrological house	condition; true condition		an organ of sense	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	11	animals	learned man		animals	animals
BAva	BAva/	praatipadika	12	attachment	purport		appearance	learned man
BAva	BAva/	praatipadika	13	continuance	rank		character	living creature all earthly objects
BAva	BAva/	praatipadika	14	dalliance	such is the sense		dalliance	nature
BAva	BAva/	praatipadika	15	learned man	to make a firm resolution		learned man	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	16	living creature all earthly objects			living creature all earthly objects	plants
BAva	BAva/	praatipadika	17	lunar mansion			manner of acting	to make a firm resolution
BAva	BAva/	praatipadika	18	of the 8th year in Jupiter's cycle of 60 years			meditation	wanton sport
BAva	BAva/	praatipadika	19	plants			mind with a pleased mind	
BAva	BAva/	praatipadika	20	purport			occurring	
BAva	BAva/	praatipadika	21	such is the sense			of the 8th year in Jupiter's cycle of 60 years	
BAva	BAva/	praatipadika	22	superhuman power			plants	
BAva	BAva/	praatipadika	23	that which is			rank	
BAva	BAva/	praatipadika	24	the Supreme Being			soul	
BAva	BAva/	praatipadika	25	the fundamental notion of the verb			substance	
BAva	BAva/	praatipadika	26	the sense conveyed by the abstract noun			superhuman power	
BAva	BAva/	praatipadika	27	to be ill disposed against			the Supreme Being	
BAva	BAva/	praatipadika	28	to make a firm resolution			the fundamental notion of the verb	
BAva	BAva/	praatipadika	29	wanton sport			to make a firm resolution	
BAva	BAva/	praatipadika	30				universe	
BAva	BAva/	praatipadika	31				wanton sport	
BU	BU	dhaatu	0	Name of a Yogin	Name of a Yogin	Name of a Yogin	Name of a Yogin	Name of a Yogin
BU	BU/	dhaatu	0	arising; becoming; being; existing; matter; object; springing; the act of becoming	arising; becoming; being; existing; springing; the act of becoming; the place of being	a place; floor; ground; pavement; piece of ground; space; spot; the base of any geometrical figure	earth; land; landed property; piece of ground; soil; the earth; world	a place; arising; becoming; being; existing; matter; object; spot; springing; the act of becoming; the place of being
BU	BU	dhaatu	1	a particular land-measure	a particular land-measure	a particular land-measure	a particular land-measure	a particular land-measure
BU	BU/	dhaatu	1	floor; ground; land; landed property; pavement; piece of ground; soil	floor; ground; land; landed property; pavement; piece of ground; soil	a sacrificial fire; arising; becoming; being; existing; springing; the act of becoming; the place of being	becoming; being; existing; the act of becoming; the place of being	earth; land; space; the earth; universe; world
BU	BU/	dhaatu	2	earth; the earth; universe; world	earth; matter; object; space; the earth; universe; world	earth; matter; object; the earth; universe; world	a place; arising; spot; springing	floor; ground; landed property; pavement; piece of ground; soil
BU	BU/	dhaatu	3	a place; space; spot; the place of being	a place; a sacrificial fire; spot	Name of Viṣṇu; Name of an Ekāha; a term for the letter; one of the three Vyāhṛtis; symbolical name for the number one	floor; ground	Name of Viṣṇu; Name of an Ekāha; a term for the letter; symbolical name for the number one
BU	BU/	dhaatu	4	Name of Viṣṇu	Name of Viṣṇu; Name of an Ekāha; one of the three Vyāhṛtis	land; landed property; soil	matter; object	a sacrificial fire
BU	BU/	dhaatu	5	Name of an Ekāha	a term for the letter		Name of Viṣṇu; one of the three Vyāhṛtis	one of the three Vyāhṛtis
BU	BU/	dhaatu	6	a sacrificial fire	symbolical name for the number one		space; universe	the base of any geometrical figure
BU	BU/	dhaatu	7	a term for the letter	the base of any geometrical figure		Name of an Ekāha	
BU	BU/	dhaatu	8	one of the three Vyāhṛtis			a sacrificial fire	
BU	BU/	dhaatu	9	symbolical name for the number one			a term for the letter	
BU	BU/	dhaatu	10	the base of any geometrical figure			pavement	
BU	BU/	dhaatu	11				symbolical name for the number one	
BU	BU/	dhaatu	12				the base of any geometrical figure	
