lemma	derivation	category	cluster_id	LaBSE	MPnet	Para-Mini	Qwen	VyA
BAva	BAva/	praatipadika	0	Name of the 27th Kalpa	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa	Name of the 27th Kalpa; Name of the author of the Bhāvaprakāśa	Name of the 27th Kalpa	Name of the 27th Kalpa
BAva	BAva/	praatipadika	1	Name of the author of the Bhāvaprakāśa	a discreet; affection; affections; animals; attachment; emotion; love; nature; opinion; passion; plants; reality; sentiment; substance; to feel an affection for; truth; wanton sport	an astrological house; condition of a planet; living creature all earthly objects; lunar mansion; nature; of the 8th year in Jupiter's cycle of 60 years; plants; the world; universe	Name of the author of the Bhāvaprakāśa	Name of the author of the Bhāvaprakāśa
BAva	BAva/	praatipadika	2	a discreet	becoming; being; dalliance; existing; exists; feeling; living creature all earthly objects; occurring; superhuman power; that which is; the Supreme Being; the world; thing; transition into; turning; universe	advice; affection; affections; any state of mind and body; attachment; emotion; feeling; heart; love; meditation; mind with a pleased mind; opinion; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for	advice	advice; instruction
BAva	BAva/	praatipadika	3	an astrological house	condition; true condition	birth; place of birth; the womb	affection; affections; emotion; feeling; heart; love; opinion; passion; sentiment; temperament; the seat of the feelings; to feel an affection for	affection; affections; an organ of sense; attachment; emotion; feeling; heart; love; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for
BAva	BAva/	praatipadika	4	animals	any state of mind and body; conjecture; contemplation; continuance; intention with whatever disposition of mind; meaning; meditation; mind with a pleased mind; state; supposition; the fundamental notion of the verb; the sense conveyed by the abstract noun; the state; way of thinking	an organ of sense; being; intention with whatever disposition of mind; manner of acting; manner of being; meaning; such is the sense; superhuman power; supposition; that which is; the Supreme Being; the fundamental notion of the verb; the sense conveyed by the abstract noun; way of thinking	an organ of sense	animals
BAva	BAva/	praatipadika	5	attachment	learned man	state; the state	animals	appearance; behaviour; character; conduct; manner of acting; manner of being; occurring
BAva	BAva/	praatipadika	6	appearance; behaviour; character; conduct; disposition; instruction; manner of acting; manner of being; nature	an astrological house; lunar mansion	to make a firm resolution	appearance	becoming; being; condition; continuance; dalliance; existing; exists; meaning; purport; rank; substance; such is the sense; supposition; that which is; thing; true condition
BAva	BAva/	praatipadika	7	advice; conjecture; contemplation; meditation; opinion; supposition; way of thinking	advice; appearance; behaviour; character; conduct; disposition; instruction; manner of acting; manner of being; temperament; to be ill disposed against	a discreet; animals; appearance; becoming; behaviour; character; condition; conduct; conjecture; contemplation; continuance; dalliance; disposition; existing; exists; instruction; learned man; occurring; purport; rank; reality; substance; thing; to be ill disposed against; transition into; true condition; truth; turning	character	learned man
BAva	BAva/	praatipadika	8	continuance	condition of a planet; of the 8th year in Jupiter's cycle of 60 years	wanton sport	a discreet; attachment; behaviour; condition; condition of a planet; conduct; conjecture; contemplation; continuance; disposition; instruction; intention with whatever disposition of mind; purport; supposition; to be ill disposed against; transition into; turning	living creature all earthly objects
BAva	BAva/	praatipadika	9	dalliance	purport		dalliance	an astrological house; lunar mansion
BAva	BAva/	praatipadika	10	affection; affections; an organ of sense; emotion; feeling; heart; love; meaning; passion; sentiment; soul; temperament; the seat of the feelings; to feel an affection for	rank		learned man	nature
BAva	BAva/	praatipadika	11	any state of mind and body; intention with whatever disposition of mind; mind with a pleased mind	such is the sense		living creature all earthly objects	of the 8th year in Jupiter's cycle of 60 years
BAva	BAva/	praatipadika	12	learned man	an organ of sense; birth; heart; place of birth; soul; the seat of the feelings; the womb		an astrological house; lunar mansion	plants
BAva	BAva/	praatipadika	13	living creature all earthly objects	to make a firm resolution		manner of acting	the fundamental notion of the verb; the sense conveyed by the abstract noun
BAva	BAva/	praatipadika	14	lunar mansion			any state of mind and body; being; existing; exists; manner of being; meaning; reality; such is the sense; that which is; the sense conveyed by the abstract noun; thing; true condition; truth; way of thinking	state; the state
BAva	BAva/	praatipadika	15	of the 8th year in Jupiter's cycle of 60 years			meditation	to make a firm resolution
BAva	BAva/	praatipadika	16	birth; place of birth; the womb			mind with a pleased mind	a discreet; any state of mind and body; birth; conjecture; contemplation; disposition; intention with whatever disposition of mind; meditation; mind with a pleased mind; opinion; place of birth; the womb; to be ill disposed against; transition into; turning; way of thinking
BAva	BAva/	praatipadika	17	plants			occurring	condition of a planet; reality; superhuman power; the Supreme Being; the world; truth; universe
BAva	BAva/	praatipadika	18	purport			of the 8th year in Jupiter's cycle of 60 years	wanton sport
BAva	BAva/	praatipadika	19	becoming; being; existing; exists; occurring; substance; thing; transition into; turning			becoming; birth; place of birth; the womb	
BAva	BAva/	praatipadika	20	such is the sense			plants	
BAva	BAva/	praatipadika	21	superhuman power			rank	
BAva	BAva/	praatipadika	22	that which is			soul	
BAva	BAva/	praatipadika	23	the Supreme Being			substance	
BAva	BAva/	praatipadika	24	the fundamental notion of the verb			superhuman power	
BAva	BAva/	praatipadika	25	the sense conveyed by the abstract noun			the Supreme Being	
BAva	BAva/	praatipadika	26	condition; condition of a planet; rank; reality; state; the state; the world; true condition; truth; universe			the fundamental notion of the verb	
BAva	BAva/	praatipadika	27	to be ill disposed against			to make a firm resolution	
BAva	BAva/	praatipadika	28	to make a firm resolution			nature; state; the state; the world	
BAva	BAva/	praatipadika	29	wanton sport			universe	
BAva	BAva/	praatipadika	30				wanton sport	
BU	BU	dhaatu	0	Name of a Yogin	Name of a Yogin	Name of a Yogin	Name of a Yogin	Name of a Yogin
BU	BU/	dhaatu	0	Name of Viṣṇu	Name of Viṣṇu; Name of an Ekāha; one of the three Vyāhṛtis	a place; floor; ground; land; landed property; pavement; piece of ground; soil; space; spot; the base of any geometrical figure	Name of Viṣṇu; one of the three Vyāhṛtis	a sacrificial fire
BU	BU	dhaatu	1	a particular land-measure	a particular land-measure	a particular land-measure	a particular land-measure	a particular land-measure
BU	BU/	dhaatu	1	Name of an Ekāha	a place; a sacrificial fire; earth; matter; object; space; spot; the earth; universe; world	Name of Viṣṇu; Name of an Ekāha; a term for the letter; one of the three Vyāhṛtis; symbolical name for the number one	Name of an Ekāha	a place; arising; becoming; being; existing; matter; object; spot; springing; the act of becoming; the place of being
BU	BU/	dhaatu	2	a place; space; spot; the place of being	a term for the letter	a sacrificial fire; arising; becoming; being; earth; existing; matter; object; springing; the act of becoming; the earth; the place of being; universe; world	a place; becoming; being; existing; the act of becoming; the place of being	one of the three Vyāhṛtis
BU	BU/	dhaatu	3	a sacrificial fire	arising; becoming; being; existing; springing; the act of becoming; the place of being		a sacrificial fire	earth; floor; ground; land; landed property; pavement; piece of ground; soil; space; the earth; universe; world
BU	BU/	dhaatu	4	a term for the letter	floor; ground; land; landed property; pavement; piece of ground; soil		a term for the letter	Name of Viṣṇu; Name of an Ekāha; a term for the letter; symbolical name for the number one
BU	BU/	dhaatu	5	one of the three Vyāhṛtis	symbolical name for the number one		arising; matter; object; spot; springing	the base of any geometrical figure
BU	BU/	dhaatu	6	earth; floor; ground; land; landed property; pavement; piece of ground; soil; the earth; universe; world	the base of any geometrical figure		earth; floor; ground; land; landed property; piece of ground; soil; the earth; world	
BU	BU/	dhaatu	7	symbolical name for the number one			pavement	
BU	BU/	dhaatu	8	arising; becoming; being; existing; matter; object; springing; the act of becoming			space; universe	
BU	BU/	dhaatu	9	the base of any geometrical figure			symbolical name for the number one	
BU	BU/	dhaatu	10				the base of any geometrical figure	
Darma	Da/rma	praatipadika	0	Justice personified	Law; a particular ceremony; customary observance; firm; law; ordinance; prescribed conduct; property; statute; steadfast decree; that which is established; the law	Justice personified; Law; duty; firm; justice; law; morality; ordinance; practice; prescribed conduct; property; statute; steadfast decree; the law	Name of a lexicographer	Name of a lexicographer
Darma	Darma	naama-dhaatu	0	law	law	law	law	law
Darma	Da/rma	praatipadika	1	Name of a king of Kaśmīra	Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta	Name of a king of Kaśmīra; Name of a lexicographer; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; father of Ghṛta	Name of a king of Kaśmīra; Name of a son of Anu; Name of a son of Dīrgha-tapas; Name of a son of Gāndhāra; Name of a son of Haihaya; Name of a son of Pṛthu-śravas; Name of a son of Su-vrata; Name of another man; Name of the 15th Arhat of the present Ava-sarpiṇī; father of Ghṛta
