head	lemma	derivation	category	new_meaning	anagha_annotated
H1	agra	a/gra	praatipadika	foremost, anterior, first, prominent, projecting, chief, best	(foremost, anterior, projecting), (first), (prominent, chief, best)
H1	agra	a/gra	praatipadika	supernumerary	(supernumerary)
H1	agra	a/gra	praatipadika	foremost point or part	(foremost point or part)
H1	agra	a/gra	praatipadika	tip	(tip)
H1	agra	a/gra	praatipadika	front	(front)
H1	agra	a/gra	praatipadika	uppermost part, top, summit, surface	(uppermost part, top), (summit), (surface)
H1	agra	a/gra	praatipadika	point	(point)
H1	agra	a/gra	praatipadika	and hence, figuratively, sharpness	(and hence), (figuratively), (sharpness)
H1	agra	a/gra	praatipadika	the nearest end, the beginning	(the nearest end), (the beginning)
H1	agra	a/gra	praatipadika	the climax, best part	(the climax), (best part)
H1	agra	a/gra	praatipadika	goal, aim	(goal, aim)
H1	agra	a/gra	praatipadika	multitude	(multitude)
H1	agra	a/gra	praatipadika	a weight, equal to a pala	(a weight, equal to a pala)
H1	agra	a/gra	praatipadika	a measure of food given as alms	(a measure of food given as alms)
H1	agra	a/gra	praatipadika	the sun's amplitude	(the sun's amplitude)
H1	agra	agra	praatipadika	rest, remainder	(rest, remainder)
H1	arTa	a/rTa	praatipadika	aim, purpose	(aim, purpose)
H1	arTa	a/rTa	praatipadika	cause, motive, reason	(cause, motive, reason)
H1	arTa	a/rTa	praatipadika	advantage, use, utility	(advantage), (use, utility)
H1	arTa	a/rTa	praatipadika	thing, object	(thing, object)
H1	arTa	a/rTa	praatipadika	object of the senses	(object of the senses)
H1	arTa	a/rTa	praatipadika	the number five	(the number five)
H1	arTa	a/rTa	praatipadika	substance, wealth, property, opulence, money	(substance), (wealth, property, opulence), (money)
H1	arTa	a/rTa	praatipadika	Name of the second mansion, the mansion of wealth	(Name of the second mansion, the mansion of wealth)
H1	arTa	a/rTa	praatipadika	personified as the son of Dharma and Buddhi	(personified as the son of Dharma and Buddhi)
H1	arTa	a/rTa	praatipadika	affair, concern, to go to one's business, take up one's work	(affair, concern), (to go to one's business, take up one's work)
H1	arTa	a/rTa	praatipadika	lawsuit, action	(lawsuit, action)
H1	arTa	a/rTa	praatipadika	having to do with, wanting, needing anything	(having to do with), (wanting, needing anything)
H1	arTa	a/rTa	praatipadika	sense, meaning, notion	(sense, meaning, notion)
H1	arTa	a/rTa	praatipadika	manner, kind, prohibition, prevention	(manner, kind), (prohibition, prevention)
H1	arTa	a/rTa	praatipadika	price	(price)
H1	uttara	u/ttara	praatipadika	upper, higher, superior	(upper, higher), (superior)
H1	uttara	u/ttara	praatipadika	northern	(northern)
H1	uttara	u/ttara	praatipadika	left	(left)
H1	uttara	u/ttara	praatipadika	later, following, subsequent, latter, concluding, posterior, future	(later), (following, subsequent), (latter), (concluding), (posterior), (future)
H1	uttara	u/ttara	praatipadika	followed by	(followed by)
H1	uttara	u/ttara	praatipadika	superior, chief, excellent, dominant, predominant, more powerful	(superior), (chief), (excellent), (dominant, predominant), (more powerful)
H1	uttara	u/ttara	praatipadika	gaining a cause	(gaining a cause)
H1	uttara	u/ttara	praatipadika	better, more excellent	(better), (more excellent)
H1	uttara	u/ttara	praatipadika	Name of a son of Virāṭa	(Name of a son of Virāṭa)
H1	uttara	u/ttara	praatipadika	Name of a king of the Nāgas	(Name of a king of the Nāgas)
H1	uttara	u/ttara	praatipadika	Name of a mountain	(Name of a mountain)
H1	uttara	u/ttara	praatipadika	Name of several men	(Name of several men)
H1	uttara	u/ttara	praatipadika	upper surface, cover	(upper surface), (cover)
H1	uttara	u/ttara	praatipadika	the north	(the north)
H1	uttara	u/ttara	praatipadika	the following member, the last part of a compound	(the following member), (the last part of a compound)
H1	uttara	u/ttara	praatipadika	answer, reply	(answer, reply)
H1	uttara	u/ttara	praatipadika	a defence, rejoinder, a defensive measure	(a defence, a defensive measure), (rejoinder)
H1	uttara	u/ttara	praatipadika	contradiction	(contradiction)
H1	uttara	u/ttara	praatipadika	the answer	(the answer)
H1	uttara	u/ttara	praatipadika	superiority, excellence, competency	(superiority), (excellence), (competency)
H1	uttara	u/ttara	praatipadika	result, the chief, prevalent result, characteristic, what remains, is left, conclusion, remainder, excess, over, above	(result, conclusion, remainder, what remains, is left, prevalent result), (the chief), (characteristic),  (excess, over, above)
H1	uttara	u/ttara	praatipadika	remainder, difference	(remainder, difference)
H1	uttara	u/ttara	praatipadika	Name of a song	(Name of a song)
H1	uttara	u/ttara	praatipadika	Name of each of the Nakṣatras that contain the word uttara	(Name of each of the Nakṣatras that contain the word uttara)
H1	uttara	u/ttara	praatipadika	a particular figure in rhetoric	(a particular figure in rhetoric)
H1	uttara	u/ttara	praatipadika	Name of the last book of the Rāmāyaṇa	(Name of the last book of the Rāmāyaṇa)
H1	uttara	u/t-tara	cpd-praatipadika	crossing over	(crossing over)
H1	uttara	u/t-tara	cpd-praatipadika	to be crossed	(to be crossed)
H1	eka	e/ka	praatipadika	one, with preceding, following, no one, nobody	(one), (with preceding), (following), (no one, nobody)
