head	lemma	derivation	category	new_meaning
H1	agra	a/gra	praatipadika	foremost, anterior, first, prominent, projecting, chief, best
H1	agra	a/gra	praatipadika	supernumerary
H1	agra	a/gra	praatipadika	foremost point, part
H1	agra	a/gra	praatipadika	tip
H1	agra	a/gra	praatipadika	front
H1	agra	a/gra	praatipadika	uppermost part, top, summit, surface
H1	agra	a/gra	praatipadika	point
H1	agra	a/gra	praatipadika	and hence, figuratively, sharpness
H1	agra	a/gra	praatipadika	the nearest end, the beginning
H1	agra	a/gra	praatipadika	the climax, best part
H1	agra	a/gra	praatipadika	goal, aim
H1	agra	a/gra	praatipadika	multitude
H1	agra	a/gra	praatipadika	a weight, equal to a pala
H1	agra	a/gra	praatipadika	a measure of food given as alms
H1	agra	a/gra	praatipadika	the sun's amplitude
H1	agra	agra	praatipadika	rest, remainder
H1	arTa	a/rTa	praatipadika	aim, purpose
H1	arTa	a/rTa	praatipadika	cause, motive, reason
H1	arTa	a/rTa	praatipadika	advantage, use, utility
H1	arTa	a/rTa	praatipadika	thing, object
H1	arTa	a/rTa	praatipadika	object of the senses
H1	arTa	a/rTa	praatipadika	the number five
H1	arTa	a/rTa	praatipadika	substance, wealth, property, opulence, money
H1	arTa	a/rTa	praatipadika	Name of the second mansion, the mansion of wealth
H1	arTa	a/rTa	praatipadika	personified as the son of Dharma, Buddhi
H1	arTa	a/rTa	praatipadika	affair, concern, to go to one's business, take up one's work
H1	arTa	a/rTa	praatipadika	lawsuit, action
H1	arTa	a/rTa	praatipadika	having to do with, wanting, needing anything
H1	arTa	a/rTa	praatipadika	sense, meaning, notion
H1	arTa	a/rTa	praatipadika	manner, kind, prohibition, prevention
H1	arTa	a/rTa	praatipadika	price
H1	uttara	u/ttara	praatipadika	upper, higher, superior
H1	uttara	u/ttara	praatipadika	northern
H1	uttara	u/ttara	praatipadika	left
H1	uttara	u/ttara	praatipadika	later, following, subsequent, latter, concluding, posterior, future
H1	uttara	u/ttara	praatipadika	followed by
H1	uttara	u/ttara	praatipadika	superior, chief, excellent, dominant, predominant, more powerful
H1	uttara	u/ttara	praatipadika	gaining a cause
H1	uttara	u/ttara	praatipadika	better, more excellent
H1	uttara	u/ttara	praatipadika	Name of a son of Virāṭa
H1	uttara	u/ttara	praatipadika	Name of a king of the Nāgas
H1	uttara	u/ttara	praatipadika	Name of a mountain
H1	uttara	u/ttara	praatipadika	of several men
H1	uttara	u/ttara	praatipadika	Name of a school
H1	uttara	u/ttara	praatipadika	upper surface, cover
H1	uttara	u/ttara	praatipadika	the north
H1	uttara	u/ttara	praatipadika	the following member, the last part of a compound
H1	uttara	u/ttara	praatipadika	answer, reply
H1	uttara	u/ttara	praatipadika	a defence, rejoinder, a defensive measure
H1	uttara	u/ttara	praatipadika	contradiction
H1	uttara	u/ttara	praatipadika	the answer
H1	uttara	u/ttara	praatipadika	superiority, excellence, competency
H1	uttara	u/ttara	praatipadika	result, the chief, prevalent result, characteristic, what remains, is left, conclusion, remainder, excess, over, above
H1	uttara	u/ttara	praatipadika	remainder, difference
H1	uttara	u/ttara	praatipadika	Name of a song
H1	uttara	u/ttara	praatipadika	Name of each of the Nakṣatras that contain the word uttara
H1	uttara	u/ttara	praatipadika	a particular figure in rhetoric
H1	uttara	u/ttara	praatipadika	Name of the last book of the Rāmāyaṇa
H1	uttara	u/t-tara	cpd-praatipadika	crossing over
H1	uttara	u/t-tara	cpd-praatipadika	to be crossed
H1	eka	e/ka	praatipadika	one, with preceding, following, no one, nobody
H1	eka	e/ka	praatipadika	alone, solitary, single, happening only once, that one only
H1	eka	e/ka	praatipadika	the same, one, the same, identical
H1	eka	e/ka	praatipadika	one of two, many
H1	eka	e/ka	praatipadika	one, one by one
H1	eka	e/ka	praatipadika	single of its kind, unique, singular, chief, pre-eminent, excellent
H1	eka	e/ka	praatipadika	sincere, truthful
H1	eka	e/ka	praatipadika	little, small
H1	eka	e/ka	praatipadika	a, an
H1	eka	e/ka	praatipadika	Name of a teacher
H1	eka	e/ka	praatipadika	Name of a son of Raya
H1	eka	e/ka	praatipadika	unity, a unit
H1	eva	eva/	avyaya	so, just so, exactly so
H1	eva	eva/	avyaya	indeed, truly, really
H1	eva	eva/	avyaya	just, exactly, very, same, only, even, alone, merely, immediately on, still, already
